Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Nikola Jokic,C,DEN,@ MEM,17,105.25,10800,32.1,82.8,49.2,7.7,1.57,56.71,14.03,14.50,13.17,27.3,15.0,31.3,33.80,53.84,53.84,100,,71,5,Y,35,41.25,3.8
Kyrie Irving,PG,BOS,vs BKN,27,114.25,9600,0,27,44.9,7.0,1.37,49.38,10.86,13.48,0,28.6,18.0,32.7,0.00,0.00,0.00,100,,70,0,,,,
Kevin Durant,SF/PF,GSW,@ IND,12,117.75,9400,23.6,66.1,49.8,5.9,1.40,50.26,9.63,12.15,9.6,30.3,19.0,35.6,35.89,41.78,41.78,100,,76,4.4,Y,30,29.25,3.1
Stephen Curry,PG/SG,GSW,@ IND,7,117.75,9100,24,66.1,48.2,5.4,1.40,50.39,12.61,12.04,12.11,30.4,19.9,34.4,34.56,42.06,42.06,100,,75,4.6,Y,27,43.50,4.8
Kemba Walker,PG,CHA,vs NYK,10,117.25,8900,19.7,63.4,42.3,5.6,1.23,44.35,10.76,12.49,10.67,30.3,19.8,34.4,35.69,38.40,38.40,100,,70,4.3,Y,36,32.25,3.6
D'Angelo Russell,PG/SG,BKN,@ BOS,1,105.25,8600,18.5,65.2,36.4,6.4,1.23,44.46,12.52,13.35,11.7,29.4,17.1,29.5,33.65,38.50,38.50,100,,63,4.5,Y,24,39.00,4.5
John Collins,PF/C,ATL,@ LAC,28,113.50,8200,25.5,59.2,37.0,2.3,1.23,44.48,9.42,9.63,8.01,23.3,13.3,30.0,30.60,39.96,39.96,100,,74,4.9,Y,30,34.00,4.1
Tobias Harris,SF/PF,LAC,vs ATL,29,119.50,8000,26.7,58.7,37.6,2.5,1.09,39.17,8.05,9.12,7.93,23.5,15.5,34.5,35.48,40.41,40.41,100,,76,5.1,Y,36,54.50,6.8
Marc Gasol,C,MEM,vs DEN,16,100.25,7800,16.2,56.3,38.4,4.7,1.14,41.05,9.50,11.47,9.12,22.3,12.6,33.7,34.57,33.36,33.36,100,,70,4.3,Y,38,45.25,5.8
Mike Conley,PG,MEM,vs DEN,2,100.25,7700,15.2,53.2,37.1,6.2,1.11,39.88,9.77,10.87,9.33,27.0,15.8,33.5,34.38,31.49,31.49,100,,71,4.1,Y,37,48.00,6.2
Louis Williams,PG/SG,LAC,vs ATL,20,119.50,7400,22.8,59.2,31.3,5.1,1.23,44.25,12.76,10.39,9.79,31.8,14.3,25.5,27.61,38.43,38.43,100,,67,5.2,,31,40.25,5.4
Montrezl Harrell,PF/C,LAC,vs ATL,30,119.50,7100,25.8,63.8,30.8,1.7,1.19,42.99,12.09,10.85,9.92,22.3,9.9,25.8,29.54,42.09,42.09,100,,65,5.9,,32,29.50,4.2
Will Barton,SG/SF,DEN,@ MEM,1,105.25,6900,13.2,52.3,24.8,3.0,1.06,38.31,12.69,11.18,11.27,23.3,10.0,23.3,31.96,29.95,29.95,100,,55,4.3,Y,36,31.25,4.5
Myles Turner,C,IND,vs GSW,2,110.75,6800,12.9,50.4,31.2,1.7,1.11,39.87,11.43,10.71,9.47,19.9,10.3,28.2,29.82,29.01,29.01,100,,66,4.3,Y,26,32.50,4.8
Jamal Murray,PG/SG,DEN,@ MEM,2,105.25,6800,0,24.6,33.4,4.8,1.00,35.87,11.00,12.29,0,25.2,16.1,33.5,0.00,0.00,0.00,100,,63,0,,,,
Trae Young,PG,ATL,@ LAC,20,113.50,6700,18.8,56.3,32.5,7.3,1.09,39.22,9.76,10.69,8.65,27.2,14.0,29.8,31.90,34.87,34.87,100,,67,5.2,Y,31,43.50,6.5
Domantas Sabonis,PF/C,IND,vs GSW,2,110.75,6600,12.1,43.3,33.0,2.8,1.31,47.28,11.64,8.90,7.95,23.7,9.5,25.1,24.60,25.49,25.49,100,,73,3.9,,20,15.75,2.4
DeMarcus Cousins,PF/C,GSW,@ IND,22,117.75,6500,30.3,43,31.1,3.5,1.50,53.89,11.89,3.64,8.86,28.8,10.3,20.8,26.84,35.72,35.72,100,,88,5.5,Y,25,35.00,5.4
Al Horford,PF/C,BOS,vs BKN,30,114.25,6400,22.1,53.1,30.2,3.6,1.07,38.42,10.50,8.88,9.01,18.5,9.9,28.3,30.89,35.37,35.37,100,,71,5.5,Y,29,49.75,7.8
Danilo Gallinari,SF/PF,LAC,vs ATL,29,119.50,6400,0,17.7,32.9,2.5,1.05,37.84,8.31,8.86,0,22.7,12.8,31.3,0.00,0.00,0.00,100,,73,0,,,,
Draymond Green,PF/C,GSW,@ IND,15,117.75,6300,0,18.6,32.4,7.3,1.04,37.29,8.49,9.32,0,13.0,6.6,31.2,0.00,0.00,0.00,100,,71,0,,,,
Spencer Dinwiddie,PG/SG,BKN,@ BOS,1,105.25,6200,0,21,29.3,5.0,1.03,37.00,10.56,10.48,0,24.5,12.2,28.5,0.00,0.00,0.00,100,,64,0,,,,
Noah Vonleh,PF/C,NYK,@ CHA,16,105.25,6200,13.4,50.8,26.2,2.0,0.98,35.46,10.70,10.68,9.21,14.8,6.7,26.6,31.00,29.45,29.45,100,,59,4.8,Y,35,24.50,4
