Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Russell Westbrook,PG,OKC,@ ATL,27,121.75,11600,38.5,77.7,56.9,10.6,1.61,58.02,9.64,11.20,9.29,31.1,20.0,35.3,34.70,55.28,55.28,100,,80,4.8,Y,35,65.50,5.6
Giannis Antetokounmpo,SF/PF,MIL,vs MIA,15,113.00,11200,34.9,80,56.6,5.9,1.69,60.91,12.10,12.88,11.24,31.6,17.2,33.5,33.45,54.22,54.22,100,,77,4.8,Y,25,49.00,4.4
LeBron James,SF/PF,LAL,vs CHI,19,111.50,10700,0,26,52.7,7.1,1.52,54.88,11.68,12.98,0,31.5,19.3,34.6,0.00,0.00,0.00,100,,75,0,,,,
Joel Embiid,C,PHI,vs MIN,15,119.25,10500,36.1,78.7,54.0,3.4,1.60,57.66,11.41,12.17,10.98,32.4,18.3,33.7,34.65,54.40,54.40,100,,77,5.2,Y,27,55.25,5.3
Nikola Jokic,C,DEN,vs GSW,19,113.50,10300,30.7,80,48.3,7.5,1.53,55.23,13.69,14.07,12.8,26.8,14.7,31.5,33.67,51.85,51.85,100,,71,5,Y,23,32.50,3.2
Karl-Anthony Towns,C,MIN,@ PHI,16,113.25,10200,29.4,84.1,48.8,3.0,1.45,52.22,14.01,15.63,13.62,27.1,16.5,33.6,35.01,52.87,52.87,100,,68,5.2,Y,28,24.25,2.4
Stephen Curry,PG/SG,GSW,@ DEN,4,114.50,9900,21.2,65.6,48.7,5.6,1.41,50.66,13.24,12.70,12.87,30.8,20.2,34.6,35.00,40.22,40.22,100,,74,4.1,Y,30,47.00,4.7
Kevin Durant,SF/PF,GSW,@ DEN,8,114.50,9700,24.8,68.9,50.0,6.1,1.40,50.38,9.94,12.58,9.8,30.6,19.2,35.7,35.50,43.70,43.70,100,,75,4.5,Y,30,47.00,4.8
Ben Simmons,PG/SF,PHI,vs MIN,21,119.25,9400,28,68.6,44.5,8.2,1.33,47.91,10.28,11.59,9.88,21.8,11.6,33.4,34.61,45.37,45.37,100,,74,4.8,Y,26,55.25,5.9
Paul George,SF/PF,OKC,@ ATL,26,121.75,9200,32.8,71.3,48.9,3.9,1.37,49.35,10.43,11.00,10.06,29.3,20.5,35.7,34.72,49.34,49.34,100,,78,5.4,Y,37,49.50,5.4
Devin Booker,PG/SG,PHX,@ IND,18,104.75,8400,22,65.3,41.8,6.9,1.19,42.83,9.10,12.37,8.35,31.6,19.4,35.1,33.02,40.52,40.52,100,,70,4.8,Y,27,19.75,2.4
Domantas Sabonis,PF/C,IND,vs PHX,26,114.75,7900,22.1,53.6,33.9,3.0,1.33,47.95,11.65,9.00,8.48,24.0,9.7,25.5,26.19,35.57,35.57,100,,73,4.5,,20,27.00,3.4
Victor Oladipo,PG/SG,IND,vs PHX,21,114.75,7800,18.2,63.8,39.1,5.2,1.20,43.11,9.72,13.02,9.08,27.7,16.7,32.6,33.64,37.74,37.74,100,,67,4.8,Y,30,25.50,3.3
Jimmy Butler,SG/SF,PHI,vs MIN,20,119.25,7600,16.5,63.4,36.1,3.5,1.09,39.34,10.81,13.41,10.27,22.9,14.6,33.1,34.20,36.59,36.59,100,,63,4.8,Y,28,35.25,4.6
John Collins,PF/C,ATL,vs OKC,13,112.75,7500,21.9,56.5,37.1,2.4,1.23,44.36,9.15,9.87,8.32,23.5,13.5,30.1,32.75,36.71,36.71,100,,73,4.9,Y,28,35.25,4.7
Kyle Kuzma,SF/PF,LAL,vs CHI,19,111.50,7300,18.6,53.8,31.8,2.4,0.97,34.82,7.93,10.06,7.64,23.8,15.4,32.8,34.70,33.66,33.66,100,,68,4.6,Y,31,33.50,4.6
Jamal Murray,PG/SG,DEN,vs GSW,25,113.50,7200,21.1,64.8,33.8,4.9,0.99,35.57,10.74,12.49,10.31,25.3,16.5,34.2,34.57,39.82,39.82,100,,63,5.5,Y,31,34.75,4.8
Deandre Ayton,C,PHX,@ IND,9,104.75,7100,16.6,54.6,36.5,2.1,1.18,42.44,10.73,10.85,8.78,21.1,12.2,31.0,29.47,32.92,32.92,100,,70,4.6,Y,29,27.50,3.9
Steven Adams,C,OKC,@ ATL,2,121.75,7000,13.6,40.3,35.0,1.7,1.03,37.19,7.63,7.63,7.04,17.1,10.6,33.9,33.23,25.02,25.02,100,,78,3.6,Y,38,27.25,3.9
Kris Dunn,PG/SG,CHI,@ LAL,12,104.50,6900,18.7,50.5,31.8,6.8,1.05,37.65,7.52,9.10,6.69,22.7,12.0,30.4,32.05,32.34,32.34,100,,71,4.7,Y,31,21.75,3.2
Khris Middleton,SG/SF,MIL,vs MIA,6,113.00,6800,20.8,46,34.0,4.1,1.09,39.08,8.02,7.21,7.33,24.2,14.3,31.3,32.89,31.57,31.57,100,,79,4.6,Y,26,27.50,4
Zach LaVine,PG/SG,CHI,@ LAL,12,104.50,6800,17,49.7,37.2,4.1,1.09,39.31,7.37,9.35,6.61,31.2,18.2,34.1,32.31,30.99,30.99,100,,75,4.6,Y,32,26.00,3.8
Lonzo Ball,PG,LAL,vs CHI,16,111.50,6700,14.1,54.2,27.6,5.2,0.91,32.86,10.18,11.44,9.78,16.5,9.4,30.2,34.57,31.29,31.29,100,,59,4.7,Y,38,42.00,6.3
Klay Thompson,SG,GSW,@ DEN,2,114.50,6600,12,50.2,34.2,2.0,0.99,35.66,13.20,10.91,12.78,26.7,18.8,34.6,34.85,28.33,28.33,100,,68,4.3,Y,25,44.25,6.7
