Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
James Harden,PG/SG,HOU,vs CLE,24,115.75,12500,46.2,97.7,60.1,8.6,1.61,57.92,11.34,14.73,12.38,38.7,22.6,37.3,39.29,68.25,68.25,100,,75,5.5,Y,30,88.00,7
Giannis Antetokounmpo,SF/PF,MIL,@ WAS,15,113.75,11300,0,26.1,56.7,6.0,1.69,60.89,12.26,13.04,0,31.5,17.2,33.5,0.00,0.00,0.00,100,,77,0,,,,
Joel Embiid,C,PHI,vs ATL,2,121.00,11000,0,24.6,54.1,3.5,1.60,57.73,11.54,12.29,0,32.2,18.2,33.8,0.00,0.00,0.00,100,,77,0,,,,
LeBron James,SF/PF,LAL,@ UTA,12,103.25,10500,0,26,52.7,7.1,1.52,54.88,11.68,12.98,0,31.5,19.3,34.6,0.00,0.00,0.00,100,,75,0,,,,
Karl-Anthony Towns,C,MIN,vs DAL,22,114.50,10200,27,80.3,47.8,3.0,1.42,51.22,13.57,15.23,13.06,26.9,16.2,33.6,34.64,49.81,49.81,100,,68,4.9,Y,30,56.75,5.6
Stephen Curry,PG/SG,GSW,vs CHI,19,117.75,9900,23.1,65.8,47.9,5.5,1.38,49.58,12.88,12.21,11.59,30.5,19.9,34.8,32.40,41.41,41.41,100,,75,4.2,Y,27,46.75,4.7
Kevin Durant,SF/PF,GSW,vs CHI,19,117.75,9800,22.7,67.4,50.3,6.1,1.40,50.46,10.17,12.77,9.35,30.9,19.4,35.9,33.10,41.87,41.87,100,,75,4.3,Y,28,39.00,4
Kawhi Leonard,SF/PF,TOR,vs BKN,1,117.00,9700,24,57.1,46.8,3.1,1.34,48.34,7.27,9.44,7.1,30.2,18.9,34.8,35.14,38.20,38.20,100,,80,3.9,Y,27,43.25,4.5
Ben Simmons,PG/SF,PHI,vs ATL,30,121.00,8900,31,69.4,43.5,8.0,1.31,47.32,10.28,10.98,9.34,22.0,11.6,33.1,32.72,47.43,47.43,100,,75,5.3,Y,43,67.00,7.5
Damian Lillard,PG,POR,vs CHA,18,114.75,8700,23.2,61.2,43.9,6.1,1.24,44.75,10.40,10.85,9.97,29.4,19.1,35.3,34.50,39.50,39.50,100,,75,4.5,Y,29,46.50,5.3
Bradley Beal,SG,WAS,vs MIL,29,112.75,8600,32.8,70.8,41.7,4.8,1.14,41.07,8.10,10.87,8.13,27.8,19.2,36.6,36.14,49.08,49.08,100,,74,5.7,Y,39,57.25,6.7
Luka Doncic,SG/SF,DAL,@ MIN,6,109.50,8400,26,53.8,38.1,4.9,1.19,42.83,7.79,7.95,6.87,27.7,14.9,32.0,31.74,37.90,37.90,100,,79,4.5,Y,35,63.00,7.5
Kemba Walker,PG,CHA,@ POR,30,108.75,8300,26.5,72.6,43.0,5.8,1.25,45.05,11.28,13.18,10.97,30.1,19.7,34.3,35.00,46.24,46.24,100,,69,5.6,Y,32,28.25,3.4
Victor Oladipo,PG/SG,IND,@ NYK,27,113.00,8200,18.9,65.1,39.3,5.1,1.20,43.09,9.88,13.20,8.99,27.8,16.8,32.8,32.75,38.71,38.71,100,,66,4.7,Y,28,34.00,4.1
Jusuf Nurkic,C,POR,vs CHA,16,114.75,8100,21.9,63.6,36.9,2.8,1.37,49.23,10.21,11.90,8.97,25.0,11.3,27.0,31.62,39.78,39.78,100,,68,4.9,Y,30,51.75,6.4
Rudy Gobert,C,UTA,vs LAL,26,111.25,8000,28.2,63.6,39.4,2.0,1.26,45.38,9.76,10.14,9.14,17.5,8.5,31.2,33.72,43.36,43.36,100,,74,5.4,Y,32,46.00,5.8
Kevin Love,PF/C,CLE,@ HOU,6,101.75,8000,0,22.6,42.9,3.5,1.26,45.40,8.05,11.30,0,26.3,16.3,34.0,0.00,0.00,0.00,100,,74,0,,,,
Donovan Mitchell,PG/SG,UTA,vs LAL,30,111.25,7900,29.4,67.8,33.9,3.5,1.03,37.24,9.73,10.97,10.23,30.4,18.6,32.8,37.86,45.89,45.89,100,,68,5.8,Y,33,58.00,7.3
John Collins,PF/C,ATL,@ PHI,9,111.00,7800,19.6,55.3,37.0,2.3,1.24,44.78,9.34,10.20,8.15,23.6,13.2,29.8,31.40,34.92,34.92,100,,72,4.5,Y,34,41.25,5.3
Clint Capela,C,HOU,vs CLE,11,115.75,7600,21.6,58.3,41.0,1.4,1.20,42.99,8.84,10.48,8.59,19.6,12.0,34.3,35.00,37.31,37.31,100,,74,4.9,Y,30,32.50,4.3
Kyle Lowry,PG,TOR,vs BKN,24,117.00,7600,19.4,58.2,38.6,9.6,1.14,40.93,12.27,11.10,11.59,19.3,11.4,34.0,34.00,36.04,36.04,100,,71,4.7,Y,23,21.00,2.8
Jimmy Butler,SG/SF,PHI,vs ATL,22,121.00,7600,14.1,61.8,36.0,3.5,1.09,39.32,11.11,13.63,9.46,22.6,14.4,33.0,30.65,34.57,34.57,100,,62,4.5,Y,40,46.50,6.1
Domantas Sabonis,PF/C,IND,@ NYK,24,113.00,7500,25.7,56.7,33.6,3.0,1.33,47.80,11.78,8.87,10.36,24.1,9.6,25.3,31.65,38.96,38.96,100,,74,5.2,Y,32,46.75,6.2
DeAndre Jordan,C,DAL,@ MIN,21,109.50,7300,16.9,55,34.7,2.1,1.11,40.12,10.49,10.89,9.17,14.3,6.3,31.2,31.46,33.19,33.19,100,,69,4.5,Y,30,29.25,4
