Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Russell Westbrook,PG,OKC,vs MIA,1,107.50,10400,0,24.5,57.9,10.3,1.63,58.65,9.98,12.26,0,31.1,20.2,35.5,0.00,0.00,0.00,100,,79,0,,,,
Paul George,SF/PF,OKC,vs MIA,2,107.50,9700,32.8,75.1,51.0,4.1,1.40,50.32,10.16,12.09,10.37,29.3,20.8,36.5,36.75,50.95,50.95,100,,76,5.3,Y,39,57.25,5.9
Bradley Beal,SG,WAS,vs UTA,6,111.25,9400,29.5,74,45.6,5.6,1.22,43.89,8.45,12.73,9.21,28.1,19.8,37.4,39.25,48.55,48.55,100,,72,5.2,Y,31,19.50,2.1
Stephen Curry,PG/SG,GSW,@ SAS,16,114.25,9300,31,70.5,46.7,5.2,1.36,49.06,11.61,11.30,11.29,30.3,19.9,34.3,35.00,47.90,47.90,100,,76,5.2,Y,37,55.75,6
Nikola Jokic,C,DEN,@ BOS,26,108.75,9200,31.4,80.3,49.0,7.5,1.57,56.63,13.31,13.96,12.39,27.4,14.9,31.2,33.50,52.34,52.34,100,,72,5.7,Y,36,59.25,6.4
Kyrie Irving,PG,BOS,vs DEN,2,112.75,9100,29.2,76.6,45.2,7.1,1.37,49.45,10.58,13.53,10.43,28.2,18.1,32.9,35.50,49.51,49.51,100,,70,5.4,Y,36,52.75,5.8
Damian Lillard,PG,POR,vs IND,8,107.50,9000,29.2,65.8,44.9,6.5,1.27,45.87,9.47,10.46,9.4,29.1,19.2,35.3,35.75,44.91,44.91,100,,77,5,Y,40,63.50,7.1
Luka Doncic,PG/SF,DAL,vs NOP,13,118.50,8900,29,67.4,41.8,5.7,1.29,46.61,9.86,10.96,9.52,30.1,16.2,32.3,34.75,45.46,45.46,100,,74,5.1,Y,39,66.75,7.5
Kevin Durant,SF/PF,GSW,@ SAS,26,114.25,8800,33.8,75.2,48.0,5.6,1.36,49.03,10.28,11.81,10.42,29.7,18.7,35.3,36.50,51.55,51.55,100,,75,5.9,Y,36,33.25,3.8
Andre Drummond,C,DET,@ CLE,9,108.50,8600,29.4,75.4,45.2,1.2,1.37,49.18,10.68,13.14,10.24,22.8,13.3,33.1,34.50,49.08,49.08,100,,71,5.7,Y,38,61.75,7.2
Devin Booker,PG/SG,PHX,vs CHI,24,114.00,8500,27.9,71.2,42.2,6.8,1.20,43.28,9.16,12.36,9.92,31.8,19.2,35.1,39.00,46.48,46.48,100,,71,5.5,Y,40,44.50,5.2
Kawhi Leonard,SF/PF,TOR,vs NYK,21,113.00,8400,0,20,45.7,3.2,1.34,48.39,7.67,9.98,0,30.2,18.9,34.0,0.00,0.00,0.00,100,,78,0,,,,
Rudy Gobert,C,UTA,@ WAS,22,116.25,8300,32.5,68.5,41.2,2.0,1.30,46.70,9.60,10.28,9.07,17.9,8.7,31.8,34.00,47.92,47.92,100,,75,5.8,Y,32,43.00,5.2
Donovan Mitchell,PG/SG,UTA,@ WAS,19,116.25,8200,24.5,65.4,38.3,4.1,1.13,40.75,9.97,11.67,9.83,31.7,20.1,33.8,35.50,42.02,42.02,100,,70,5.1,Y,32,27.25,3.3
LaMarcus Aldridge,PF/C,SAS,vs GSW,1,112.25,8100,24.9,67.6,38.8,2.4,1.19,42.81,9.52,12.21,9.26,26.9,16.0,32.6,35.00,43.21,43.21,100,,69,5.3,Y,35,50.75,6.3
Julius Randle,PF/C,NOP,@ DAL,26,113.50,8000,26.9,68.2,39.3,3.1,1.28,46.26,10.98,11.79,10.37,27.3,14.7,30.6,34.00,44.59,44.59,100,,70,5.6,Y,34,51.75,6.5
Zach LaVine,PG/SG,CHI,@ PHX,27,112.00,7900,23.6,60,38.3,4.5,1.11,40.08,7.76,10.39,7.49,30.2,18.1,34.4,34.75,39.19,39.19,100,,73,5,Y,33,37.00,4.7
DeMar DeRozan,SG/SF,SAS,vs GSW,5,112.25,7800,23.4,64.7,40.5,6.1,1.15,41.54,10.35,11.78,9.92,28.3,17.5,35.1,34.50,41.11,41.11,100,,71,5.3,Y,38,49.75,6.4
Kevin Love,PF/C,CLE,vs DET,12,102.50,7700,0,26,38.0,2.3,1.39,49.99,10.74,12.99,0,28.6,13.0,27.4,0.00,0.00,0.00,100,,66,0,,,,
Klay Thompson,SG,GSW,@ SAS,16,114.25,7600,23.3,61.3,35.6,2.4,1.04,37.47,13.88,10.88,14.07,26.2,18.5,34.2,36.50,39.58,39.58,100,,69,5.2,Y,38,32.25,4.2
Elfrid Payton,PG,NOP,@ DAL,30,113.50,7500,15.2,64.2,31.1,7.3,1.06,38.22,12.23,14.00,11.38,17.9,9.7,29.3,33.50,36.20,36.20,100,,55,4.8,Y,37,54.00,7.2
DeMarcus Cousins,C,GSW,@ SAS,16,114.25,7400,0,16.4,36.3,3.6,1.40,50.47,10.89,8.21,0,27.3,11.9,25.9,0.00,0.00,0.00,100,,77,0,,,,
Anthony Davis,PF/C,NOP,@ DAL,26,113.50,7300,12.5,71.7,55.1,3.9,1.67,60.09,11.35,16.92,6.62,29.3,18.2,33.0,21.00,37.90,37.90,100,,69,5.2,Y,21,38.00,5.2
