Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Russell Westbrook,PG,OKC,@ DAL,10,114.25,11100,35.3,72.6,55.8,10.2,1.62,58.29,9.76,10.67,9.52,30.6,19.0,34.5,35.12,51.28,51.28,100,,81,4.6,Y,38,41.75,3.8
LeBron James,SF/PF,LAL,vs SAC,19,117.75,10700,0,26,52.7,7.1,1.52,54.88,11.68,12.98,0,31.5,19.3,34.6,0.00,0.00,0.00,100,,75,0,,,,
Joel Embiid,C,PHI,@ POR,2,110.25,10200,0,24.2,53.4,3.5,1.58,56.68,11.65,12.12,0,32.0,18.2,33.9,0.00,0.00,0.00,100,,77,0,,,,
Karl-Anthony Towns,C,MIN,@ MIA,5,101.50,9800,16.6,64.7,45.5,2.7,1.35,48.73,12.51,13.72,12.25,26.1,15.5,33.6,35.24,37.21,37.21,100,,70,3.8,Y,37,86.50,8.8
Paul George,SF/PF,OKC,@ DAL,15,114.25,9700,35,76,49.9,4.3,1.41,50.77,10.74,11.71,10.95,29.0,20.0,35.4,36.70,52.59,52.59,100,,77,5.4,Y,37,46.25,4.8
Kawhi Leonard,SF/PF,TOR,vs CHI,14,108.75,9200,31.4,63.3,46.6,3.0,1.34,48.18,6.70,9.14,6.4,30.0,19.0,34.8,34.40,45.06,45.06,100,,80,4.9,Y,34,37.75,4.1
Ben Simmons,PG/SF,PHI,@ POR,18,110.25,8500,26.3,66,43.9,8.1,1.33,47.63,10.71,11.35,10.41,21.2,11.2,33.1,35.00,43.30,43.30,100,,74,5.1,Y,25,28.25,3.3
De'Aaron Fox,PG,SAC,@ LAL,9,115.75,8400,23.5,68.6,38.2,7.7,1.20,43.08,12.73,12.88,12.38,25.1,13.6,31.9,35.00,42.84,42.84,100,,66,5.1,Y,34,48.50,5.8
Damian Lillard,PG,POR,vs PHI,22,113.25,8200,25.7,64.9,44.9,5.8,1.26,45.58,10.92,11.20,10.63,29.9,19.7,35.5,35.05,42.45,42.45,100,,75,5.2,Y,27,29.25,3.6
Luka Doncic,SG/SF,DAL,vs OKC,8,112.25,8100,27.3,56.1,37.8,5.0,1.16,41.92,8.11,8.22,7.41,26.9,14.6,32.5,32.90,39.61,39.61,100,,78,4.9,Y,34,40.25,5
Kyle Kuzma,SF/PF,LAL,vs SAC,19,117.75,7700,25.9,59.4,31.8,2.4,0.97,34.79,6.96,9.56,7.53,23.0,15.0,32.9,38.96,40.25,40.25,100,,70,5.2,Y,40,39.25,5.1
