Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Damian Lillard,PG,POR,@ NYK,20,113.75,9700,29.6,72.3,44.7,6.1,1.29,46.53,11.40,12.22,11.69,29.8,19.4,34.6,36.90,47.90,47.90,100,,73,4.9,Y,36,52.00,5.4
Kawhi Leonard,SG/SF,TOR,@ ORL,2,112.50,9500,25.4,58.5,44.6,3.3,1.32,47.74,5.82,9.46,5.79,29.6,18.3,33.7,35.80,39.56,39.56,100,,79,4.2,Y,30,30.00,3.2
John Wall,PG,WAS,vs LAC,9,116.25,9000,23.5,55.1,42.5,7.9,1.22,44.01,8.06,9.03,7.44,28.1,17.1,34.8,33.21,37.06,37.06,100,,79,4.1,Y,41,57.00,6.3
Nikola Vucevic,C,ORL,vs TOR,13,106.50,8300,25.7,65.5,44.4,3.6,1.46,52.60,10.65,11.37,9.29,26.7,15.2,30.4,31.39,42.75,42.75,100,,74,5.2,Y,34,42.50,5.1
Hassan Whiteside,C,MIA,vs BKN,22,109.00,8000,17.2,65.2,39.6,0.6,1.41,50.67,14.09,13.71,10.64,21.6,10.4,28.1,27.18,37.75,37.75,100,,65,4.7,Y,32,55.75,7
Bradley Beal,SG,WAS,vs LAC,4,116.25,7800,20.6,48.7,37.1,3.5,1.10,39.61,8.80,8.03,8.13,27.1,17.2,33.7,33.25,32.68,32.68,100,,78,4.2,Y,41,42.25,5.4
Kyle Lowry,PG,TOR,@ ORL,23,112.50,7700,27.8,62.6,40.3,10.4,1.19,42.66,11.27,9.96,10.9,19.4,11.7,34.0,34.82,42.69,42.69,100,,75,5.5,Y,32,26.50,3.4
Tobias Harris,SF/PF,LAC,@ WAS,30,117.25,7600,33.6,55.5,38.1,2.3,1.09,39.31,6.14,6.26,5.99,22.8,15.6,34.9,35.10,43.00,43.00,100,,84,5.7,Y,37,42.75,5.6
Jusuf Nurkic,C,POR,@ NYK,14,113.75,7400,19,56.6,35.7,2.1,1.38,49.72,10.80,10.76,8.67,25.2,11.0,25.9,28.90,35.11,35.11,100,,70,4.7,Y,31,41.75,5.6
D'Angelo Russell,PG/SG,BKN,@ MIA,24,106.00,7300,23.4,56.6,32.9,5.5,1.19,42.87,9.02,9.48,7.36,28.5,15.2,27.6,29.36,37.61,37.61,100,,71,5.2,Y,32,49.75,6.8
Tim Hardaway Jr.,SG/SF,NYK,vs POR,9,106.75,7200,15.5,51.7,35.7,2.8,1.10,39.61,9.13,10.36,8.54,29.3,18.3,32.4,33.68,31.02,31.02,100,,71,4.3,Y,37,46.75,6.5
Josh Richardson,SG/SF,MIA,vs BKN,18,109.00,7100,19.3,51.9,34.2,3.3,0.98,35.39,8.22,9.32,7.96,23.5,16.0,34.8,34.86,33.26,33.26,100,,73,4.7,Y,39,31.00,4.4
Aaron Gordon,SF/PF,ORL,vs TOR,23,106.50,6900,21.7,60.4,34.6,2.8,1.07,38.50,11.72,11.06,10.8,22.3,13.5,32.4,33.17,38.28,38.28,100,,68,5.5,Y,37,36.25,5.3
C.J. McCollum,PG/SG,POR,@ NYK,16,113.75,6800,13.9,50.1,31.4,2.4,0.95,34.23,9.75,10.33,9.28,25.5,17.3,33.1,34.25,29.39,29.39,100,,67,4.3,Y,38,43.00,6.3
Montrezl Harrell,PF/C,LAC,@ WAS,4,117.25,6600,6.9,49.3,31.6,1.5,1.31,46.98,10.74,12.09,8.06,21.3,8.3,24.2,27.00,25.08,25.08,100,,62,3.8,,31,35.75,5.4
Pascal Siakam,PF,TOR,@ ORL,3,112.50,6400,10.7,42.6,29.3,2.3,1.02,36.70,8.37,9.11,7.54,17.2,9.2,28.7,32.45,24.40,24.40,100,,69,3.8,Y,34,30.75,4.8
Enes Kanter,C,NYK,vs POR,21,106.75,6300,14.8,58.3,34.6,2.0,1.32,47.42,8.73,12.44,6.73,24.7,11.6,26.3,27.77,33.44,33.44,100,,64,5.3,Y,27,25.75,4.1
Dwight Howard,C,WAS,vs LAC,18,116.25,6200,0,24.6,27.0,0.4,1.06,38.24,13.22,12.32,0,21.5,7.7,25.4,0.00,0.00,0.00,100,,54,0,,,,
Louis Williams,PG/SG,LAC,@ WAS,7,117.25,6200,18.1,40.3,30.1,4.6,1.13,40.66,10.86,6.34,8.42,31.7,15.0,26.7,27.90,27.57,27.57,100,,79,4.4,,23,24.50,4
Caris LeVert,SF,BKN,@ MIA,15,106.00,6100,0,21.5,32.0,3.7,1.08,38.81,11.55,10.77,0,26.8,14.6,29.7,0.00,0.00,0.00,100,,66,0,,,,
Serge Ibaka,PF/C,TOR,@ ORL,3,112.50,6000,12.7,42.8,32.9,1.0,1.23,44.22,11.28,8.60,8.9,25.3,12.8,26.8,28.40,25.59,25.59,100,,74,4.3,Y,30,32.25,5.4
Danilo Gallinari,SF/PF,LAC,@ WAS,30,117.25,5900,29.6,48.7,31.3,1.6,1.01,36.51,7.39,5.44,6.67,23.4,13.4,30.9,32.50,37.77,37.77,100,,83,6.4,Y,28,16.75,2.8
Goran Dragic,PG,MIA,vs BKN,19,109.00,5800,0,22.1,28.9,4.7,0.94,33.85,11.13,11.04,0,24.1,13.8,30.8,0.00,0.00,0.00,100,,62,0,,,,
Jarrett Allen,C,BKN,@ MIA,7,106.00,5700,12,43.6,30.5,1.7,1.13,40.79,9.21,9.02,7.29,17.5,8.1,26.9,28.50,25.51,25.51,100,,70,4.5,Y,30,39.00,6.8
Evan Fournier,SG/SF,ORL,vs TOR,3,106.50,5600,11.6,46.8,29.1,4.2,0.98,35.36,10.57,10.07,9.3,25.7,14.6,29.6,31.67,26.70,26.70,100,,65,4.8,Y,35,39.75,7.1
Spencer Dinwiddie,PG/SG,BKN,@ MIA,24,106.00,5500,15.8,46.6,26.8,4.6,0.97,35.06,9.29,8.79,7.33,22.4,11.1,27.5,28.39,29.01,29.01,100,,67,5.3,,30,31.00,5.6
Tyler Johnson,PG/SG,MIA,vs BKN,18,109.00,5400,0,14.2,22.2,2.4,0.82,29.49,7.42,7.12,0,18.5,9.6,27.1,0.00,0.00,0.00,100,,68,0,,,,
Rondae Hollis-Jefferson,PF/C,BKN,@ MIA,15,106.00,5300,9.6,39.7,20.6,1.5,1.01,36.41,8.12,8.62,4.98,23.6,9.1,20.4,22.08,22.50,22.50,100,,58,4.2,,26,17.75,3.3
Jonas Valanciunas,C,TOR,@ ORL,27,112.50,5200,16.4,46.1,26.4,1.1,1.38,49.83,13.80,8.49,7.15,25.3,8.9,19.1,18.65,29.15,29.15,100,,68,5.6,,21,18.00,3.5
Otto Porter,SF/PF,WAS,vs LAC,29,116.25,5100,12.1,44.1,23.1,1.8,0.82,29.56,6.03,9.13,4.77,15.7,9.1,28.1,28.46,25.84,25.84,100,,60,5.1,Y,38,39.50,7.7
Shai Gilgeous-Alexander,PG,LAC,@ WAS,29,117.25,5000,12.9,43.5,20.6,2.8,0.75,27.19,7.96,8.76,6.5,17.0,7.9,27.3,29.40,25.99,25.99,100,,57,5.2,Y,29,32.75,6.6
Markieff Morris,SF/PF,WAS,vs LAC,24,116.25,4900,0,42.3,20.2,1.9,0.80,28.86,15.02,12.22,9.43,17.1,8.1,25.1,22.61,17.86,17.86,100,,40,3.6,,25,25.75,5.3
Fred VanVleet,PG/SG,TOR,@ ORL,23,112.50,4900,6.8,37.9,20.5,4.2,0.86,31.02,11.54,8.88,7.16,19.6,9.2,23.8,22.34,20.13,20.13,100,,57,4.1,,26,15.50,3.2
Dwyane Wade,PG/SG,MIA,vs BKN,18,109.00,4800,15.5,34.2,24.9,2.9,0.97,34.99,8.69,5.34,5.96,25.3,12.1,25.7,24.68,23.52,23.52,100,,79,4.9,,14,12.00,2.5
Rodney McGruder,SG/SF,MIA,vs BKN,18,109.00,4800,12.3,41.5,26.8,3.4,0.80,29.05,8.31,8.32,7.29,15.8,10.4,33.3,31.57,24.81,24.81,100,,69,5.2,Y,36,26.25,5.5
Al-Farouq Aminu,SF/PF,POR,@ NYK,10,113.75,4700,9.6,37.1,23.6,0.4,0.80,28.71,7.35,7.86,6.19,12.0,7.1,29.6,30.34,21.36,21.36,100,,67,4.5,Y,29,18.50,3.9
Terrence Ross,SG/SF,ORL,vs TOR,3,106.50,4700,8.2,32.8,23.5,1.8,0.94,34.00,8.41,7.04,5.56,23.8,11.5,24.9,23.79,18.72,18.72,100,,70,4,,20,6.25,1.3
Patrick Beverley,PG/SG,LAC,@ WAS,29,117.25,4600,9.3,34.5,20.8,4.4,0.79,28.52,8.35,7.19,5.13,13.9,7.1,26.3,22.10,20.11,20.11,100,,65,4.4,,21,22.25,4.8
Joe Harris,SG/SF,BKN,@ MIA,15,106.00,4600,13.1,34.9,22.9,2.2,0.79,28.27,8.48,6.22,6.92,16.9,9.5,29.1,29.36,22.43,22.43,100,,73,4.9,Y,28,14.25,3.1
Kelly Oubre Jr.,SG/SF,WAS,vs LAC,29,116.25,4600,14.1,46.6,22.6,0.9,0.88,31.79,10.17,9.30,8.19,21.3,10.1,25.6,29.00,28.04,28.04,100,,59,6.1,Y,12,6.25,1.4
Danny Green,SG/SF,TOR,@ ORL,12,112.50,4500,10.1,37.3,21.2,1.3,0.76,27.42,9.75,7.76,8.23,13.3,7.5,27.8,30.37,21.78,21.78,100,,63,4.8,Y,34,21.75,4.8
Justise Winslow,PG/SF,MIA,vs BKN,7,109.00,4500,6.7,35.9,23.7,4.1,0.84,30.30,8.76,8.34,6.11,18.3,9.4,28.2,25.10,19.23,19.23,100,,65,4.3,,17,14.50,3.2
Wayne Ellington,PG/SG,MIA,vs BKN,18,109.00,4400,8.9,41.1,18.0,1.3,0.77,27.60,8.06,9.21,6.93,18.2,8.4,23.4,30.96,22.69,22.69,100,,49,5.2,Y,33,18.25,4.1
Emmanuel Mudiay,PG,NYK,vs POR,21,106.75,4400,4.8,38.9,18.5,2.1,0.91,32.60,15.07,9.73,9.11,17.4,7.4,20.4,21.76,19.41,19.41,100,,47,4.4,Y,24,24.50,5.6
D.J. Augustin,PG,ORL,vs TOR,7,106.50,4300,12.1,37.2,22.9,5.1,0.83,29.90,8.02,7.18,6.06,15.4,7.5,27.5,27.21,22.83,22.83,100,,69,5.3,Y,26,15.50,3.6
Evan Turner,SG/SF,POR,@ NYK,16,113.75,4300,11.3,38.1,23.1,4.4,0.90,32.41,9.65,7.68,7.48,17.5,8.0,25.7,27.90,22.77,22.77,100,,67,5.3,,34,24.00,5.6
Jeff Green,SF/PF,WAS,vs LAC,29,116.25,4200,8.1,40,20.9,1.1,0.86,30.83,12.32,9.10,7.99,17.3,7.6,24.4,23.36,21.77,21.77,100,,56,5.2,,26,38.75,9.2
Trey Burke,PG/SG,NYK,vs POR,21,106.75,4200,7.6,44.2,20.5,3.2,0.97,34.97,11.01,10.45,7.29,24.7,10.9,21.1,23.84,23.32,23.32,100,,49,5.6,,26,27.75,6.6
James Johnson,SF/PF,MIA,vs BKN,30,109.00,4100,16.3,16.3,12.0,2.0,0.80,28.80,0.00,0.00,0,26.5,8.0,15.0,20.40,16.28,16.28,100,,0,4,,23,13.75,3.4
Dion Waiters,SG/SF,MIA,vs BKN,18,109.00,4000,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Kevin Knox,SF,NYK,vs POR,5,106.75,4000,0,31.8,14.1,0.5,0.73,26.21,11.13,9.60,7.31,23.9,9.4,19.3,23.64,12.55,12.55,100,,32,3.1,,13,5.25,1.3
Allonzo Trier,PG,NYK,vs POR,21,106.75,4000,1.7,28.5,18.6,1.5,0.77,27.83,9.33,7.67,4.47,19.5,8.0,24.1,17.26,13.20,13.20,100,,59,3.3,,15,8.00,2
Ed Davis,PF/C,BKN,@ MIA,11,106.00,3900,7.5,28.5,18.6,0.8,1.07,38.46,9.73,5.99,4.82,12.7,3.9,17.4,17.82,16.48,16.48,100,,68,4.2,,18,21.50,5.5
