Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
James Harden,PG/SG,HOU,@ MIN,21,117.75,11800,41.3,95.2,63.3,7.8,1.69,60.89,13.30,15.42,13.76,40.0,24.2,37.4,37.25,64.39,64.39,100,,76,5.5,Y,40,58.25,4.9
Giannis Antetokounmpo,SF/PF,MIL,@ IND,14,111.25,11200,41.9,82.7,57.0,5.9,1.73,62.14,11.45,11.65,10.65,32.0,17.2,33.0,33.50,59.37,59.37,100,,80,5.3,Y,38,82.75,7.4
Joel Embiid,C,PHI,@ NYK,10,116.25,10600,39,78.5,54.7,3.5,1.62,58.34,11.27,11.28,10.41,33.2,18.7,33.8,33.25,55.91,55.91,100,,79,5.3,Y,34,49.50,4.7
Karl-Anthony Towns,C,MIN,vs HOU,14,113.75,10300,30.8,83.4,48.9,3.2,1.48,53.14,13.64,15.04,13.36,27.7,16.4,33.1,35.25,53.33,53.33,100,,69,5.2,Y,34,48.25,4.7
Nikola Jokic,C,DEN,vs SAC,12,119.75,10100,34.3,84.3,49.8,7.7,1.58,56.88,13.78,14.30,13.11,27.7,15.2,31.5,34.25,55.74,55.74,100,,71,5.5,Y,36,63.50,6.3
Kawhi Leonard,SF/PF,TOR,vs WAS,15,120.75,9400,0,20.6,46.4,3.3,1.34,48.07,7.63,10.29,0,29.8,18.8,34.7,0.00,0.00,0.00,100,,78,0,,,,
Kyrie Irving,PG,BOS,vs DET,15,106.75,9400,0,27,44.6,6.9,1.37,49.40,10.40,13.52,0,28.7,17.9,32.5,0.00,0.00,0.00,100,,70,0,,,,
Kevin Durant,SF/PF,GSW,@ POR,2,118.50,9300,34.6,76.6,48.8,6.0,1.37,49.56,9.91,12.01,9.98,30.0,18.9,35.5,36.25,52.59,52.59,100,,75,5.7,Y,33,47.00,5.1
Stephen Curry,PG/SG,GSW,@ POR,25,118.50,9200,32.2,74.2,47.3,5.3,1.38,49.67,12.47,11.98,12.3,29.9,19.5,34.3,35.50,50.19,50.19,100,,75,5.5,Y,33,45.75,5
Andre Drummond,C,DET,@ BOS,19,103.75,9100,28.3,74.3,44.7,1.2,1.35,48.82,11.19,13.14,10.8,23.4,13.8,33.0,34.75,47.99,47.99,100,,71,5.3,Y,35,50.75,5.6
Blake Griffin,PF/C,DET,@ BOS,14,103.75,8900,27.1,69,46.6,5.4,1.29,46.36,9.91,11.98,10.12,30.2,18.5,36.2,36.75,45.04,45.04,100,,74,5.1,Y,37,50.50,5.7
Luka Doncic,PG/SF,DAL,vs MIA,9,105.50,8800,26.2,62.9,40.7,5.5,1.26,45.52,9.47,10.49,9.14,29.2,15.9,32.2,34.75,41.94,41.94,100,,74,4.8,Y,33,46.50,5.3
Bradley Beal,SG,WAS,@ TOR,23,111.75,8700,27.5,70.7,43.9,5.3,1.18,42.64,8.34,12.33,8.75,28.3,19.6,37.1,37.75,46.01,46.01,100,,72,5.3,Y,44,51.75,5.9
Damian Lillard,PG,POR,vs GSW,16,116.50,8600,31.8,68.5,44.9,6.3,1.27,45.74,9.98,10.48,10.12,29.9,19.4,35.3,36.50,47.52,47.52,100,,77,5.5,Y,32,47.75,5.6
D'Angelo Russell,PG/SG,BKN,@ CLE,8,115.75,8500,23.2,69.6,37.5,6.6,1.26,45.24,12.32,13.25,11.46,30.1,17.7,29.8,33.50,43.05,43.05,100,,65,5.1,Y,43,55.75,6.6
Ben Simmons,PG/SF,PHI,@ NYK,30,116.25,8400,28.1,69,43.6,7.9,1.29,46.50,11.46,11.69,10.82,22.2,11.9,33.7,34.00,45.63,45.63,100,,73,5.4,Y,34,35.00,4.2
