Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Anthony Davis,PF/C,NOP,@ TOR,26,111.25,11600,38.7,87.1,56.6,4.8,1.52,54.56,14.75,13.84,14.75,27.1,18.2,37.3,36.00,59.44,59.44,100,,76,5.1,Y,40,63.00,5.4
Kevin Durant,SF/PF,GSW,@ LAC,29,114.25,11000,35.1,70.8,48.6,6.5,1.41,50.92,8.74,10.22,7.82,28.7,17.7,34.4,32.23,50.38,50.38,100,,79,4.6,Y,39,71.25,6.5
Russell Westbrook,PG,OKC,vs PHX,11,111.50,10700,0,15.1,51.3,8.9,1.64,59.01,7.36,7.57,0,34.4,19.6,31.3,0.00,0.00,0.00,100,,85,0,,,,
Joel Embiid,C,PHI,@ MIA,11,111.50,10100,28.6,75.3,54.9,3.6,1.56,56.29,12.83,13.36,12.72,31.2,18.9,35.1,35.69,48.61,48.61,100,,76,4.8,Y,36,64.00,6.3
Stephen Curry,PG/SG,GSW,@ LAC,5,114.25,9900,0,23.4,48.6,6.1,1.46,52.65,11.98,11.68,0,31.2,19.8,33.3,0.00,0.00,0.00,100,,76,0,,,,
Paul George,SF/PF,OKC,vs PHX,22,111.50,9700,34.5,61.9,45.0,4.4,1.27,45.76,9.22,7.84,9.06,28.1,19.2,35.4,35.36,46.25,46.25,100,,83,4.8,Y,36,52.00,5.4
DeMar DeRozan,SG/SF,SAS,@ SAC,25,111.25,9300,31.2,76,45.8,6.5,1.24,44.56,10.02,12.80,10.13,28.0,19.4,37.0,36.39,50.40,50.40,100,,72,5.4,Y,37,35.50,3.8
Ben Simmons,PG/SF,PHI,@ MIA,15,111.50,9000,19.4,67.9,43.4,7.8,1.34,48.34,10.07,13.85,9.9,21.5,11.5,32.3,35.40,40.21,40.21,100,,68,4.5,Y,35,32.25,3.6
Karl-Anthony Towns,C,MIN,vs BKN,14,115.00,8900,22.5,71.7,42.8,2.1,1.29,46.25,12.02,14.07,12.72,24.6,14.9,33.3,38.11,43.56,43.56,100,,67,4.9,Y,37,59.25,6.7
Jimmy Butler,SG/SF,MIN,vs BKN,19,115.00,8800,0,22.5,41.2,4.3,1.14,41.09,10.10,11.26,0,22.8,15.7,36.1,0.00,0.00,0.00,100,,73,0,,,,
Kawhi Leonard,SG/SF,TOR,vs NOP,4,120.25,8700,26.2,55.9,43.6,3.2,1.35,48.42,5.39,8.50,5.18,29.5,17.4,32.4,34.60,38.93,38.93,100,,81,4.5,Y,34,34.50,4
John Wall,PG,WAS,vs ORL,27,114.50,8600,34.4,66,43.9,8.1,1.22,43.77,6.74,9.01,6.69,28.1,17.3,36.1,35.75,47.94,47.94,100,,79,5.6,Y,33,50.50,5.9
Nikola Vucevic,C,ORL,@ WAS,26,107.50,8500,28.3,68,42.2,3.5,1.44,51.69,10.43,11.34,9.01,25.6,14.2,29.4,31.10,45.31,45.31,100,,73,5.3,Y,32,38.25,4.5
Kyle Lowry,PG,TOR,vs NOP,30,120.25,8400,37.3,67.6,43.7,11.0,1.30,46.97,9.10,8.66,8.45,20.2,12.1,33.5,33.43,50.28,50.28,100,,80,6,Y,33,22.00,2.6
Zach LaVine,PG/SG,CHI,vs DAL,15,108.00,8300,31.1,57,42.3,3.9,1.17,42.22,4.86,7.41,4.94,32.9,20.2,36.1,36.57,42.17,42.17,100,,82,5.1,Y,41,44.25,5.3
Jrue Holiday,PG/SG,NOP,@ TOR,12,111.25,8200,29,53.6,41.7,8.8,1.16,41.71,7.94,7.01,8.07,23.8,15.2,36.0,36.61,39.54,39.54,100,,83,4.8,Y,39,58.25,7.1
