Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Russell Westbrook,PG,OKC,vs WAS,28,118.50,11100,41,78.5,55.9,10.0,1.61,57.97,10.21,10.72,10.16,30.9,19.6,34.7,35.82,57.10,57.10,100,,81,5.1,Y,37,63.75,5.7
LeBron James,SF/PF,LAL,@ MIN,20,109.50,10700,0,26,52.7,7.1,1.52,54.88,11.68,12.98,0,31.5,19.3,34.6,0.00,0.00,0.00,100,,75,0,,,,
Paul George,SF/PF,OKC,vs WAS,22,118.50,10300,36.9,76.4,49.6,4.0,1.40,50.53,10.36,11.28,10.24,29.6,20.5,35.4,35.59,53.81,53.81,100,,77,5.2,Y,36,37.00,3.6
Karl-Anthony Towns,C,MIN,vs LAL,27,115.50,10300,34.3,87.2,47.7,3.0,1.41,50.78,13.59,15.10,13.55,26.8,16.2,33.8,35.89,56.96,56.96,100,,68,5.5,Y,35,67.50,6.6
Nikola Vucevic,C,ORL,@ LAC,17,107.00,9500,28,72.1,45.5,3.6,1.48,53.10,12.08,12.60,11.64,27.5,15.9,30.8,34.70,46.85,46.85,100,,72,4.9,Y,32,63.00,6.6
Kemba Walker,PG,CHA,@ PHX,25,112.00,9200,23,69.6,43.4,5.9,1.26,45.36,11.43,13.31,11.13,30.1,19.8,34.5,35.04,42.99,42.99,100,,69,4.7,Y,32,38.75,4.2
Bradley Beal,SG,WAS,@ OKC,7,108.50,9000,24,63.1,41.5,4.8,1.13,40.64,8.26,11.18,8.57,27.5,18.9,36.7,37.35,40.75,40.75,100,,73,4.5,Y,37,47.25,5.3
Devin Booker,PG/SG,PHX,vs CHA,15,113.00,8900,25.5,64.7,42.8,7.1,1.19,42.94,9.09,11.20,8.9,31.5,19.8,35.9,35.25,42.34,42.34,100,,74,4.8,Y,12,11.00,1.2
Kawhi Leonard,SF/PF,TOR,vs IND,6,107.00,8800,0,18.6,46.3,3.0,1.33,47.92,6.97,9.28,0,30.3,18.9,34.8,0.00,0.00,0.00,100,,80,0,,,,
Victor Oladipo,PG/SG,IND,@ TOR,18,106.00,8500,19,64.3,40.9,5.4,1.24,44.62,9.14,12.94,8.56,28.2,17.1,33.0,33.70,38.45,38.45,100,,68,4.5,Y,34,22.00,2.6
