Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Anthony Davis,PF/C,NOP,@ POR,11,110.75,11600,0,21.7,60.9,5.2,1.65,59.21,11.82,10.83,0,25.6,17.8,37.0,0.00,0.00,0.00,100,,82,0,,0,0.00,
Giannis Antetokounmpo,SF/PF,MIL,@ BOS,23,109.50,11100,24.7,79.5,55.2,5.7,1.81,65.16,7.07,15.65,6.99,36.5,19.7,30.5,35.58,48.21,48.21,100,,72,4.3,Y,36,55.25,5
Russell Westbrook,PG,OKC,@ CHA,11,114.75,10700,40.1,61.5,51.8,7.8,1.58,56.89,5.16,6.10,4.97,33.8,20.3,32.8,34.70,49.27,49.27,100,,88,4.6,Y,37,60.00,5.6
Joel Embiid,C,PHI,vs LAC,26,116.75,10300,37,79.1,53.4,4.1,1.53,55.10,11.03,12.03,10.43,29.7,19.6,34.9,34.04,55.04,55.04,100,,77,5.3,Y,33,68.75,6.7
Nikola Jokic,C,DEN,@ CLE,10,110.75,10100,24.8,71.7,51.8,7.1,1.69,60.70,15.10,13.39,13.21,25.0,13.4,30.7,31.50,44.92,44.92,100,,74,4.4,Y,22,19.00,1.9
Damian Lillard,PG,POR,vs NOP,30,117.75,9900,24,70.3,46.6,6.0,1.36,48.97,12.07,13.21,11.87,29.7,18.7,34.3,35.41,43.84,43.84,100,,72,4.4,Y,31,45.75,4.6
Ben Simmons,PG/SF,PHI,vs LAC,24,116.75,9600,21.8,79.7,42.5,8.0,1.38,49.54,10.93,16.56,10.22,22.2,11.4,30.9,33.66,46.62,46.62,100,,61,4.9,Y,35,36.75,3.8
Paul George,SF/PF,OKC,@ CHA,11,114.75,9100,27.9,52.5,44.8,3.5,1.29,46.56,9.40,7.03,9.24,30.4,20.5,34.7,35.38,38.46,38.46,100,,84,4.2,Y,39,42.50,4.7
Kemba Walker,PG,CHA,vs OKC,16,115.75,8800,21.8,51.7,47.8,6.0,1.41,50.66,9.51,8.55,9.35,33.3,21.9,34.0,35.40,34.62,34.62,100,,82,3.9,Y,31,38.25,4.3
Kevin Love,PF/C,CLE,vs DEN,1,106.75,8400,0,22.6,42.9,3.5,1.26,45.40,8.05,11.30,0,26.3,16.3,34.0,0.00,0.00,0.00,100,,74,0,,,,
Kyrie Irving,PG,BOS,vs MIL,12,111.50,7700,19.9,53.8,32.8,5.4,1.04,37.38,8.64,9.66,7.62,24.5,14.7,31.6,31.76,34.43,34.43,100,,71,4.5,Y,33,50.25,6.5
Tobias Harris,SF/PF,LAC,@ PHI,19,111.75,7600,18.4,48.5,36.6,1.7,1.07,38.64,7.31,8.60,6.85,24.4,15.6,34.1,33.73,31.27,31.27,100,,77,4.1,Y,33,41.00,5.4
Nikola Mirotic,SF/PF,NOP,@ POR,11,110.75,7500,21.3,53.7,41.7,1.3,1.38,49.54,8.81,9.25,7.71,25.5,16.6,30.3,31.50,35.22,35.22,100,,78,4.7,Y,36,46.25,6.2
Jamal Murray,PG/SG,DEN,@ CLE,10,110.75,7400,11.7,54.4,31.1,3.3,0.95,34.12,14.71,12.19,14.29,21.8,14.0,32.9,34.96,30.03,30.03,100,,61,4.1,Y,23,15.25,2.1
Jrue Holiday,PG/SG,NOP,@ POR,23,110.75,7300,22.4,46.8,38.4,8.0,1.10,39.45,9.67,6.97,9.57,22.6,14.6,35.0,35.64,32.90,32.90,100,,82,4.5,Y,35,41.00,5.6
Steven Adams,C,OKC,@ CHA,15,114.75,7300,15.5,40.3,37.7,1.6,1.08,38.95,6.84,7.09,6.35,16.6,11.0,34.8,33.44,26.12,26.12,100,,81,3.6,Y,34,31.00,4.2
Khris Middleton,SG/SF,MIL,@ BOS,18,109.50,7200,24.5,42.4,37.7,3.9,1.23,44.16,2.31,5.12,2.19,23.0,13.0,30.7,34.08,32.17,32.17,100,,86,4.5,Y,34,32.50,4.5
Trae Young,PG,ATL,vs SAC,25,115.75,7100,12.5,53.2,34.1,6.6,1.09,39.11,9.09,11.63,7.75,26.6,15.0,31.4,30.69,29.92,29.92,100,,66,4.2,Y,27,30.25,4.3
Gary Harris,SG,DEN,@ CLE,10,110.75,7000,19.2,45.3,33.1,3.6,0.98,35.24,9.30,7.45,8.97,22.2,15.7,33.9,34.72,30.35,30.35,100,,77,4.3,Y,28,28.25,4
Taurean Prince,SF,ATL,vs SAC,21,115.75,6900,18,50,29.7,2.9,1.03,37.02,14.01,9.13,12.41,27.8,14.0,28.9,31.90,31.74,31.74,100,,69,4.6,Y,29,27.25,3.9
Willie Cauley-Stein,C,SAC,@ ATL,17,117.75,6800,19.7,48.5,35.6,2.6,1.17,42.32,4.84,8.22,4.03,22.3,13.5,30.3,30.00,32.04,32.04,100,,77,4.7,Y,25,24.50,3.6
De'Aaron Fox,PG,SAC,@ ATL,29,117.75,6700,20.9,53.9,35.4,6.9,1.09,39.37,5.87,9.43,5.84,25.2,13.3,32.4,35.80,35.05,35.05,100,,73,5.2,Y,34,72.50,10.8
C.J. McCollum,PG/SG,POR,vs NOP,25,117.75,6600,27.8,36.4,29.6,2.0,0.93,33.35,4.49,2.46,4.21,25.5,16.7,32.0,33.79,31.49,31.49,100,,92,4.8,Y,30,16.50,2.5
Eric Bledsoe,PG/SG,MIL,@ BOS,2,109.50,6500,21.9,52.3,33.0,6.9,1.18,42.69,8.80,8.69,7.41,19.6,10.9,27.9,30.33,34.94,34.94,100,,74,5.4,Y,33,26.25,4
Danilo Gallinari,SF/PF,LAC,@ PHI,19,111.75,6500,18.5,35.2,33.0,1.4,1.15,41.33,5.89,4.77,4.77,25.2,14.0,28.7,29.16,25.66,25.66,100,,86,3.9,Y,35,38.00,5.8
Julius Randle,PF/C,NOP,@ POR,11,110.75,6400,13.3,42,31.6,2.0,1.37,49.47,9.18,8.20,6.17,28.2,11.4,23.0,24.20,25.56,25.56,100,,74,4,,26,41.50,6.5
Buddy Hield,SG/SF,SAC,@ ATL,30,117.75,6400,16.8,53.8,32.0,2.4,1.00,36.04,8.28,10.56,7.96,22.8,14.1,32.0,34.60,32.63,32.63,100,,67,5.1,Y,33,49.25,7.7
Jayson Tatum,SF/PF,BOS,vs MIL,16,111.50,6300,16,47.7,32.0,2.3,0.99,35.56,9.65,9.03,9.02,23.5,14.1,32.4,33.66,29.59,29.59,100,,72,4.7,Y,32,25.50,4
