Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
James Harden,PG/SG,HOU,vs PHX,18,120.75,11700,29.1,86.4,61.6,7.5,1.67,60.30,13.47,16.38,11.69,40.1,24.4,36.8,31.25,53.63,53.63,100,,73,4.6,Y,29,64.75,5.5
Giannis Antetokounmpo,SF/PF,MIL,vs ATL,13,123.00,11600,36.9,81.4,57.7,5.9,1.76,63.34,11.97,12.73,9.98,32.3,17.4,32.8,30.00,55.98,55.98,100,,78,4.8,Y,25,54.25,4.7
Russell Westbrook,PG,OKC,@ MIN,12,117.50,11400,41,84.9,58.2,10.5,1.63,58.56,10.45,12.54,10.52,30.8,20.3,35.8,36.25,59.83,59.83,100,,78,5.2,Y,38,67.50,5.9
Paul George,SF/PF,OKC,@ MIN,2,117.50,10000,36.4,77.1,50.6,4.1,1.38,49.62,9.92,11.62,10.26,29.1,20.8,36.7,37.25,53.84,53.84,100,,77,5.4,Y,38,52.75,5.3
Karl-Anthony Towns,C,MIN,vs OKC,24,111.50,9700,28.4,81.2,50.0,3.4,1.52,54.93,13.68,15.07,12.64,28.9,16.9,32.8,33.25,51.03,51.03,100,,70,5.3,Y,33,50.25,5.2
Nikola Vucevic,C,ORL,@ BOS,23,106.50,9600,32.8,71.7,46.1,3.8,1.48,53.33,11.08,11.12,10.23,27.7,16.7,31.1,33.25,49.47,49.47,100,,76,5.2,Y,34,52.50,5.5
Andre Drummond,C,DET,vs CHA,6,111.00,9600,28,74.7,45.9,1.4,1.37,49.48,10.72,13.34,9.98,22.7,13.3,33.4,33.50,48.05,48.05,100,,71,5,Y,42,52.75,5.5
Nikola Jokic,C,DEN,@ POR,16,104.75,9500,0,26.7,48.9,7.3,1.57,56.43,12.78,13.35,0,27.3,14.9,31.2,0.00,0.00,0.00,100,,73,0,,,,
Luka Doncic,PG/SG,DAL,@ MEM,9,106.50,9400,0,23,42.7,5.9,1.33,47.72,10.77,11.52,0,30.7,16.5,32.2,0.00,0.00,0.00,100,,73,0,,,,
D'Angelo Russell,PG/SG,BKN,@ IND,4,108.50,9300,21.7,69.8,39.2,6.9,1.30,46.81,11.83,13.72,10.84,31.1,18.7,30.1,33.00,42.31,42.31,100,,65,4.5,Y,29,37.50,4
Damian Lillard,PG,POR,vs DEN,6,112.75,9200,29,66.8,45.3,6.9,1.28,46.27,10.14,10.79,9.86,29.1,19.2,35.3,35.00,45.21,45.21,100,,76,4.9,Y,38,47.00,5.1
Kemba Walker,PG,CHA,@ DET,7,105.00,9100,23.6,70.7,43.2,5.9,1.24,44.79,11.34,13.43,11.26,30.8,20.3,34.7,35.75,43.79,43.79,100,,69,4.8,Y,41,54.50,6
Rudy Gobert,C,UTA,@ LAL,29,114.25,9000,33.5,68.1,41.6,2.0,1.31,47.16,9.59,9.88,9.12,18.0,8.7,31.7,34.25,48.36,48.36,100,,76,5.4,Y,36,41.00,4.6
