Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Russell Westbrook,PG,OKC,vs DEN,5,109.75,10700,38.2,81.5,57.8,10.3,1.62,58.24,10.25,12.37,10.32,30.9,20.2,35.7,36.25,56.78,56.78,100,,79,5.3,Y,36,54.75,5.1
Karl-Anthony Towns,C,MIN,vs GSW,8,109.25,10500,29.4,82.8,50.6,3.3,1.54,55.48,13.87,15.26,13.1,28.8,17.0,32.8,34.00,52.24,52.24,100,,70,5,Y,30,42.75,4.1
LeBron James,SF/PF,LAL,vs CHA,13,113.75,10300,31.6,74.2,54.6,8.2,1.56,55.97,10.83,12.19,9.63,31.8,19.9,35.1,32.00,49.86,49.86,100,,78,4.8,Y,32,43.25,4.2
Damian Lillard,PG,POR,@ ATL,21,117.50,10100,32.5,70.8,45.5,6.8,1.29,46.37,10.01,10.94,10.15,29.0,19.1,35.4,36.50,48.92,48.92,100,,76,4.8,Y,32,53.25,5.3
Paul George,SF/PF,OKC,vs DEN,9,109.75,9700,33.9,75.5,50.8,4.1,1.39,49.91,10.05,11.87,10.4,29.2,20.8,36.6,37.25,51.71,51.71,100,,77,5.3,Y,40,41.25,4.3
Nikola Jokic,C,DEN,@ OKC,30,106.75,9400,29.6,77.1,49.0,7.4,1.57,56.57,13.01,13.56,11.65,27.4,15.0,31.2,32.25,49.95,49.95,100,,72,5.3,Y,34,50.50,5.4
Bradley Beal,SG,WAS,@ UTA,12,106.50,9300,23.5,68.4,45.0,5.5,1.21,43.43,8.66,12.81,8.48,28.0,19.7,37.3,35.25,42.76,42.76,100,,72,4.6,Y,39,50.75,5.5
Stephen Curry,PG/SG,GSW,@ MIN,3,119.25,8900,32.5,71.8,46.9,5.3,1.37,49.42,11.48,11.21,11.16,30.5,19.9,34.2,35.00,49.36,49.36,100,,76,5.5,Y,42,56.75,6.4
Kevin Durant,SF/PF,GSW,@ MIN,4,119.25,8800,32.7,73.8,47.2,5.7,1.34,48.46,10.18,11.74,9.97,29.3,18.3,35.1,35.25,50.34,50.34,100,,75,5.7,Y,42,53.50,6.1
Kyrie Irving,PG,BOS,vs IND,8,110.00,8600,27.8,74.2,45.5,7.1,1.38,49.56,10.35,13.25,9.92,28.6,18.4,33.0,34.50,47.72,47.72,100,,71,5.5,Y,35,47.00,5.5
Kemba Walker,PG,CHA,@ LAL,20,115.75,8500,24.9,71.8,43.3,5.9,1.24,44.79,11.35,13.40,11.03,30.8,20.3,34.8,35.00,45.01,45.01,100,,69,5.3,Y,38,36.00,4.2
Trae Young,PG,ATL,vs POR,14,115.50,8300,20,65.1,36.9,7.9,1.20,43.08,10.81,12.87,10.06,28.0,15.3,30.8,33.50,39.32,39.32,100,,65,4.7,Y,32,48.75,5.9
Donovan Mitchell,PG/SG,UTA,vs WAS,26,119.50,8000,22.6,63.4,37.8,4.1,1.13,40.52,10.10,11.66,9.54,31.4,19.8,33.6,34.00,40.05,40.05,100,,69,5,Y,38,49.75,6.2
Rudy Gobert,C,UTA,vs WAS,19,119.50,7800,30.8,66,41.3,2.0,1.31,47.05,9.76,10.05,8.74,18.0,8.7,31.6,32.25,45.87,45.87,100,,76,5.9,Y,35,46.75,6
DeMarcus Cousins,C,GSW,@ MIN,1,119.25,7100,33.6,62.3,36.7,3.7,1.41,50.84,10.36,8.20,8.49,27.5,12.0,26.0,29.50,45.90,45.90,100,,78,6.5,Y,26,30.25,4.3
JaVale McGee,C,LAL,vs CHA,5,113.75,7000,20.9,61.9,26.7,0.6,1.21,43.66,12.42,11.72,9.92,20.4,8.4,22.0,28.75,38.45,38.45,100,,56,5.5,Y,27,27.75,4
John Collins,PF/C,ATL,vs POR,20,115.50,6900,19.7,57.7,36.3,1.9,1.23,44.37,11.50,10.83,9.26,24.0,13.4,29.4,29.00,35.99,35.99,100,,70,5.2,Y,35,30.50,4.4
Klay Thompson,SG,GSW,@ MIN,1,119.25,6700,21.7,60.2,35.1,2.4,1.03,36.93,13.81,10.99,13.43,26.0,18.3,34.2,35.00,38.23,38.23,100,,69,5.7,Y,41,30.00,4.5
Thomas Bryant,PF/C,WAS,@ UTA,17,106.50,6600,18.5,62.4,21.8,1.2,1.09,39.37,16.87,12.56,15.46,17.5,6.6,20.0,33.00,37.31,37.31,100,,42,5.7,Y,27,33.00,5
C.J. McCollum,PG/SG,POR,@ ATL,16,117.50,6500,0,21.1,33.6,2.9,0.99,35.42,10.57,10.56,0,25.5,17.9,34.1,0.00,0.00,0.00,100,,69,0,,,,
Kyle Kuzma,SF/PF,LAL,vs CHA,13,113.75,6300,14.9,50.3,31.3,2.6,0.95,34.13,8.33,10.11,7.29,23.8,15.5,33.1,31.50,30.10,30.10,100,,68,4.8,Y,31,26.25,4.2
Paul Millsap,PF/C,DEN,@ OKC,15,106.75,6200,18,59.2,28.9,2.0,1.07,38.42,13.43,11.77,11.94,19.7,9.6,27.1,32.00,35.61,35.61,100,,59,5.7,Y,27,23.25,3.8
Jabari Parker,SF/PF,WAS,@ UTA,17,106.50,6200,13.2,54.7,28.4,2.4,1.05,37.83,13.25,11.86,10.95,24.2,11.7,27.0,29.75,30.97,30.97,100,,58,5,,30,27.00,4.4
Domantas Sabonis,PF/C,IND,@ BOS,27,103.00,6200,17.5,49.2,31.9,2.8,1.29,46.20,11.36,9.08,7.81,23.9,9.4,24.8,24.75,31.07,31.07,100,,72,5,,21,27.00,4.4
Andrew Wiggins,SG/SF,MIN,vs GSW,14,109.25,6100,16.3,52.6,30.5,2.4,0.88,31.53,9.04,10.35,8.98,24.3,16.5,34.8,35.75,31.87,31.87,100,,66,5.2,Y,39,40.25,6.6
Al Horford,PF/C,BOS,vs IND,27,110.00,6000,19.1,54.3,32.0,4.1,1.11,40.02,10.79,10.08,8.84,18.8,10.5,28.8,29.50,34.17,34.17,100,,69,5.7,Y,35,37.25,6.2
Jeremy Lamb,SG/SF,CHA,@ LAL,29,115.75,6000,12.6,46.9,28.5,2.1,0.99,35.85,10.26,9.81,7.34,22.2,12.4,28.7,25.75,27.29,27.29,100,,66,4.5,,20,13.75,2.3
Bobby Portis,PF/C,WAS,@ UTA,17,106.50,6000,14.8,49.4,28.4,1.4,1.11,39.77,10.79,9.88,8.17,25.2,12.3,25.7,27.25,29.65,29.65,100,,65,4.9,Y,39,64.25,10.7
Myles Turner,C,IND,@ BOS,27,103.00,6000,20.4,57.7,31.8,1.6,1.11,39.97,11.26,10.67,9.62,20.4,10.7,28.6,30.75,36.36,36.36,100,,66,6.1,Y,34,36.25,6
Jamal Murray,PG/SG,DEN,@ OKC,28,106.75,5900,15,54.9,32.9,4.8,1.00,36.07,10.62,11.38,9.51,24.8,15.7,32.8,32.25,32.11,32.11,100,,65,5.4,Y,34,50.25,8.5
Derrick Favors,PF/C,UTA,vs WAS,25,119.50,5800,19.4,49.7,27.1,1.2,1.15,41.57,9.89,8.64,6.94,19.0,8.2,23.5,25.25,32.37,32.37,100,,68,5.6,Y,9,9.75,1.7
Rajon Rondo,PG,LAL,vs CHA,13,113.75,5800,10.1,55.1,28.9,7.7,0.99,35.52,11.11,12.85,9.18,17.0,9.0,29.3,29.75,29.36,29.36,100,,56,5.1,Y,35,50.00,8.6
Bojan Bogdanovic,SG/SF,IND,@ BOS,7,103.00,5800,14.3,44.4,27.9,1.9,0.88,31.64,9.88,8.60,8.78,22.5,12.9,31.8,32.00,27.22,27.22,100,,69,4.7,Y,33,35.75,6.2
Draymond Green,PF/C,GSW,@ MIN,3,119.25,5800,21.9,54.5,30.8,6.9,0.98,35.32,8.63,9.29,7.97,12.8,6.3,31.4,33.25,35.87,35.87,100,,70,6.2,Y,42,36.50,6.3
Joe Ingles,SG/SF,UTA,vs WAS,15,119.50,5800,16.6,45.9,28.2,5.6,0.90,32.42,8.97,8.39,7.79,17.6,9.8,31.3,31.25,29.16,29.16,100,,70,5,Y,36,41.75,7.2
Tomas Satoransky,PG/SG,WAS,@ UTA,12,106.50,5800,12.4,55,22.9,4.9,0.85,30.71,10.20,12.18,9.99,13.7,6.6,26.9,35.25,30.63,30.63,100,,47,5.3,Y,26,25.50,4.4
Marcus Morris,SF/PF,BOS,vs IND,5,110.00,5700,13.1,43.9,26.4,1.5,0.94,33.93,9.94,8.80,7.8,20.9,11.3,28.0,28.25,26.33,26.33,100,,67,4.6,,20,13.25,2.3
Jayson Tatum,SF/PF,BOS,vs IND,5,110.00,5700,20.1,48.7,30.5,2.1,0.97,35.13,7.80,8.15,6.99,22.2,13.3,31.3,32.25,32.36,32.36,100,,73,5.7,Y,24,22.75,4
Dewayne Dedmon,PF/C,ATL,vs POR,15,115.50,5600,16.6,50.6,27.1,1.4,1.08,38.94,10.46,9.71,7.85,16.9,8.3,25.1,27.00,31.21,31.21,100,,64,5.6,Y,27,17.25,3.1
Darren Collison,PG,IND,@ BOS,6,103.00,5600,15.5,49.2,27.1,6.0,0.95,34.40,9.94,9.64,8.56,17.4,8.6,28.4,31.00,29.92,29.92,100,,64,5.3,Y,28,25.75,4.6
Ricky Rubio,PG,UTA,vs WAS,19,119.50,5500,15.8,49.1,28.9,6.2,1.02,36.80,12.42,9.51,9.66,23.1,10.8,28.2,28.00,30.06,30.06,100,,67,5.5,Y,33,29.00,5.3
Enes Kanter,C,POR,@ ATL,2,117.50,5500,13.5,56.9,29.2,1.8,1.23,44.32,11.47,12.39,8.04,22.8,9.8,23.7,25.25,32.10,32.10,100,,58,5.8,Y,25,25.50,4.6
Steven Adams,C,OKC,vs DEN,6,109.75,5500,21.7,51.3,33.0,1.6,0.98,35.22,9.21,8.46,8.57,16.5,10.1,33.7,33.50,34.40,34.40,100,,74,6.3,Y,35,26.75,4.9
Thaddeus Young,SF/PF,IND,@ BOS,27,103.00,5400,16.2,48.5,28.0,2.4,0.91,32.82,9.83,9.21,8.74,18.0,10.3,30.7,32.00,30.05,30.05,100,,67,5.6,Y,29,34.75,6.4
Tyus Jones,PG,MIN,vs GSW,11,109.25,5400,14.1,49.4,18.0,4.4,0.82,29.59,10.37,10.10,9.65,13.3,6.1,21.9,33.50,29.21,29.21,100,,44,5.4,Y,27,19.00,3.5
Dennis Schroder,PG/SG,OKC,vs DEN,5,109.75,5300,16,49.1,27.8,4.2,0.96,34.52,10.06,9.46,8.87,24.8,14.1,29.0,31.75,30.14,30.14,100,,66,5.7,,25,12.75,2.4
Jerami Grant,PF,OKC,vs DEN,9,109.75,5200,16.1,44.3,26.0,1.0,0.80,28.81,7.01,8.07,6.47,15.1,10.0,32.4,33.25,28.16,28.16,100,,69,5.4,Y,32,17.00,3.3
Terry Rozier,PG/SG,BOS,vs IND,8,110.00,5100,4.3,39.6,21.3,2.9,0.93,33.40,12.42,10.06,7.07,18.9,8.6,22.9,20.50,19.43,19.43,100,,53,3.8,,15,12.50,2.5
Trevor Ariza,SF/PF,WAS,@ UTA,16,106.50,4900,0,21.8,28.3,3.7,0.83,29.96,8.98,10.89,0,16.6,10.7,34.0,0.00,0.00,0.00,100,,62,0,,,,
