Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Russell Westbrook,PG,OKC,@ IND,8,108.75,10900,36.3,78.1,58.1,10.3,1.63,58.87,9.71,11.96,9.17,31.3,20.3,35.6,34.00,54.21,54.21,100,,79,5,Y,38,68.00,6.2
LeBron James,SF/PF,LAL,@ TOR,3,112.00,10500,32.7,76.5,54.4,7.9,1.55,55.73,11.10,12.50,10.18,31.3,19.5,35.1,33.00,51.46,51.46,100,,77,4.9,Y,32,43.50,4.1
Karl-Anthony Towns,C,MIN,@ UTA,20,107.00,10200,31.5,86.3,50.1,3.2,1.52,54.85,14.09,15.67,14.09,28.4,16.9,32.9,36.00,54.99,54.99,100,,69,5.4,Y,27,50.50,5
Nikola Jokic,C,DEN,vs DAL,7,115.75,10000,32.1,81.5,49.3,7.5,1.58,56.92,13.40,14.11,12.38,27.3,14.9,31.2,33.25,53.25,53.25,100,,71,5.3,Y,30,43.00,4.3
Paul George,SF/PF,OKC,@ IND,7,108.75,9700,30.3,73.2,50.9,4.2,1.39,50.25,10.30,12.25,9.87,29.1,20.7,36.5,34.50,48.70,48.70,100,,76,5,Y,36,55.50,5.7
Nikola Vucevic,C,ORL,vs CLE,9,110.25,9200,33.5,72.9,46.2,3.9,1.49,53.56,10.95,11.27,10.19,27.6,16.6,31.1,33.50,50.39,50.39,100,,76,5.5,Y,27,40.75,4.4
Kyrie Irving,PG,BOS,vs SAC,26,117.50,8900,31,76.8,44.4,7.0,1.35,48.81,10.29,13.09,10.29,28.1,17.8,32.8,36.00,50.66,50.66,100,,71,5.7,Y,38,69.50,7.8
Kawhi Leonard,SF/PF,TOR,vs LAL,19,119.00,8700,34.4,69.7,45.5,3.2,1.34,48.18,7.73,10.08,7.46,30.1,18.9,34.0,34.75,49.56,49.56,100,,78,5.7,Y,32,45.50,5.2
Luka Doncic,PG/SF,DAL,@ DEN,1,104.75,8400,25.2,63.3,41.6,5.6,1.29,46.43,9.84,10.90,9.16,30.0,16.1,32.3,33.50,41.53,41.53,100,,74,4.9,Y,35,55.75,6.6
Donovan Mitchell,PG/SG,UTA,vs MIN,2,115.00,8300,23.5,65,38.2,4.1,1.13,40.70,10.11,11.85,9.97,31.8,20.1,33.8,35.50,41.28,41.28,100,,69,5,Y,32,38.75,4.7
