Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
James Harden,PG/SG,HOU,vs BOS,12,105.75,11300,40,90,57.5,8.4,1.57,56.34,11.60,14.28,12.77,37.4,21.7,36.7,39.64,61.40,61.40,100,,75,5.4,Y,39,60.00,5.3
Giannis Antetokounmpo,SF/PF,MIL,vs NYK,21,121.00,11100,32.1,78.4,55.9,5.9,1.65,59.57,11.75,13.23,11.09,31.3,16.9,33.8,33.97,51.97,51.97,100,,76,4.7,Y,35,69.50,6.3
LeBron James,SF/PF,LAL,@ SAC,22,112.75,10500,0,26,52.7,7.1,1.52,54.88,11.68,12.98,0,31.5,19.3,34.6,0.00,0.00,0.00,100,,75,0,,,,
Joel Embiid,C,PHI,@ UTA,19,107.75,10100,28.7,71.5,53.1,3.5,1.57,56.39,11.69,12.22,11.18,32.1,18.3,33.9,34.44,47.01,47.01,100,,77,4.7,Y,33,61.25,6.1
Kevin Durant,SF/PF,GSW,vs POR,13,118.00,9300,29.5,74.6,51.2,6.1,1.43,51.45,10.28,12.89,10.51,31.1,19.5,35.8,36.79,48.86,48.86,100,,75,5.3,Y,42,63.50,6.8
Stephen Curry,PG/SG,GSW,vs POR,29,118.00,8900,28,74.8,46.9,5.2,1.37,49.28,14.06,13.37,13.65,30.3,19.5,34.3,34.95,48.09,48.09,100,,71,5.4,Y,42,53.25,6
Kyrie Irving,PG,BOS,@ HOU,13,108.75,8400,25.9,71.6,43.6,6.3,1.35,48.56,10.77,13.05,10.03,28.7,18.3,32.3,33.53,45.47,45.47,100,,70,5.4,Y,36,51.75,6.2
Damian Lillard,PG,POR,@ GSW,10,109.00,8300,25.1,64.4,45.0,5.8,1.28,46.04,10.82,11.24,10.55,30.1,19.6,35.2,35.09,41.93,41.93,100,,75,5.1,Y,41,32.75,3.9
Ben Simmons,PG/SF,PHI,@ UTA,17,107.75,8200,27.4,66.8,43.4,7.9,1.31,47.10,10.36,11.26,9.97,20.9,11.1,33.2,34.64,44.27,44.27,100,,74,5.4,Y,31,57.50,7
De'Aaron Fox,PG,SAC,vs LAL,11,116.75,8000,22.3,67.6,37.9,7.6,1.19,42.89,12.86,12.96,12.79,25.0,13.4,31.8,35.80,41.71,41.71,100,,66,5.2,Y,35,47.75,6
