Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
James Harden,PG/SG,HOU,@ ORL,15,110.25,12700,46.8,100,60.8,8.7,1.64,58.94,13.58,15.20,15.05,38.8,22.6,37.1,39.90,69.59,69.59,100,,75,5.5,Y,43,75.25,5.9
Joel Embiid,C,PHI,@ NYK,14,116.75,10800,33.3,76.3,54.1,3.5,1.60,57.73,11.54,12.29,11.22,32.2,18.2,33.8,35.00,51.73,51.73,100,,77,4.8,Y,32,48.50,4.5
LeBron James,SF/PF,LAL,vs CLE,23,115.50,10500,0,26,52.7,7.1,1.52,54.88,11.68,12.98,0,31.5,19.3,34.6,0.00,0.00,0.00,100,,75,0,,,,
Nikola Jokic,C,DEN,vs POR,4,110.75,10200,20.8,69.6,47.8,7.5,1.53,54.95,13.77,13.95,13,26.5,14.5,31.3,33.98,41.73,41.73,100,,71,4.1,Y,37,66.50,6.5
Stephen Curry,PG/SG,GSW,@ DAL,20,116.75,9800,28.3,70.3,47.8,5.6,1.39,49.90,12.86,12.01,12.5,30.6,19.8,34.5,35.00,46.31,46.31,100,,75,4.7,Y,37,74.50,7.6
Kevin Durant,SF/PF,GSW,@ DAL,13,116.75,9600,24.3,68.9,50.0,6.1,1.40,50.45,10.05,12.73,10.01,30.7,19.2,35.7,35.84,43.44,43.44,100,,75,4.5,Y,38,50.25,5.2
Kawhi Leonard,SF/PF,TOR,@ WAS,17,114.50,9400,32.6,65.2,46.7,3.1,1.35,48.56,7.34,9.32,7.1,30.2,18.9,34.6,34.81,46.54,46.54,100,,80,5,Y,45,73.75,7.8
Ben Simmons,PG/SF,PHI,@ NYK,23,116.75,9100,27.8,67.8,44.1,8.1,1.32,47.59,10.24,11.42,9.67,21.9,11.6,33.3,34.00,44.95,44.95,100,,74,4.9,Y,37,61.50,6.8
Bradley Beal,SG,WAS,vs TOR,20,109.50,8800,27.6,66.1,42.1,4.8,1.15,41.36,8.19,10.99,8.34,27.8,19.2,36.7,36.67,44.08,44.08,100,,74,5,Y,55,93.50,10.6
Nikola Vucevic,C,ORL,vs HOU,3,104.25,8700,20.2,63.5,45.6,3.7,1.49,53.43,12.01,12.36,11.04,27.7,15.9,30.7,33.10,38.76,38.76,100,,73,4.5,Y,35,43.75,5
Damian Lillard,PG,POR,@ DEN,3,105.75,8600,19.5,57.1,43.9,6.1,1.25,44.99,10.46,10.73,10.17,29.4,19.0,35.2,35.00,35.63,35.63,100,,76,4.1,Y,38,41.50,4.8
Luka Doncic,PG/SF,DAL,vs GSW,8,110.75,8500,29.5,60.1,38.7,5.0,1.21,43.41,8.40,8.74,7.62,27.9,15.1,32.1,32.64,42.63,42.63,100,,77,5,Y,32,43.00,5.1
Jusuf Nurkic,C,POR,@ DEN,24,105.75,8300,24.4,66.3,37.2,2.9,1.38,49.57,10.29,11.98,8.86,24.6,11.2,27.0,31.00,42.32,42.32,100,,68,5.1,Y,25,35.00,4.2
Kevin Love,PF/C,CLE,@ LAL,9,105.50,8000,0,22.6,42.9,3.5,1.26,45.40,8.05,11.30,0,26.3,16.3,34.0,0.00,0.00,0.00,100,,74,0,,,,
Clint Capela,C,HOU,@ ORL,28,110.25,7800,26.1,62.6,40.8,1.4,1.19,42.90,8.75,10.43,8.48,19.5,11.9,34.2,34.90,41.74,41.74,100,,74,5.4,Y,36,35.50,4.6
Jimmy Butler,SG/SF,PHI,@ NYK,27,116.75,7300,20.1,67.5,36.4,3.6,1.10,39.41,10.96,13.54,10.75,22.8,14.6,33.2,35.30,40.42,40.42,100,,63,5.5,Y,28,28.50,3.9
Kyle Lowry,PG,TOR,@ WAS,28,114.50,7200,20.3,60,38.1,9.6,1.13,40.76,12.16,11.34,10.92,18.9,11.2,33.6,32.32,37.30,37.30,100,,70,5.2,Y,50,38.75,5.4
Klay Thompson,SG,GSW,@ DAL,16,116.75,7200,17.8,56,34.5,2.0,1.00,35.91,13.24,10.91,12.61,26.8,18.8,34.6,34.30,34.16,34.16,100,,68,4.7,Y,34,23.50,3.3
Jamal Murray,PG/SG,DEN,vs POR,11,110.75,7100,15.5,59.8,33.8,4.9,0.99,35.51,10.86,12.64,10.42,25.1,16.5,34.3,34.55,34.48,34.48,100,,63,4.9,Y,33,35.00,4.9
