Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Anthony Davis,PF/C,NOP,vs MIN,23,115.75,11500,0,23.5,60.8,4.5,1.64,58.92,10.42,11.76,0,29.2,20.4,37.1,0.00,0.00,0.00,100,,81,0,,,,
James Harden,PG/SG,HOU,vs MEM,1,102.50,11400,29.6,78.7,58.0,8.2,1.58,56.71,11.46,14.04,12.39,37.8,21.9,36.8,38.93,50.65,50.65,100,,76,4.4,Y,41,82.00,7.2
Russell Westbrook,PG,OKC,vs DAL,11,114.75,11000,36,73.8,55.3,10.1,1.60,57.53,10.22,10.80,9.99,30.6,19.1,34.6,35.18,52.23,52.23,100,,80,4.7,Y,35,72.25,6.6
Nikola Vucevic,C,ORL,@ CHA,12,101.25,9800,27.2,71.6,46.0,3.7,1.47,52.85,12.02,12.67,11.42,27.2,16.0,31.3,34.20,46.24,46.24,100,,72,4.7,Y,23,27.75,2.8
Kevin Durant,SF/PF,GSW,@ PHX,25,120.25,9700,27.4,72.7,51.1,6.2,1.42,51.21,10.24,12.94,9.47,31.1,19.5,35.9,33.30,46.85,46.85,100,,75,4.8,Y,30,33.00,3.4
Stephen Curry,PG/SG,GSW,@ PHX,21,120.25,9600,21.6,66.7,47.3,5.3,1.36,49.11,13.53,12.91,12.41,30.3,19.6,34.7,33.03,40.92,40.92,100,,73,4.3,Y,32,54.25,5.7
Kemba Walker,PG,CHA,vs ORL,14,109.25,9400,25.2,70.8,44.7,6.0,1.28,46.01,11.29,13.03,11.13,30.0,20.1,34.9,35.48,44.73,44.73,100,,71,4.8,Y,27,37.75,4
Paul George,SF/PF,OKC,vs DAL,15,114.75,9400,34.2,74.6,49.8,4.2,1.41,50.59,10.63,11.55,10.63,29.3,20.1,35.4,36.00,51.48,51.48,100,,77,5.5,Y,33,37.50,4
Karl-Anthony Towns,C,MIN,@ NOP,15,110.75,9300,30.9,83.8,46.6,2.9,1.38,49.82,13.64,15.12,13.02,26.3,15.8,33.7,34.36,53.54,53.54,100,,68,5.8,Y,37,69.75,7.5
Kyrie Irving,PG,BOS,@ SAS,15,109.50,8900,27.4,72.2,44.1,6.6,1.36,48.86,10.51,12.82,9.85,28.6,18.1,32.5,33.75,46.58,46.58,100,,71,5.2,Y,29,34.75,3.9
Victor Oladipo,PG/SG,IND,vs ATL,25,116.50,8700,20.9,65.8,39.9,5.4,1.22,43.84,9.00,12.82,8.15,27.9,16.6,32.8,32.60,40.16,40.16,100,,68,4.6,Y,34,46.00,5.3
Jrue Holiday,PG/SG,NOP,vs MIN,5,115.75,8500,25.6,56.9,43.9,8.7,1.19,43.01,8.39,8.94,8.56,25.2,17.1,36.8,36.73,39.01,39.01,100,,80,4.6,Y,38,41.50,4.9
