Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Anthony Davis,PF/C,NOP,@ GSW,15,115.50,11400,40.8,70.7,64.7,4.8,1.80,64.69,6.82,8.54,6.77,27.0,18.3,36.0,35.76,53.60,53.60,100,,87,4.7,Y,41,45.50,4
LeBron James,SF/PF,LAL,vs DAL,25,121.00,11300,37.2,67.1,57.4,8.3,1.59,57.36,9.50,8.56,9.43,29.4,20.0,36.0,35.72,50.01,50.01,100,,85,4.4,Y,39,49.75,4.4
Stephen Curry,PG/SG,GSW,vs NOP,30,124.50,9800,36,63.3,51.7,5.5,1.54,55.37,10.28,7.79,9.71,31.2,20.3,33.6,34.02,47.70,47.70,100,,85,4.9,Y,37,58.00,5.9
Nikola Jokic,C,DEN,@ CHI,14,114.25,9700,26.5,75.3,50.3,6.8,1.66,59.74,16.16,13.94,14.59,23.9,12.3,30.3,32.50,47.45,47.45,100,,72,4.9,Y,33,60.50,6.2
Kevin Durant,SF/PF,GSW,vs NOP,1,124.50,9600,26.4,65.1,49.3,6.0,1.42,51.12,7.31,11.07,6.76,29.5,19.1,34.8,33.31,43.00,43.00,100,,78,4.5,Y,40,46.25,4.8
DeMar DeRozan,SG/SF,SAS,@ PHX,29,109.75,9500,20.8,70.1,50.4,8.0,1.30,46.94,9.97,14.10,10.08,29.7,22.3,38.7,36.40,41.90,41.90,100,,72,4.4,Y,28,38.00,4
Blake Griffin,PF/C,DET,@ BKN,19,107.25,9400,10.7,78.4,50.3,4.3,1.42,51.00,14.84,19.35,14.28,29.1,19.7,35.5,34.64,39.70,39.70,100,,62,4.2,Y,42,47.25,5
Andre Drummond,C,DET,@ BKN,8,107.25,9000,28.2,62.4,43.0,1.2,1.37,49.19,6.78,9.77,6.14,27.5,16.7,31.5,32.61,42.85,42.85,100,,77,4.8,Y,38,59.75,6.6
Victor Oladipo,PG/SG,IND,@ NYK,5,107.00,8600,30.6,52.2,39.8,4.9,1.21,43.36,4.84,6.18,4.53,29.8,18.3,33.0,33.67,39.87,39.87,100,,84,4.6,Y,32,39.00,4.5
LaMarcus Aldridge,PF/C,SAS,@ PHX,24,109.75,8500,23.9,67.9,42.0,3.5,1.13,40.46,9.51,12.58,9.1,25.3,18.2,37.3,34.43,42.73,42.73,100,,70,5,Y,24,29.75,3.5
Karl-Anthony Towns,C,MIN,vs UTA,30,107.50,8400,21.1,64.7,38.8,2.1,1.25,44.88,12.54,12.47,12.1,23.6,13.6,31.1,34.73,39.77,39.77,100,,68,4.7,Y,40,64.00,7.6
Jimmy Butler,SG/SF,MIN,vs UTA,6,107.50,8200,0,26.7,43.1,3.3,1.28,45.84,11.01,13.36,0,23.3,15.2,33.8,0.00,0.00,0.00,100,,69,0,,,,
Devin Booker,PG/SG,PHX,vs SAS,10,103.75,8100,0,10.7,43.8,6.8,1.29,46.32,7.55,5.33,0,34.7,17.8,34.0,0.00,0.00,0.00,100,,88,0,,,,
Rudy Gobert,C,UTA,@ MIN,19,114.50,7900,25.2,53.3,44.5,0.8,1.32,47.31,10.22,8.02,9.47,17.6,8.7,33.8,33.36,37.26,37.26,100,,82,4.7,Y,33,51.75,6.6
Donovan Mitchell,PG/SG,UTA,@ MIN,9,114.50,7700,19,52.6,35.3,4.3,0.99,35.50,8.38,9.62,8.27,28.8,19.2,35.8,35.51,33.38,33.38,100,,73,4.3,Y,31,39.75,5.2
DeAndre Jordan,C,DAL,@ LAL,18,114.00,7600,29.5,52.9,42.7,3.0,1.24,44.81,7.76,6.68,7.33,14.9,8.1,34.3,34.02,39.53,39.53,100,,84,5.2,Y,31,27.50,3.6
Nikola Mirotic,SF/PF,NOP,@ GSW,15,115.50,7500,21.2,54.6,40.5,1.3,1.35,48.65,9.24,9.53,7.59,26.0,16.8,30.0,29.59,35.54,35.54,100,,76,4.7,Y,32,48.50,6.5
Zach LaVine,PG/SG,CHI,vs DEN,16,106.25,7400,26.5,45.4,41.1,3.1,1.25,44.88,2.91,5.40,2.78,34.5,18.4,33.0,34.45,34.62,34.62,100,,87,4.7,Y,39,48.75,6.6
Luka Doncic,PG,DAL,@ LAL,25,114.00,7300,25.1,53,36.3,4.0,1.02,36.54,6.48,7.97,6.36,25.1,15.6,35.7,35.35,37.01,37.01,100,,78,5.1,Y,28,33.25,4.6
Jrue Holiday,PG/SG,NOP,@ GSW,2,115.50,7200,28.2,49.7,36.7,7.8,1.09,39.06,10.44,6.13,10.7,21.9,13.8,33.8,36.90,37.42,37.42,100,,83,5.2,Y,42,48.25,6.7
Deandre Ayton,C,PHX,vs SAS,3,103.75,7100,19.4,58.9,39.3,3.8,1.27,45.58,10.53,11.29,9.47,19.9,12.2,31.0,32.36,36.31,36.31,100,,71,5.1,Y,31,21.50,3
Jamal Murray,PG/SG,DEN,@ CHI,17,114.25,7000,11.4,57.4,30.9,2.8,1.00,35.90,15.45,13.15,14.57,23.2,14.2,31.0,33.96,31.11,31.11,100,,57,4.4,Y,44,32.50,4.6
Gary Harris,SG,DEN,@ CHI,17,114.25,6900,20.8,47.2,34.2,3.8,1.03,37.13,8.92,7.53,8.51,22.3,15.3,33.2,34.36,32.13,32.13,100,,78,4.7,Y,38,26.75,3.9
Tim Hardaway Jr.,SG/SF,NYK,vs IND,15,101.00,6800,15.5,47.1,36.7,3.6,1.12,40.36,10.50,9.02,9.71,30.3,20.1,32.7,33.28,29.02,29.02,100,,75,4.3,Y,38,40.75,6
Draymond Green,PF/C,GSW,vs NOP,9,124.50,6700,22.4,48.7,32.5,8.3,1.05,37.74,9.22,7.53,8.7,14.0,6.4,31.0,33.96,33.65,33.65,100,,77,5,Y,34,49.00,7.3
Enes Kanter,C,NYK,vs IND,1,101.00,6600,16.6,48.4,35.3,2.3,1.30,46.80,5.82,9.10,4.18,23.6,11.9,27.1,25.87,30.24,30.24,100,,74,4.6,,21,16.50,2.5
Julius Randle,PF/C,NOP,@ GSW,15,115.50,6500,17.3,47,32.5,2.0,1.41,50.93,9.25,8.50,6.65,29.2,12.3,23.0,25.90,30.04,30.04,100,,74,4.6,,23,26.00,4
Klay Thompson,SG,GSW,vs NOP,26,124.50,6400,10.1,61.2,29.7,1.1,0.92,33.05,21.75,14.60,20.9,26.9,17.5,32.4,34.60,32.01,32.01,100,,51,5,Y,37,30.00,4.7
Brandon Ingram,PG/SF,LAL,vs DAL,25,121.00,6300,18.1,45.7,28.8,1.0,1.05,37.87,13.04,7.88,11.21,25.8,13.7,27.3,30.94,29.92,29.92,100,,73,4.7,Y,31,23.25,3.7
Joe Ingles,SG/SF,UTA,@ MIN,14,114.50,6200,11.6,46.5,31.3,4.2,0.95,34.09,8.60,9.96,7.71,19.4,11.5,33.0,32.28,26.53,26.53,100,,68,4.3,Y,35,29.00,4.7
Rudy Gay,SF/PF,SAS,@ PHX,20,109.75,6100,21.7,51.2,33.3,2.3,1.10,39.51,6.33,8.44,5.8,20.8,11.8,30.3,33.01,34.36,34.36,100,,75,5.6,Y,23,21.50,3.5
Kyle Kuzma,SF/PF,LAL,vs DAL,25,121.00,6100,11.7,46.3,30.1,1.6,0.94,33.76,4.63,9.90,4.12,22.7,16.9,32.1,32.03,26.52,26.52,100,,67,4.3,Y,31,33.50,5.5
DeMarcus Cousins,PF/C,GSW,vs NOP,6,124.50,6000,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Jabari Parker,SF/PF,CHI,vs DEN,1,106.25,6000,27.7,48.2,29.4,2.3,1.08,39.03,5.88,5.86,5.51,26.9,13.6,27.1,33.76,36.49,36.49,100,,80,6.1,Y,36,16.75,2.8
Will Barton,SG/SF,DEN,@ CHI,15,114.25,6000,0,4,30.8,3.0,1.14,41.00,10.39,2.00,0,20.3,10.5,27.0,0.00,0.00,0.00,100,,0,0,,,,
Bobby Portis,PF/C,CHI,vs DEN,1,106.25,6000,0,20.4,29.1,2.0,1.03,37.12,8.04,10.22,0,18.6,10.3,28.3,0.00,0.00,0.00,100,,65,0,,,,
Caris LeVert,SF,BKN,vs DET,18,110.25,6000,18.1,47.3,32.8,4.6,1.06,38.21,9.14,8.36,8.28,27.0,14.9,30.9,32.60,30.61,30.61,100,,75,5.1,Y,40,39.50,6.6
