Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Russell Westbrook,PG,OKC,vs ORL,13,116.50,11400,38.8,77.4,57.7,11.0,1.63,58.51,9.44,11.02,9.65,30.6,19.6,35.5,36.80,55.31,55.31,100,,81,4.9,Y,36,63.75,5.6
LeBron James,SF/PF,LAL,@ IND,16,110.50,10700,31.9,76.8,52.9,7.2,1.52,54.76,11.53,12.81,11.43,31.4,19.4,34.7,35.70,51.16,51.16,100,,76,4.8,Y,30,40.25,3.8
Joel Embiid,C,PHI,vs TOR,7,116.50,10500,32.7,72.6,54.7,3.6,1.63,58.66,11.35,11.41,10.72,33.3,18.7,33.6,34.00,49.81,49.81,100,,79,4.7,Y,42,65.25,6.2
Paul George,SF/PF,OKC,vs ORL,5,116.50,10200,30,67.5,50.4,4.0,1.40,50.27,10.05,10.74,10.54,29.3,20.6,36.1,37.75,46.06,46.06,100,,79,4.5,Y,36,60.00,5.9
Karl-Anthony Towns,C,MIN,@ MEM,15,104.75,9700,30.6,85.1,48.8,3.2,1.47,53.03,14.12,15.55,14.66,27.6,16.5,33.1,37.37,53.96,53.96,100,,68,5.6,Y,35,54.50,5.6
Nikola Vucevic,C,ORL,@ OKC,29,107.50,9600,34.6,74.6,46.4,3.8,1.48,53.27,11.17,11.43,10.35,28.1,16.8,31.3,33.37,51.76,51.76,100,,75,5.4,Y,34,36.25,3.8
Kyrie Irving,PG,BOS,@ CLE,5,110.00,9400,0,26.5,45.1,7.0,1.37,49.44,10.63,13.25,0,28.6,18.1,32.9,0.00,0.00,0.00,100,,71,0,,,,
Kawhi Leonard,SF/PF,TOR,@ PHI,9,114.50,9300,27.3,63.1,46.9,3.1,1.35,48.56,7.42,10.22,7.23,30.0,19.1,34.8,35.10,42.61,42.61,100,,78,4.6,Y,35,42.75,4.6
Damian Lillard,PG,POR,vs MIA,9,109.75,8900,28.3,65.7,44.8,6.3,1.27,45.73,10.20,10.69,10.46,29.8,19.3,35.3,36.92,44.34,44.34,100,,76,5,Y,35,34.25,3.8
Blake Griffin,PF/C,DET,@ NYK,28,104.75,8800,30.3,73.1,46.5,5.3,1.28,46.25,10.17,12.21,10.13,30.2,18.6,36.2,35.86,48.66,48.66,100,,74,5.5,Y,38,47.50,5.4
Kemba Walker,PG,CHA,vs LAC,20,113.00,8700,20.5,64.9,42.1,5.6,1.23,44.15,10.97,12.69,10.91,30.5,19.7,34.3,35.80,39.56,39.56,100,,70,4.5,Y,39,60.25,6.9
Ben Simmons,PG/SF,PHI,vs TOR,18,116.50,8600,31,70.6,44.6,8.0,1.33,47.81,10.81,11.30,10.54,22.2,11.9,33.6,35.10,47.98,47.98,100,,75,5.6,Y,44,40.75,4.7
Andre Drummond,C,DET,@ NYK,9,104.75,8300,16.8,61.7,43.8,1.2,1.34,47.97,10.76,12.84,10.17,23.3,13.7,32.8,34.02,36.06,36.06,100,,71,4.3,Y,36,50.00,6
Mike Conley,PG,MEM,vs MIN,17,101.75,8200,25,63.5,37.9,6.3,1.12,40.42,9.84,11.02,10.59,26.9,15.9,33.7,38.75,41.50,41.50,100,,71,5.1,Y,34,50.25,6.1
Jusuf Nurkic,C,POR,vs MIA,2,109.75,8100,18.4,59.2,37.8,3.2,1.38,49.74,10.19,11.63,8.73,24.7,11.3,27.4,30.83,35.89,35.89,100,,69,4.4,Y,23,24.25,3
Tobias Harris,SF/PF,LAC,@ CHA,21,110.00,7900,22.2,56,37.3,2.7,1.08,38.85,8.53,9.65,8.23,23.5,15.4,34.5,34.74,36.65,36.65,100,,74,4.6,Y,36,50.25,6.4
Marc Gasol,C,MEM,vs MIN,8,101.75,7700,0,22.7,38.3,4.7,1.13,40.81,9.48,11.33,0,22.7,12.9,33.8,0.00,0.00,0.00,100,,70,0,,,,
Kevin Love,PF/C,CLE,vs BOS,20,100.00,7600,0,22.6,42.9,3.5,1.26,45.40,8.05,11.30,0,26.3,16.3,34.0,0.00,0.00,0.00,100,,74,0,,,,
Jimmy Butler,SG/SF,PHI,vs TOR,23,116.50,7500,21.3,66.6,36.9,3.9,1.11,40.01,10.90,12.94,11.05,22.5,14.5,33.2,36.50,40.73,40.73,100,,65,5.4,Y,39,30.25,4
Louis Williams,PG/SG,LAC,@ CHA,18,110.00,7300,21.2,59.1,32.1,5.3,1.23,44.53,12.40,10.82,9.79,32.0,14.6,26.0,28.43,37.41,37.41,100,,66,5.1,,32,47.75,6.5
C.J. McCollum,PG/SG,POR,vs MIA,5,109.75,7100,15.2,50,32.6,2.7,0.96,34.57,10.22,9.95,9.74,25.7,17.8,33.9,34.30,30.12,30.12,100,,69,4.2,Y,40,46.75,6.6
Kyle Lowry,PG,TOR,@ PHI,19,114.50,7000,17.1,54.7,37.5,9.2,1.09,39.31,11.67,10.76,10.73,19.0,11.4,34.4,33.10,33.20,33.20,100,,71,4.7,Y,35,35.25,5
Hassan Whiteside,C,MIA,@ POR,4,102.75,6900,6.7,50.8,35.2,0.9,1.38,49.67,12.50,12.59,8.48,22.6,10.0,25.5,24.43,25.63,25.63,100,,64,3.7,Y,30,54.75,7.9
Rajon Rondo,PG,LAL,@ IND,3,110.50,6800,13.3,54.3,29.2,7.7,1.05,37.73,11.18,11.72,10.37,17.2,8.8,27.9,33.40,30.86,30.86,100,,60,4.5,Y,28,13.00,1.9
Terry Rozier,PG/SG,BOS,@ CLE,5,110.00,6700,12.5,48.8,21.3,3.1,0.93,33.64,12.26,10.39,10.28,18.5,8.4,22.8,30.20,28.06,28.06,100,,51,4.2,Y,32,24.25,3.6
Al Horford,PF/C,BOS,@ CLE,6,110.00,6600,17.2,49.1,31.1,3.8,1.10,39.63,10.95,9.10,8.88,18.6,10.0,28.2,29.20,30.86,30.86,100,,71,4.7,Y,30,34.00,5.2
Montrezl Harrell,PF/C,LAC,@ CHA,21,110.00,6600,11.6,48.2,30.7,1.6,1.18,42.23,11.97,10.47,9.6,22.1,10.1,26.1,28.86,27.27,27.27,100,,66,4.1,,28,38.50,5.8
Myles Turner,C,IND,vs LAL,9,107.50,6500,14.7,50.9,31.3,1.7,1.10,39.74,10.96,10.32,9.1,20.2,10.6,28.4,29.89,30.22,30.22,100,,67,4.6,Y,22,32.75,5
Darren Collison,PG,IND,vs LAL,12,107.50,6400,15.5,51.3,25.7,5.8,0.92,33.16,10.88,10.24,9.5,16.3,8.1,27.9,31.43,30.83,30.83,100,,60,4.8,Y,25,26.00,4.1
Pascal Siakam,PF/C,TOR,@ PHI,11,114.50,6300,15.4,47.4,31.3,2.8,1.00,35.97,8.35,9.12,7.21,18.8,10.7,31.3,31.10,29.11,29.11,100,,71,4.6,Y,30,28.50,4.5
Aaron Gordon,SF/PF,ORL,@ OKC,10,107.50,6200,14,51.1,33.3,3.4,0.99,35.59,10.48,10.62,10.36,21.5,13.3,33.7,35.59,29.90,29.90,100,,68,4.8,Y,36,46.50,7.5
