PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DFT_YR,DFT_RND,DFT_NUM
Joe Ingles,UTA,31,6 8,226,None,Australia,Undrafted,Undrafted,Undrafted
Joel Embiid,PHI,25,7 1,250,Kansas,Cameroon,2014,1,3
John Collins,ATL,21,6 10,235,Wake Forest,USA,2017,1,19
John Henson,CLE,28,6 11,219,North Carolina,USA,2012,1,14
John Holland,CLE,30,6 5,205,Boston U.,USA,Undrafted,Undrafted,Undrafted
John Jenkins,NYK,28,6 4,215,Vanderbilt,USA,2012,1,23
John Wall,WAS,28,6 4,210,Kentucky,USA,2010,1,1
Johnathan Motley,LAC,24,6 10,230,Baylor,USA,Undrafted,Undrafted,Undrafted
Johnathan Williams,LAL,24,6 9,228,Gonzaga University,USA,Undrafted,Undrafted,Undrafted
Jon Leuer,DET,30,6 10,228,Wisconsin,USA,2011,2,40
Jonah Bolden,PHI,23,6 10,220,None,Australia,2017,2,36
Jonas Jerebko,GSW,32,6 10,231,None,Sweden,2009,2,39
Jonas Valanciunas,MEM,27,7 1,265,None,Lithuania,2011,1,5
Jonathan Isaac,ORL,21,6 10,210,Florida State,USA,2017,1,6
Jonathon Simmons,PHI,29,6 6,195,Houston,USA,Undrafted,Undrafted,Undrafted
Jordan Bell,GSW,24,6 9,224,Oregon,USA,2017,2,38
Jordan Clarkson,CLE,27,6 5,194,Missouri,USA,2014,2,46
Jordan Loyd,TOR,25,6 4,210,None,USA,Undrafted,Undrafted,Undrafted
Jordan McRae,WAS,28,6 5,179,Tennessee,USA,2014,2,58
Jordan Sibert,ATL,26,6 4,187,University of Dayton,USA,Undrafted,Undrafted,Undrafted
Jose Calderon,DET,37,6 3,200,None,Spain,Undrafted,Undrafted,Undrafted
Josh Hart,LAL,24,6 5,215,Villanova,USA,2017,1,30
Josh Jackson,PHX,22,6 8,200,Kansas,USA,2017,1,4
Josh Okogie,MIN,20,6 4,212,Georgia Institute of Technology,Nigeria,2018,1,20
Josh Richardson,MIA,25,6 6,200,Tennessee,USA,2015,2,40
Jrue Holiday,NOP,29,6 4,205,UCLA,USA,2009,1,17
Juancho Hernangomez,DEN,23,6 9,230,None,Spain,2016,1,15
Julian Washburn,MEM,27,6 8,209,Texas-El Paso,USA,Undrafted,Undrafted,Undrafted
Julius Randle,NOP,24,6 9,250,Kentucky,USA,2014,1,7
Justin Anderson,ATL,25,6 6,230,Virginia,USA,2015,1,21
Justin Holiday,MEM,30,6 6,181,Washington,USA,Undrafted,Undrafted,Undrafted
Justin Jackson,DAL,24,6 8,210,North Carolina,USA,2017,1,15
Justin Patton,PHI,22,7 1,241,Creighton,USA,2017,1,16
Justise Winslow,MIA,23,6 7,225,Duke,USA,2015,1,10
Jusuf Nurkic,POR,24,7 1,275,None,Bosnia and He...,2014,1,16
Kadeem Allen,NYK,26,6 3,200,Arizona,USA,2017,2,53
Kalin Lucas,DET,30,6 1,195,Michigan State,USA,Undrafted,Undrafted,Undrafted
Karl-Anthony Towns,MIN,23,7 1,248,Kentucky,USA,2015,1,1
Kawhi Leonard,TOR,28,6 7,230,San Diego State,USA,2011,1,15
Keita Bates-Diop,MIN,23,6 9,229,Ohio State University,USA,2018,2,48
Kelly Olynyk,MIA,28,7 1,240,Gonzaga,Canada,2013,1,13
Kelly Oubre Jr.,PHX,23,6 7,205,Kansas,USA,2015,1,15
Kemba Walker,CHA,29,6 1,184,Connecticut,USA,2011,1,9
Kenneth Faried,HOU,29,6 8,220,Morehead State,USA,2011,1,22
Kenrich Williams,NOP,24,6 7,210,None,USA,Undrafted,Undrafted,Undrafted
Kent Bazemore,ATL,29,6 5,201,Old Dominion,USA,Undrafted,Undrafted,Undrafted
Kentavious Caldwell-Pope,LAL,26,6 5,205,Georgia,USA,2013,1,8
Kevin Durant,GSW,30,6 9,240,Texas,USA,2007,1,2
Kevin Huerter,ATL,20,6 7,190,University of Maryland,USA,2018,1,19
Kevin Knox,NYK,19,6 9,215,University of Kentucky,USA,2018,1,9
Kevin Love,CLE,30,6 10,251,UCLA,USA,2008,1,5
Kevon Looney,GSW,23,6 9,220,UCLA,USA,2015,1,30
Khem Birch,ORL,26,6 9,233,UNLV,Canada,Undrafted,Undrafted,Undrafted
Khris Middleton,MIL,27,6 8,222,Texas A&M,USA,2012,2,39
Khyri Thomas,DET,23,6 3,210,Creighton University,USA,2018,2,38
Klay Thompson,GSW,29,6 7,215,Washington State,USA,2011,1,11
Kobi Simmons,CLE,21,6 4,170,Arizona,USA,Undrafted,Undrafted,Undrafted
Kosta Koufos,SAC,30,7 1,245,Ohio State,USA,2008,1,23
Kostas Antetokounmpo,DAL,21,6 10,200,University of Dayton,Greece,2018,2,60
Kris Dunn,CHI,25,6 4,205,Providence,USA,2016,1,5
Kyle Anderson,MEM,25,6 9,230,UCLA,USA,2014,1,30
Kyle Korver,UTA,38,6 7,212,Creighton,USA,2003,2,51
Kyle Kuzma,LAL,23,6 9,220,Utah,USA,2017,1,27
Kyle Lowry,TOR,33,6 1,196,Villanova,USA,2006,1,24
Kyle O'Quinn,IND,29,6 10,250,Norfolk State,USA,2012,2,49
Kyrie Irving,BOS,27,6 3,193,Duke,Australia,2011,1,1
LaMarcus Aldridge,SAS,33,6 11,260,Texas,USA,2006,1,2
Lance Stephenson,LAL,28,6 6,230,Cincinnati,USA,2010,2,40
Lance Thomas,NYK,31,6 8,240,Duke,USA,Undrafted,Undrafted,Undrafted
Landry Shamet,LAC,22,6 5,188,Wichita State University,USA,2018,1,26
Langston Galloway,DET,27,6 2,200,"St. Joseph's, PA",USA,Undrafted,Undrafted,Undrafted
Larry Nance Jr.,CLE,26,6 9,230,Wyoming,USA,2015,1,27
Lauri Markkanen,CHI,22,7 1,240,Arizona,Finland,2017,1,7
LeBron James,LAL,34,6 8,250,None,USA,2003,1,1
Lonnie Walker IV,SAS,20,6 5,205,University of Miami,USA,2018,1,18
Lonzo Ball,LAL,21,6 6,190,UCLA,USA,2017,1,2
Lorenzo Brown,TOR,28,6 5,189,North Carolina State,USA,2013,2,52
Lou Williams,LAC,32,6 1,175,None,USA,2005,2,45
Luc Mbah a Moute,LAC,32,6 8,230,California-Los Angeles,Cameroon,2008,2,37
Luka Doncic,DAL,20,6 7,218,None,Slovenia,2018,1,3
Luke Kennard,DET,23,6 5,206,Duke,USA,2017,1,12
Luke Kornet,NYK,23,7 1,250,Vanderbilt,USA,Undrafted,Undrafted,Undrafted
Luol Deng,MIN,34,6 9,237,Duke,United Kingdo...,2004,1,7
Malachi Richardson,TOR,23,6 6,205,Syracuse,USA,2016,1,22
Malcolm Brogdon,MIL,26,6 5,229,Virginia,USA,2016,2,36
Malcolm Miller,TOR,26,6 7,210,Holy Cross,USA,Undrafted,Undrafted,Undrafted
Malik Beasley,DEN,22,6 5,195,Florida State,USA,2016,1,19
Malik Monk,CHA,21,6 3,200,Kentucky,USA,2017,1,11
MarShon Brooks,MEM,30,6 5,200,Providence,USA,2011,1,25
Marc Gasol,TOR,34,7 1,255,None,Spain,2007,2,48
Marcin Gortat,LAC,35,6 11,240,None,Poland,2005,2,57
Marco Belinelli,SAS,33,6 5,210,None,Italy,2007,1,18
Marcus Derrickson,GSW,23,6 7,249,None,USA,Undrafted,Undrafted,Undrafted
Marcus Morris,BOS,29,6 9,235,Kansas,USA,2011,1,14
Marcus Smart,BOS,25,6 4,220,Oklahoma State,USA,2014,1,6
Mario Hezonja,NYK,24,6 8,225,None,Croatia,2015,1,5
Markelle Fultz,ORL,21,6 4,200,Washington,USA,2017,1,1
Markieff Morris,OKC,29,6 10,245,Kansas,USA,2011,1,13
Marquese Chriss,CLE,21,6 10,240,Washington,USA,2016,1,8
Marvin Bagley III,SAC,20,6 11,234,Duke University,USA,2018,1,2
Marvin Williams,CHA,33,6 9,237,North Carolina,USA,2005,1,2
Mason Plumlee,DEN,29,6 11,235,Duke,USA,2013,1,22
Matthew Dellavedova,CLE,28,6 4,200,St. Mary's (CA),Australia,Undrafted,Undrafted,Undrafted
Maurice Harkless,POR,26,6 9,220,"St. John's, N.Y.",USA,2012,1,15
Maxi Kleber,DAL,27,6 11,240,None,Germany,Undrafted,Undrafted,Undrafted
Melvin Frazier Jr.,ORL,22,6 6,200,Tulane University,USA,2018,2,35
Meyers Leonard,POR,27,7 1,255,Illinois,USA,2012,1,11
Michael Beasley,LAL,30,6 9,235,Kansas State,USA,2008,1,2
Michael Carter-Williams,ORL,27,6 6,190,Syracuse,USA,2013,1,11
Michael Kidd-Gilchrist,CHA,25,6 7,232,Kentucky,USA,2012,1,2
Mikal Bridges,PHX,22,6 7,210,Villanova University,USA,2018,1,10
Mike Conley,MEM,31,6 1,175,Ohio State,USA,2007,1,4
Mike Muscala,LAL,27,6 11,240,Bucknell,USA,2013,2,44
Mike Scott,PHI,30,6 8,237,Virginia,USA,2012,2,43
Miles Bridges,CHA,21,6 7,225,Michigan State University,USA,2018,1,12
Miles Plumlee,ATL,30,6 11,249,Duke,USA,2012,1,26
Milos Teodosic,LAC,32,6 5,196,None,Serbia,Undrafted,Undrafted,Undrafted
Mitchell Creek,MIN,27,6 6,225,None,Australia,Undrafted,Undrafted,Undrafted
Mitchell Robinson,NYK,21,7 1,240,None,USA,2018,2,36
Mo Bamba,ORL,21,7 1,221,University of Texas at Austin,USA,2018,1,6
Monte Morris,DEN,24,6 3,175,Iowa State,USA,2017,2,51
Montrezl Harrell,LAC,25,6 8,240,Louisville,USA,2015,2,32
Moritz Wagner,LAL,22,6 11,245,University of Michigan,Germany,2018,1,25
Myles Turner,IND,23,6 11,250,Texas,USA,2015,1,11
Naz Mitrou-Long,UTA,25,6 4,218,Iowa State,Canada,Undrafted,Undrafted,Undrafted
Nemanja Bjelica,SAC,31,6 10,234,None,Serbia,2010,2,35
Nene,HOU,36,6 11,250,None,Brazil,2002,1,7
Nerlens Noel,OKC,25,6 11,220,Kentucky,USA,2013,1,6
Nick Young,DEN,34,6 7,210,Southern California,USA,2007,1,16
Nicolas Batum,CHA,30,6 8,200,None,France,2008,1,25
Nik Stauskas,CLE,25,6 6,205,Michigan,Canada,2014,1,8
Nikola Jokic,DEN,24,7 1,250,None,Serbia,2014,2,41
Nikola Mirotic,MIL,28,6 10,250,None,Montenegro,2011,1,23
Nikola Vucevic,ORL,28,7 1,260,USC,Montenegro,2011,1,16
Noah Vonleh,NYK,23,6 9,250,Indiana,USA,2014,1,9
Norman Powell,TOR,26,6 4,215,UCLA,USA,2015,2,46
OG Anunoby,TOR,21,6 8,232,Indiana,United Kingdo...,2017,1,23
Okaro White,WAS,26,6 8,205,Florida State,USA,Undrafted,Undrafted,Undrafted
Omari Spellman,ATL,21,6 9,245,Villanova University,USA,2018,1,30
Omri Casspi,MEM,31,6 9,225,None,Israel,2009,1,23
Otto Porter Jr.,CHI,26,6 8,198,Georgetown,USA,2013,1,3
PJ Dozier,BOS,22,6 6,205,South Carolina,USA,Undrafted,Undrafted,Undrafted
PJ Tucker,HOU,34,6 6,245,Texas,USA,2006,2,35
Pascal Siakam,TOR,25,6 9,230,New Mexico State,Cameroon,2016,1,27
Pat Connaughton,MIL,26,6 4,209,Notre Dame,USA,2015,2,41
Patrick Beverley,LAC,30,6 1,185,None,USA,2009,2,42
Patrick McCaw,TOR,23,6 7,185,UNLV,USA,2016,2,38
Patrick Patterson,OKC,30,6 9,230,Kentucky,USA,2010,1,14
Patty Mills,SAS,30,6 1,180,St. Mary's (CA),Australia,2009,2,55
Pau Gasol,MIL,38,7 1,250,None,Spain,2001,1,3
Paul George,OKC,29,6 9,220,Fresno State,USA,2010,1,10
Paul Millsap,DEN,34,6 8,246,Louisiana Tech,USA,2006,2,47
Quincy Acy,PHX,28,6 7,240,Baylor,USA,2012,2,37
Quincy Pondexter,SAS,31,6 7,230,Washington,USA,2010,1,26
Quinn Cook,GSW,26,6 2,179,Duke,USA,Undrafted,Undrafted,Undrafted
RJ Hunter,BOS,25,6 5,185,Georgia State,USA,2015,1,28
Rajon Rondo,LAL,33,6 1,186,,USA,2006,1,21
Raul Neto,UTA,27,6 1,179,None,Brazil,2013,2,47
Rawle Alkins,CHI,21,6 5,225,None,USA,Undrafted,Undrafted,Undrafted
Ray Spalding,PHX,22,6 10,215,Louisville,USA,2018,2,56
Raymond Felton,OKC,35,6 1,205,North Carolina,USA,2005,1,5
Reggie Bullock,LAL,28,6 7,205,North Carolina,USA,2013,1,25
Reggie Jackson,DET,29,6 3,208,Boston College,USA,2011,1,24
Richaun Holmes,PHX,25,6 10,235,Bowling Green,USA,2015,2,37
Ricky Rubio,UTA,28,6 4,190,None,Spain,2009,1,5
Robert Covington,MIN,28,6 9,225,Tennessee State,USA,Undrafted,Undrafted,Undrafted
Robert Williams III,BOS,21,6 10,240,Texas A&M University,USA,2018,1,27
Robin Lopez,CHI,31,7 1,275,Stanford,USA,2008,1,15
Rodions Kurucs,BKN,21,6 9,210,None,Latvia,2018,2,40
Rodney Hood,POR,26,6 8,206,Duke,USA,2014,1,23
Rodney McGruder,LAC,27,6 4,200,Kansas State,USA,Undrafted,Undrafted,Undrafted
Ron Baker,WAS,26,6 4,220,Wichita State,USA,Undrafted,Undrafted,Undrafted
Rondae Hollis-Jefferson,BKN,24,6 7,217,Arizona,USA,2015,1,23
Royce O'Neale,UTA,26,6 6,226,Baylor,USA,Undrafted,Undrafted,Undrafted
Rudy Gay,SAS,32,6 8,230,Connecticut,USA,2006,1,8
Rudy Gobert,UTA,27,7 1,245,None,France,2013,1,27
Russell Westbrook,OKC,30,6 3,200,UCLA,USA,2008,1,4
Ryan Anderson,MIA,31,6 10,240,California,USA,2008,1,21
Ryan Arcidiacono,CHI,25,6 3,200,Villanova,USA,Undrafted,Undrafted,Undrafted
Ryan Broekhoff,DAL,28,6 7,215,None,Australia,Undrafted,Undrafted,Undrafted
Salah Mejri,DAL,33,7 2,235,None,Tunisia,Undrafted,Undrafted,Undrafted
Sam Dekker,WAS,25,6 9,230,Wisconsin,USA,2015,1,18
Scott Machado,LAL,29,6 1,205,Iona,USA,Undrafted,Undrafted,Undrafted
Semi Ojeleye,BOS,24,6 7,241,Southern Methodist,USA,2017,2,37
Serge Ibaka,TOR,29,6 10,235,None,Democratic Re...,2008,1,24
Seth Curry,POR,28,6 2,185,Duke,USA,Undrafted,Undrafted,Undrafted
Shabazz Napier,BKN,27,6 1,180,Connecticut,USA,2014,1,24
Shai Gilgeous-Alexander,LAC,20,6 6,181,University of Kentucky,Canada,2018,1,11
Shake Milton,PHI,22,6 6,207,Southern Methodist University,USA,2018,2,54
Shaquille Harrison,CHI,25,6 4,190,Tulsa,USA,Undrafted,Undrafted,Undrafted
Shaun Livingston,GSW,33,6 7,192,None,USA,2004,1,4
Shelvin Mack,CHA,29,6 3,203,Butler,USA,2011,2,34
Sindarius Thornwell,LAC,24,6 5,215,South Carolina,USA,2017,2,48
Skal Labissiere,POR,23,6 11,235,Kentucky,Haiti,2016,1,28
Solomon Hill,NOP,28,6 7,225,Arizona,USA,2013,1,23
Spencer Dinwiddie,BKN,26,6 6,210,Colorado,USA,2014,2,38
