Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
James Harden,PG/SG,HOU,vs ORL,15,115.25,13700,45.6,101.5,62.8,8.2,1.67,60.38,13.91,15.99,15.03,40.0,23.9,37.5,38.89,69.54,69.54,100,,75,5.1,Y,37,71.75,5.2
LeBron James,SF/PF,LAL,vs PHX,21,116.25,10600,0,26,52.7,7.1,1.52,54.88,11.68,12.98,0,31.5,19.3,34.6,0.00,0.00,0.00,100,,75,0,,,,
Karl-Anthony Towns,C,MIN,vs UTA,20,107.50,10500,37,92,48.9,3.1,1.48,53.11,14.41,15.70,14.81,27.6,16.5,33.1,37.00,60.57,60.57,100,,68,5.8,Y,36,46.50,4.4
Nikola Vucevic,C,ORL,@ HOU,5,106.25,9900,23.4,64.3,46.1,3.8,1.48,53.29,11.35,11.68,10.68,28.1,16.6,31.1,33.86,40.90,40.90,100,,75,4.1,Y,34,53.25,5.4
Kawhi Leonard,SF/PF,TOR,@ DAL,10,111.50,9700,30.4,65.3,47.6,3.2,1.36,48.90,7.25,9.97,7.15,30.1,19.1,35.0,35.50,45.40,45.40,100,,79,4.7,Y,35,53.00,5.5
Bradley Beal,SG,WAS,@ SAS,8,108.25,9000,24.4,69.6,43.1,5.0,1.16,41.83,8.45,12.91,8.83,28.0,19.6,37.1,37.60,43.73,43.73,100,,70,4.9,Y,39,44.50,4.9
Donovan Mitchell,PG/SG,UTA,@ MIN,22,111.50,8800,26,69,36.8,3.9,1.11,39.96,10.92,12.27,10.7,31.2,19.3,33.1,35.27,44.44,44.44,100,,67,5.1,Y,36,42.00,4.8
Tobias Harris,SF/PF,LAC,vs SAC,22,116.75,8500,25,57.1,37.7,2.5,1.09,39.27,8.10,9.17,8.08,23.5,15.4,34.6,35.90,38.77,38.77,100,,76,4.6,Y,33,31.00,3.6
Rudy Gobert,C,UTA,@ MIN,7,111.50,8500,23.7,61.3,41.2,2.2,1.30,46.76,10.38,10.75,9.88,17.6,8.7,31.7,34.26,39.78,39.78,100,,74,4.7,Y,32,37.00,4.4
LaMarcus Aldridge,PF/C,SAS,vs WAS,14,113.25,8400,22.6,65.7,38.5,2.5,1.18,42.49,9.26,12.30,9,27.2,16.1,32.6,34.97,41.09,41.09,100,,68,4.9,Y,33,55.25,6.6
Devin Booker,PG/SG,PHX,@ LAL,30,109.25,8300,31.2,74.3,40.6,6.7,1.18,42.57,8.95,12.32,8.7,32.1,19.0,34.4,35.00,49.70,49.70,100,,70,6,Y,36,31.00,3.7
Luka Doncic,PG/SF,DAL,vs TOR,6,107.50,8200,26.5,58.9,39.5,5.3,1.23,44.38,8.62,9.27,7.74,28.5,15.4,32.1,32.34,40.36,40.36,100,,77,4.9,Y,36,69.50,8.5
Zach LaVine,PG/SG,CHI,vs CLE,8,108.75,8100,17.7,49.7,36.6,4.2,1.09,39.02,7.35,9.16,6.65,30.9,17.9,33.7,32.55,31.41,31.41,100,,75,3.9,Y,36,34.50,4.3
Kevin Love,PF/C,CLE,@ CHI,27,103.75,8000,0,22.6,42.9,3.5,1.26,45.40,8.05,11.30,0,26.3,16.3,34.0,0.00,0.00,0.00,100,,74,0,,,,
De'Aaron Fox,PG,SAC,@ LAC,18,112.75,7800,16.7,58.5,37.0,7.3,1.17,42.13,12.27,11.95,10.6,25.1,13.6,31.6,31.10,34.61,34.61,100,,68,4.4,Y,32,31.00,4
DeMar DeRozan,SG/SF,SAS,vs WAS,23,113.25,7700,0,25.3,40.8,6.3,1.16,41.58,10.91,12.66,0,28.6,17.9,35.3,0.00,0.00,0.00,100,,69,0,,,,
Clint Capela,C,HOU,vs ORL,27,115.25,7500,0,20.7,40.6,1.5,1.19,42.72,8.72,10.34,0,19.4,11.9,34.2,0.00,0.00,0.00,100,,75,0,,,,
Louis Williams,PG/SG,LAC,vs SAC,29,116.75,7500,30.5,67.1,31.2,5.0,1.23,44.10,12.87,10.46,10.33,31.7,14.3,25.4,28.90,46.21,46.21,100,,66,6.2,,27,38.00,5.1
Kyle Lowry,PG,TOR,@ DAL,24,111.50,7400,19,55.6,37.8,9.4,1.10,39.66,11.44,10.45,10.85,19.0,11.4,34.3,34.14,34.69,34.69,100,,72,4.7,Y,37,46.75,6.3
Chris Paul,PG,HOU,vs ORL,12,115.25,7200,6.6,45.3,37.4,8.0,1.13,40.65,11.23,11.06,7.2,23.1,12.7,33.1,23.07,23.21,23.21,100,,70,3.2,Y,25,32.75,4.5
DeAndre Jordan,C,DAL,vs TOR,4,107.50,7100,12.5,49,34.9,2.0,1.12,40.29,10.00,10.44,8.87,14.4,6.6,31.2,31.93,28.16,28.16,100,,70,4,Y,30,24.25,3.4
Montrezl Harrell,PF/C,LAC,vs SAC,20,116.75,7100,16.8,55,30.7,1.7,1.19,42.95,12.21,10.94,10.48,22.2,9.9,25.8,30.90,33.16,33.16,100,,64,4.7,,29,35.75,5
Hassan Whiteside,C,MIA,@ NYK,8,106.75,6900,6.8,52,35.2,0.9,1.36,49.09,12.57,12.92,8.52,22.3,10.1,25.8,24.40,26.16,26.16,100,,63,3.8,Y,24,43.50,6.3
Kris Dunn,PG/SG,CHI,vs CLE,8,108.75,6900,14.3,47.1,30.4,6.5,0.99,35.71,8.97,9.37,7.91,21.8,11.7,30.7,31.73,28.37,28.37,100,,69,4.1,Y,35,26.00,3.8
Buddy Hield,SG/SF,SAC,@ LAC,12,112.75,6800,13.5,48.5,32.4,2.2,1.03,37.08,9.48,10.00,8.36,24.7,15.9,31.4,31.75,28.48,28.48,100,,69,4.2,Y,38,33.00,4.9
Kyle Kuzma,SF/PF,LAL,vs PHX,21,116.25,6800,0,21.5,32.2,2.5,0.98,35.15,8.48,10.76,0,23.9,15.5,33.0,0.00,0.00,0.00,100,,67,0,,,,
Josh Richardson,SG/SF,MIA,@ NYK,28,106.75,6700,18.9,49.2,31.7,3.9,0.92,32.98,7.82,8.66,7.28,22.3,14.9,34.6,33.50,31.89,31.89,100,,73,4.8,Y,34,25.25,3.8
Lauri Markkanen,PF,CHI,vs CLE,18,108.75,6700,12.1,47.4,31.4,0.9,1.01,36.30,11.19,10.09,9.91,24.8,14.6,31.2,31.88,27.19,27.19,100,,68,4.1,Y,39,46.75,7
Aaron Gordon,SF/PF,ORL,@ HOU,6,106.25,6600,12.9,50,33.4,3.4,1.00,36.04,10.48,10.60,9.9,21.6,13.1,33.4,34.00,28.83,28.83,100,,68,4.4,Y,40,42.50,6.4
Bobby Portis,PF/C,CHI,vs CLE,18,108.75,6600,11.5,40.4,26.4,1.4,1.10,39.76,9.70,8.25,6.47,26.8,11.8,23.9,24.00,23.90,23.90,100,,69,3.6,,19,13.50,2
Deandre Ayton,C,PHX,@ LAL,22,109.25,6600,0,22.2,36.1,2.0,1.17,42.20,10.72,11.09,0,20.9,12.1,30.8,0.00,0.00,0.00,100,,69,0,,,,
Pascal Siakam,PF/C,TOR,@ DAL,8,111.50,6500,15,47.2,31.4,2.9,1.01,36.25,8.44,9.21,7.5,18.6,10.5,31.2,32.00,28.77,28.77,100,,71,4.4,Y,37,25.25,3.9
Serge Ibaka,PF/C,TOR,@ DAL,8,111.50,6400,14.2,44,31.0,1.4,1.08,39.01,11.62,8.52,9.97,24.0,12.8,28.6,30.89,26.94,26.94,100,,73,4.2,Y,36,35.25,5.5
Danilo Gallinari,SF/PF,LAC,vs SAC,22,116.75,6400,0,17.7,32.9,2.5,1.05,37.84,8.31,8.86,0,22.7,12.8,31.3,0.00,0.00,0.00,100,,73,0,,,,
Justise Winslow,PG/SF,MIA,@ NYK,20,106.75,6300,15.5,53.4,27.7,4.1,0.96,34.33,9.94,10.83,8.69,20.8,11.0,29.0,31.49,31.74,31.74,100,,61,5,Y,35,27.75,4.4
Trevor Ariza,SF/PF,WAS,@ SAS,17,108.25,6200,15.8,52.8,28.7,3.8,0.81,29.09,8.68,10.57,8.9,15.8,10.6,35.5,36.90,31.66,31.66,100,,63,5.1,Y,42,34.00,5.5
Rajon Rondo,PG,LAL,vs PHX,28,116.25,6200,21.3,63.7,27.4,7.1,1.09,39.10,11.92,12.12,11.59,17.5,8.1,25.2,35.00,39.45,39.45,100,,56,6.4,Y,42,30.00,4.8
