Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Anthony Davis,PF/C,NOP,@ CHA,6,115.75,11800,31.8,70,59.5,4.6,1.59,57.16,10.95,10.90,11.25,28.4,19.5,37.5,37.00,48.17,48.17,100,,82,4.1,Y,37,80.25,6.8
LeBron James,SF/PF,LAL,vs PHX,22,115.75,10700,29.6,75.3,52.3,6.6,1.51,54.33,11.35,13.05,10.58,31.8,19.7,34.7,33.57,49.21,49.21,100,,75,4.6,Y,31,41.50,3.9
Joel Embiid,C,PHI,vs MEM,5,110.00,10600,27.6,67.2,55.1,3.5,1.62,58.10,11.09,11.31,10.36,32.3,18.9,34.1,33.62,44.61,44.61,100,,79,4.2,Y,38,40.50,3.8
Damian Lillard,PG,POR,@ SAS,24,109.00,9400,29.6,71.9,44.9,6.1,1.28,45.97,11.54,12.09,11.7,29.8,19.7,35.1,36.50,47.71,47.71,100,,73,5.1,Y,41,61.00,6.5
Marc Gasol,C,MEM,@ PHI,9,103.00,8900,22.9,58.5,43.3,4.0,1.22,43.87,8.26,10.19,8.21,22.0,13.4,35.6,35.80,38.16,38.16,100,,76,4.3,Y,38,26.50,3
Jrue Holiday,PG/SG,NOP,@ CHA,16,115.75,8600,34,59.4,43.1,8.9,1.19,42.71,7.59,7.27,7.7,25.0,16.7,36.3,36.50,44.86,44.86,100,,83,5.2,Y,32,35.50,4.1
Ben Simmons,PG/SF,PHI,vs MEM,19,110.00,8600,23.3,65.1,41.9,8.0,1.28,46.11,10.03,11.95,9.56,21.0,11.0,32.7,34.30,41.19,41.19,100,,71,4.8,Y,37,47.00,5.5
Mike Conley,PG,MEM,@ PHI,15,103.00,8500,21.8,62.4,38.7,6.7,1.13,40.79,10.22,11.60,10.09,28.0,16.7,34.1,35.54,39.20,39.20,100,,70,4.6,Y,33,36.00,4.2
Rudy Gobert,C,UTA,@ MIA,7,106.00,8400,17.8,52.1,40.3,1.6,1.25,44.99,10.22,9.82,9.14,17.3,8.6,32.3,32.21,32.50,32.50,100,,76,3.9,Y,37,49.00,5.8
Kemba Walker,PG,CHA,vs NOP,28,117.75,8400,31,72.5,45.9,6.2,1.31,47.00,9.89,11.84,9.77,30.7,20.5,35.1,35.57,48.80,48.80,100,,74,5.8,Y,32,27.25,3.2
Devin Booker,PG/SG,PHX,@ LAL,30,104.75,8100,33.3,63,41.5,7.0,1.15,41.29,7.96,8.47,7.99,32.2,19.9,36.2,36.14,46.04,46.04,100,,80,5.7,Y,17,11.75,1.5
Tobias Harris,SF/PF,LAC,@ DAL,14,114.50,8000,24.8,49.6,38.6,2.3,1.10,39.72,7.05,7.09,6.82,22.9,16.0,35.0,34.83,35.42,35.42,100,,82,4.4,Y,36,28.75,3.6
Donovan Mitchell,PG/SG,UTA,@ MIA,2,106.00,7900,12,55.5,34.6,3.7,1.06,38.01,11.17,12.43,10.33,31.1,18.8,32.7,33.28,30.62,30.62,100,,64,3.9,Y,38,30.25,3.8
DeMar DeRozan,SG/SF,SAS,vs POR,16,108.00,7800,19.9,61.9,41.6,6.0,1.17,41.89,9.27,12.00,9.27,29.0,18.7,35.7,36.00,37.87,37.87,100,,71,4.9,Y,38,57.00,7.3
Montrezl Harrell,PF/C,LAC,@ DAL,3,114.50,7700,11.2,49.5,33.0,1.5,1.28,46.13,9.48,10.94,7.83,21.7,9.2,25.7,29.72,27.61,27.61,100,,67,3.6,,24,42.50,5.5
LaMarcus Aldridge,PF/C,SAS,vs POR,5,108.00,7600,9.2,52.2,37.5,2.4,1.09,39.22,9.53,12.29,8.84,25.1,16.1,34.5,33.40,27.66,27.66,100,,67,3.6,Y,34,45.00,5.9
Jimmy Butler,SG/SF,PHI,vs MEM,1,110.00,7400,6,50.4,37.8,3.7,1.10,39.38,11.21,12.68,10.61,21.9,14.4,34.5,34.06,25.03,25.03,100,,66,3.4,Y,33,28.25,3.8
Luka Doncic,SG/SF,DAL,vs LAC,11,111.50,7300,0,12.6,35.3,4.3,1.06,38.36,6.24,6.30,0,25.9,14.6,33.2,0.00,0.00,0.00,100,,82,0,,,,
Josh Richardson,SG/SF,MIA,vs UTA,13,102.00,7200,20,50.6,34.7,3.1,0.99,35.62,7.95,8.74,7.8,24.2,16.7,35.0,35.31,33.12,33.12,100,,75,4.6,Y,39,24.75,3.4
Jusuf Nurkic,C,POR,@ SAS,3,109.00,7100,12.8,48.7,35.4,2.2,1.36,49.03,9.50,10.26,7.3,24.7,11.0,26.0,27.68,28.18,28.18,100,,71,4,Y,31,36.50,5.1
Nikola Mirotic,SF/PF,NOP,@ CHA,6,115.75,7000,21,48.8,38.1,1.1,1.21,43.56,7.94,7.96,7.47,21.7,14.1,31.5,33.89,32.91,32.91,100,,79,4.7,Y,30,29.50,4.2
Hassan Whiteside,C,MIA,vs UTA,26,102.00,7000,9.7,58.6,38.5,0.8,1.44,51.97,13.62,13.97,7.99,22.7,10.6,26.7,21.11,30.61,30.61,100,,64,4.4,Y,34,60.00,8.6
C.J. McCollum,PG/SG,POR,@ SAS,20,109.00,6900,19.1,52.2,32.1,2.3,0.95,34.10,8.69,9.46,8.5,25.6,17.8,33.9,35.21,33.24,33.24,100,,71,4.8,Y,39,32.00,4.6
Deandre Ayton,C,PHX,@ LAL,19,104.75,6800,19.6,52,35.7,2.5,1.11,40.02,9.79,9.27,8.48,20.5,11.8,32.1,31.18,33.46,33.46,100,,74,4.9,Y,25,28.50,4.2
DeAndre Jordan,C,DAL,vs LAC,22,111.50,6700,14.9,48.1,34.1,2.3,1.08,38.88,8.60,9.50,7.33,14.5,6.4,31.6,30.70,29.13,29.13,100,,72,4.3,Y,34,54.25,8.1
Julius Randle,PF/C,NOP,@ CHA,6,115.75,6600,10.8,55.9,35.4,2.7,1.35,48.67,14.43,12.89,10.98,26.4,11.6,26.2,27.39,30.16,30.16,100,,64,4.6,,21,22.25,3.4
Danilo Gallinari,SF/PF,LAC,@ DAL,14,114.50,6400,19.5,47.7,32.4,2.1,1.03,37.21,9.09,8.06,8.38,22.0,12.9,31.4,33.20,31.57,31.57,100,,75,4.9,Y,34,35.50,5.5
Jaren Jackson Jr.,PF/C,MEM,@ PHI,11,103.00,6300,9,55.3,27.3,1.4,1.06,38.04,11.64,13.22,10.31,22.6,10.0,25.8,31.90,28.87,28.87,100,,52,4.6,Y,23,28.25,4.5
Harrison Barnes,SF/PF,DAL,vs LAC,29,111.50,6200,14,50.3,27.9,1.3,0.89,31.87,11.15,10.37,10.16,23.8,14.0,31.5,32.80,29.59,29.59,100,,63,4.8,Y,38,44.75,7.2
Jeremy Lamb,SG/SF,CHA,vs NOP,12,117.75,6200,19.9,47.9,28.5,1.8,1.02,36.67,7.14,7.99,6.33,21.5,12.0,28.0,31.93,31.93,31.93,100,,72,5.2,Y,33,25.00,4
Ricky Rubio,PG,UTA,@ MIA,22,106.00,6000,15,56.2,29.0,6.4,0.98,35.16,13.79,11.75,12.04,22.5,10.8,29.7,31.43,32.66,32.66,100,,59,5.4,Y,36,39.75,6.6
Kyle Kuzma,SF/PF,LAL,vs PHX,22,115.75,6000,15.8,45.1,27.8,1.7,0.90,32.33,5.52,8.35,5.03,21.7,13.8,30.9,32.79,28.36,28.36,100,,70,4.7,Y,29,42.50,7.1
Goran Dragic,PG,MIA,vs UTA,7,102.00,5900,0,22.1,28.9,4.7,0.94,33.85,11.13,11.04,0,24.1,13.8,30.8,0.00,0.00,0.00,100,,62,0,,,,
T.J. Warren,SF/PF,PHX,@ LAL,26,104.75,5900,0,23.1,28.6,1.3,0.95,34.41,11.01,11.56,0,23.0,13.4,30.0,0.00,0.00,0.00,100,,60,0,,,,
Brandon Ingram,SG/SF,LAL,vs PHX,22,115.75,5600,14.7,39.3,26.6,2.3,0.82,29.65,8.86,7.03,7.94,22.9,13.3,32.3,32.25,25.28,25.28,100,,74,4.5,Y,28,22.00,3.9
Elfrid Payton,PG,NOP,@ CHA,16,115.75,5500,0,31.8,26.1,5.3,1.03,37.13,12.86,15.91,0,16.9,8.5,25.3,0.00,0.00,0.00,100,,39,0,,,,
Dennis Smith Jr.,PG,DAL,vs LAC,11,111.50,5500,12.1,44.9,25.4,3.9,0.90,32.57,9.78,9.37,8.03,24.5,12.0,28.1,29.55,26.12,26.12,100,,63,4.7,Y,32,27.25,5
Rudy Gay,SF/PF,SAS,vs POR,16,108.00,5400,14.6,44.7,28.3,2.2,1.06,38.31,7.10,8.60,5.27,21.0,10.6,26.6,26.73,27.48,27.48,100,,70,5.1,Y,35,28.25,5.2
Dwyane Wade,PG/SG,MIA,vs UTA,13,102.00,5300,12.3,45.4,26.5,3.2,1.04,37.39,9.19,9.45,6.92,26.1,12.5,25.5,27.10,26.45,26.45,100,,64,5,,30,35.25,6.7
Louis Williams,PG/SG,LAC,@ DAL,23,114.50,5200,13.4,40.6,28.2,4.2,1.10,39.65,11.31,7.77,7.06,31.8,14.6,25.6,22.47,25.01,25.01,100,,72,4.8,,26,36.25,7
Joe Ingles,SG/SF,UTA,@ MIA,18,106.00,5200,8.9,41.1,27.7,4.5,0.85,30.62,8.47,9.21,7.36,17.9,10.2,32.5,31.29,22.72,22.72,100,,67,4.4,Y,29,26.50,5.1
