Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
James Harden,PG/SG,HOU,vs BKN,7,115.50,13000,37.8,91.1,61.6,8.6,1.66,59.59,13.74,15.21,14.67,39.5,23.1,37.2,38.43,60.64,60.64,100,,75,4.7,Y,45,85.50,6.6
Anthony Davis,PF/C,NOP,@ GSW,3,117.25,11800,34.9,78.1,62.0,4.4,1.68,60.33,10.56,12.34,10.72,29.7,20.6,37.0,36.56,53.41,53.41,100,,80,4.5,Y,41,72.00,6.1
Giannis Antetokounmpo,SF/PF,MIL,@ MEM,11,109.25,11000,34.1,78.8,56.4,6.1,1.69,61.09,12.03,12.78,11.13,31.5,17.0,33.3,33.31,53.26,53.26,100,,77,4.8,Y,22,52.25,4.8
Stephen Curry,PG/SG,GSW,vs NOP,22,124.25,10100,30.9,74.7,48.6,5.5,1.41,50.81,13.07,12.51,12.65,30.9,20.1,34.5,34.85,49.66,49.66,100,,74,4.9,Y,35,57.25,5.7
Kevin Durant,SF/PF,GSW,vs NOP,14,124.25,9800,26.4,70,50.0,6.1,1.40,50.50,9.87,12.45,9.8,30.5,19.1,35.6,35.76,45.06,45.06,100,,75,4.6,Y,38,63.25,6.5
Kawhi Leonard,SF/PF,TOR,@ BOS,10,110.00,9600,32.4,68.2,47.4,3.2,1.36,48.94,7.45,10.23,7.64,30.1,19.1,34.9,36.90,47.75,47.75,100,,78,5,Y,36,49.50,5.2
Blake Griffin,PF/C,DET,vs ORL,7,106.00,9200,19.3,64.3,46.0,5.2,1.28,45.99,10.75,12.85,10.95,29.2,18.1,36.0,36.66,38.57,38.57,100,,72,4.2,Y,40,46.00,5
Donovan Mitchell,PG/SG,UTA,@ LAC,10,111.75,9100,20.6,61.5,35.2,3.6,1.07,38.40,10.47,11.68,10.89,30.6,18.9,33.0,37.46,38.13,38.13,100,,67,4.2,Y,35,43.00,4.7
Damian Lillard,PG,POR,vs CLE,13,114.75,9000,21.1,57.9,44.0,6.1,1.25,44.88,10.26,10.50,9.57,29.7,19.2,35.3,33.57,36.89,36.89,100,,76,4.1,Y,32,46.50,5.2
Nikola Vucevic,C,ORL,@ DET,28,102.00,8900,31.2,74,45.5,3.8,1.48,53.20,11.94,12.21,11.28,27.7,15.9,30.8,34.02,49.53,49.53,100,,73,5.6,Y,38,48.25,5.4
Andre Drummond,C,DET,vs ORL,30,106.00,8700,19.5,62.5,44.1,1.2,1.32,47.46,10.36,12.29,9.75,23.8,14.1,33.4,33.89,37.96,37.96,100,,72,4.4,Y,38,45.00,5.2
Kyrie Irving,PG,BOS,vs TOR,6,113.00,8600,21.5,66.3,42.8,6.4,1.33,48.01,10.45,12.79,9.75,28.3,17.7,32.1,33.60,40.72,40.72,100,,70,4.7,Y,38,63.75,7.4
Rudy Gobert,C,UTA,@ LAC,24,111.75,8500,27.9,64.3,40.2,2.1,1.27,45.91,9.66,10.40,9.3,17.5,8.5,31.6,34.64,43.47,43.47,100,,74,5.1,Y,34,63.50,7.5
Luka Doncic,SG/SF,DAL,vs SAS,16,108.75,8400,32.6,62.9,38.8,5.0,1.21,43.53,8.33,8.66,7.57,28.0,15.2,32.1,32.71,45.57,45.57,100,,78,5.4,Y,36,49.50,5.9
LaMarcus Aldridge,PF/C,SAS,@ DAL,4,107.75,8300,21.1,64.3,38.2,2.5,1.17,42.02,8.87,12.33,8.78,26.7,16.0,32.7,35.64,39.63,39.63,100,,68,4.8,Y,23,20.50,2.5
Jrue Holiday,PG/SG,NOP,@ GSW,7,117.25,8200,26.3,56.1,43.4,8.2,1.19,42.65,8.13,8.52,8.32,24.9,17.0,36.6,36.82,39.10,39.10,100,,80,4.8,Y,41,49.00,6
DeMar DeRozan,SG/SF,SAS,@ DAL,17,107.75,8100,21.4,65.9,41.3,6.4,1.17,42.10,10.92,12.72,10.82,28.6,18.0,35.3,35.68,40.50,40.50,100,,69,5,Y,40,31.50,3.9
Kevin Love,PF/C,CLE,@ POR,15,101.75,8000,0,22.6,42.9,3.5,1.26,45.40,8.05,11.30,0,26.3,16.3,34.0,0.00,0.00,0.00,100,,74,0,,,,
Jusuf Nurkic,C,POR,vs CLE,10,114.75,7900,22,63.2,37.0,3.0,1.37,49.25,10.25,11.78,8.67,24.5,11.1,27.0,30.45,39.62,39.62,100,,68,5,Y,28,51.50,6.5
Mike Conley,PG,MEM,vs MIL,3,103.25,7600,14.8,52.9,37.4,6.3,1.11,39.79,10.08,10.90,9.4,27.1,16.0,33.8,33.57,31.12,31.12,100,,71,4.1,Y,23,23.00,3
Julius Randle,PF/C,NOP,@ GSW,3,117.25,7500,13.8,54.6,38.1,2.9,1.29,46.49,11.84,11.64,10.56,26.8,13.6,29.5,32.10,31.30,31.30,100,,69,4.2,Y,22,37.25,5
Clint Capela,C,HOU,vs BKN,26,115.50,7500,0,20.7,40.6,1.5,1.19,42.72,8.72,10.34,0,19.4,11.9,34.2,0.00,0.00,0.00,100,,75,0,,,,
