Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Anthony Davis,PF/C,NOP,vs DEN,2,109.25,11100,0,25.2,61.7,4.4,1.66,59.93,10.78,12.60,0,29.7,20.6,37.1,0.00,0.00,0.00,100,,80,0,,,,
Nikola Jokic,C,DEN,@ NOP,25,117.25,10900,33.3,83.7,49.1,7.6,1.57,56.38,14.03,14.39,13.41,27.4,15.1,31.3,34.40,54.87,54.87,100,,71,5,Y,37,64.75,5.9
Karl-Anthony Towns,C,MIN,vs MEM,18,105.75,10600,33.1,87.5,48.9,3.1,1.47,52.97,14.29,15.54,14.35,27.4,16.4,33.2,36.15,56.43,56.43,100,,68,5.3,Y,26,32.00,3
Kyrie Irving,PG,BOS,vs CHA,20,110.75,9200,0,27,44.9,7.0,1.37,49.38,10.86,13.48,0,28.6,18.0,32.7,0.00,0.00,0.00,100,,70,0,,,,
Jrue Holiday,PG/SG,NOP,vs DEN,1,109.25,8900,25.4,55.7,44.0,8.1,1.20,43.08,8.21,8.65,8.46,25.1,17.2,36.8,37.11,38.41,38.41,100,,80,4.3,Y,36,40.00,4.5
Luka Doncic,PG/SF,DAL,@ NYK,13,111.00,8800,28.2,63.6,40.2,5.4,1.25,44.97,9.25,10.12,8.35,28.6,15.6,32.1,32.50,43.36,43.36,100,,75,4.9,Y,29,33.00,3.8
Bradley Beal,SG,WAS,vs IND,17,109.25,8700,30.1,74.4,43.3,5.1,1.17,41.92,8.32,12.66,8.65,28.1,19.6,37.1,37.44,49.05,49.05,100,,71,5.6,Y,31,43.50,5
Damian Lillard,PG,POR,vs UTA,6,107.75,8500,27.3,63.3,44.3,6.2,1.26,45.30,9.89,10.27,10.44,29.8,19.3,35.2,38.00,42.75,42.75,100,,77,5,Y,37,68.00,8
Donovan Mitchell,PG/SG,UTA,@ POR,10,109.75,8400,24.5,67.1,36.9,4.0,1.11,40.01,10.81,12.16,10.75,31.3,19.4,33.2,35.79,42.73,42.73,100,,67,5.1,Y,27,31.50,3.8
Jusuf Nurkic,C,POR,vs UTA,19,107.75,8300,0,23.3,37.8,3.2,1.38,49.74,10.19,11.63,0,24.7,11.3,27.4,0.00,0.00,0.00,100,,69,0,,,,
Kemba Walker,PG,CHA,@ BOS,2,103.75,8200,14.4,57.9,42.1,5.6,1.22,44.09,10.78,12.44,10.5,30.1,19.7,34.4,35.06,33.03,33.03,100,,70,4,Y,27,29.75,3.6
Rudy Gobert,C,UTA,@ POR,4,109.75,8100,21.3,58.7,41.1,2.2,1.30,46.66,10.30,10.66,10.11,17.6,8.7,31.7,35.35,37.33,37.33,100,,74,4.6,Y,27,32.75,4
Mike Conley,PG,MEM,@ MIN,10,102.75,8000,16.8,54.9,37.3,6.3,1.11,40.03,9.73,10.87,9.28,27.0,15.8,33.6,34.34,33.14,33.14,100,,71,4.1,Y,42,49.25,6.2
John Collins,PF/C,ATL,@ SAC,22,115.75,7900,21.4,54.7,36.9,2.3,1.23,44.37,9.30,9.50,7.96,23.2,13.2,30.0,30.83,35.67,35.67,100,,74,4.5,Y,25,24.75,3.1
Julius Randle,PF/C,NOP,vs DEN,2,109.25,7800,0,22.4,38.2,3.0,1.29,46.59,11.78,11.18,0,26.7,13.4,29.6,0.00,0.00,0.00,100,,71,0,,,,
Marc Gasol,C,MEM,@ MIN,7,102.75,7800,17.4,57.2,38.6,4.7,1.14,41.09,9.41,11.39,9.08,22.6,12.8,33.8,34.72,34.44,34.44,100,,70,4.4,Y,43,33.75,4.3
De'Aaron Fox,PG,SAC,vs ATL,23,120.75,7700,20.2,61.7,36.9,7.2,1.17,41.98,12.18,11.86,11.13,25.1,13.6,31.6,32.90,37.97,37.97,100,,68,4.9,Y,22,25.00,3.2
Hassan Whiteside,C,MIA,vs CHI,16,108.75,7500,12,56.9,35.4,0.9,1.38,49.45,12.68,12.83,9.17,22.2,10.1,25.7,26.04,31.20,31.20,100,,64,4.2,Y,15,21.25,2.8
Trae Young,PG,ATL,@ SAC,30,115.75,7400,22.2,59.6,32.7,7.3,1.10,39.46,9.80,10.70,8.58,27.2,14.1,29.8,31.50,38.24,38.24,100,,67,5.2,Y,29,37.75,5.1
C.J. McCollum,PG/SG,POR,vs UTA,8,107.75,7300,17.4,52.3,32.4,2.8,0.95,34.31,10.11,9.97,10.11,25.6,17.9,34.0,36.00,32.36,32.36,100,,69,4.4,Y,30,41.25,5.7
Buddy Hield,SG/SF,SAC,vs ATL,22,120.75,7200,19.7,54.4,32.4,2.3,1.03,36.94,9.42,9.90,8.96,24.6,16.0,31.6,34.25,34.59,34.59,100,,69,4.8,Y,25,31.25,4.3
Zach LaVine,PG/SG,CHI,@ MIA,11,98.75,7100,0,18,36.6,4.2,1.08,38.97,7.22,8.99,0,30.8,17.9,33.8,0.00,0.00,0.00,100,,75,0,,,,
Al Horford,PF/C,BOS,vs CHA,15,110.75,7000,18,50.5,30.7,3.6,1.08,39.01,10.97,9.28,9.21,18.5,10.0,28.3,30.24,31.90,31.90,100,,70,4.6,Y,24,37.75,5.4
DeAndre Jordan,C,DAL,@ NYK,10,111.00,7000,13.4,50,34.7,2.0,1.11,40.07,10.01,10.45,8.76,14.4,6.5,31.2,31.50,29.07,29.07,100,,70,4.2,Y,26,18.25,2.6
Myles Turner,C,IND,@ WAS,12,108.25,6900,15.5,52.6,31.2,1.7,1.11,39.98,11.33,10.59,9.27,19.9,10.4,28.1,29.46,31.40,31.40,100,,66,4.6,Y,27,22.00,3.2
Will Barton,SG/SF,DEN,@ NOP,15,117.25,6800,16,53.7,25.5,2.9,1.04,37.28,12.18,10.78,10.83,23.2,10.5,24.6,32.00,32.16,32.16,100,,58,4.7,Y,26,16.25,2.4
Nikola Mirotic,PF/C,NOP,vs DEN,2,109.25,6800,0,24.6,32.8,1.1,1.14,40.91,11.58,12.32,0,21.8,12.7,28.8,0.00,0.00,0.00,100,,62,0,,,,
Jamal Murray,PG/SG,DEN,@ NOP,12,117.25,6800,0,24.6,33.4,4.8,1.00,35.87,11.00,12.29,0,25.2,16.1,33.5,0.00,0.00,0.00,100,,63,0,,,,
Lauri Markkanen,PF,CHI,@ MIA,1,98.75,6700,11.5,48.5,32.6,0.9,1.04,37.30,11.44,10.57,10.57,24.6,14.6,31.4,33.25,27.40,27.40,100,,68,4.1,Y,34,36.75,5.5
Jahlil Okafor,C,NOP,vs DEN,13,109.25,6600,16.8,66.9,14.8,0.4,1.13,40.44,20.83,14.30,20.53,17.7,5.0,13.1,35.48,38.25,38.25,100,,3,5.8,Y,31,26.50,4
