Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
James Harden,PG/SG,HOU,@ NOP,16,116.00,11400,40.4,89.6,57.6,8.3,1.57,56.30,11.41,14.06,12.55,37.5,21.8,36.8,39.61,61.51,61.51,100,,76,5.4,Y,37,71.25,6.3
Anthony Davis,PF/C,NOP,vs HOU,14,113.00,11200,41.6,82.5,61.2,4.6,1.65,59.42,10.21,11.69,10.88,29.5,20.6,37.1,38.36,59.15,59.15,100,,81,5.3,Y,39,47.25,4.2
Kevin Durant,SF/PF,GSW,@ POR,13,115.75,9700,28.5,73.5,51.5,6.3,1.43,51.55,10.16,12.87,10.32,30.9,19.6,36.0,36.57,47.76,47.76,100,,75,4.9,Y,34,36.00,3.7
Nikola Jokic,C,DEN,@ PHX,29,109.75,9500,27.5,75.5,45.3,7.4,1.47,52.89,13.62,13.71,12.73,25.4,13.5,30.8,33.64,48.04,48.04,100,,70,5.1,Y,38,52.50,5.5
Stephen Curry,PG/SG,GSW,@ POR,29,115.75,9300,28.6,74.6,47.2,5.2,1.36,49.10,13.79,13.16,13.63,30.3,19.8,34.6,35.58,48.32,48.32,100,,72,5.2,Y,36,49.25,5.3
Kemba Walker,PG,CHA,@ WAS,28,109.75,9000,25.9,70.6,44.1,6.1,1.26,45.45,10.98,12.76,10.76,29.8,19.9,34.9,35.28,45.05,45.05,100,,71,5,Y,36,64.50,7.2
Kyrie Irving,PG,BOS,@ MEM,15,102.50,8800,26.1,71.3,43.8,6.4,1.35,48.67,10.62,12.92,9.73,28.5,18.2,32.4,32.99,45.49,45.49,100,,71,5.2,Y,35,53.00,6
Jrue Holiday,PG/SG,NOP,vs HOU,16,113.00,8700,28.4,60.2,44.0,8.7,1.20,43.19,8.44,9.06,8.47,25.2,17.0,36.6,36.11,42.03,42.03,100,,79,4.8,Y,42,43.50,5
John Wall,PG,WAS,vs CHA,19,107.75,8600,0,26.9,42.6,8.7,1.23,44.45,9.86,13.45,0,28.7,17.2,34.5,0.00,0.00,0.00,100,,68,0,,,,
DeMar DeRozan,SG/SF,SAS,@ LAC,3,111.50,8500,14.9,57.9,41.2,6.2,1.18,42.39,9.64,12.29,8.93,29.0,18.2,35.0,33.36,33.29,33.29,100,,70,3.9,Y,38,60.25,7.1
Devin Booker,PG/SG,PHX,vs DEN,2,105.75,8400,20.6,60.8,43.4,7.2,1.21,43.43,9.12,11.50,8.98,31.8,20.2,36.0,35.43,37.84,37.84,100,,74,4.5,Y,36,41.25,4.9
Damian Lillard,PG,POR,vs GSW,11,110.75,8300,24.5,63.9,44.7,5.8,1.26,45.47,11.05,11.27,10.77,29.8,19.6,35.4,35.09,41.37,41.37,100,,75,5,Y,39,53.50,6.4
Rudy Gobert,C,UTA,vs NYK,19,113.50,8200,25.6,62.8,39.6,2.0,1.27,45.77,9.47,10.63,8.77,17.8,8.6,31.2,33.32,41.52,41.52,100,,73,5.1,Y,25,48.00,5.9
Clint Capela,C,HOU,@ NOP,13,116.00,8000,24.4,59.3,40.5,1.5,1.20,43.17,8.73,9.98,8.25,19.7,11.9,33.8,34.04,39.38,39.38,100,,75,4.9,Y,33,21.75,2.7
Kevin Love,PF/C,CLE,@ ATL,30,107.50,8000,0,22.6,42.9,3.5,1.26,45.40,8.05,11.30,0,26.3,16.3,34.0,0.00,0.00,0.00,100,,74,0,,,,
Bradley Beal,SG,WAS,vs CHA,22,107.75,7900,25,65,41.1,4.7,1.12,40.37,8.49,11.43,8.62,27.2,18.8,36.6,36.57,42.13,42.13,100,,72,5.3,Y,38,42.50,5.4
Julius Randle,PF/C,NOP,vs HOU,14,113.00,7800,23.9,66.1,37.3,2.7,1.31,47.08,12.53,12.05,13.19,27.1,13.3,28.5,37.90,41.99,41.99,100,,68,5.4,Y,40,48.75,6.3
John Collins,PF/C,ATL,vs CLE,11,111.50,7700,19.4,56.3,36.1,2.4,1.23,44.18,10.60,10.55,9.66,24.5,13.4,29.4,32.80,35.19,35.19,100,,71,4.6,Y,27,33.00,4.3
Marc Gasol,C,MEM,vs BOS,5,99.50,7600,10.4,48.2,39.5,4.3,1.14,41.18,9.59,10.80,8.84,22.4,13.0,34.5,33.17,26.57,26.57,100,,73,3.5,Y,37,38.75,5.1
Chris Paul,PG,HOU,@ NOP,22,116.00,7500,0,22.1,37.4,8.0,1.13,40.65,11.23,11.06,0,23.1,12.7,33.1,0.00,0.00,0.00,100,,70,0,,,,
Donovan Mitchell,PG/SG,UTA,vs NYK,25,113.50,7500,18.3,57.5,33.4,3.4,1.03,37.08,10.13,11.20,9.39,30.7,18.4,32.4,33.36,35.09,35.09,100,,66,4.7,Y,27,27.75,3.7
Tobias Harris,SF/PF,LAC,vs SAS,21,114.50,7400,20.6,53.2,37.2,2.2,1.08,38.85,8.38,9.30,7.7,23.5,15.7,34.4,33.10,34.59,34.59,100,,75,4.7,Y,34,30.25,4.1
Mike Conley,PG,MEM,vs BOS,3,99.50,7300,18.6,53.9,38.2,6.5,1.12,40.35,9.11,10.08,8.55,27.3,16.3,34.1,33.80,33.73,33.73,100,,74,4.6,Y,36,49.25,6.7
Jusuf Nurkic,C,POR,vs GSW,17,110.75,7200,18.5,52.7,35.4,2.7,1.32,47.43,9.65,9.77,7.55,24.0,11.1,26.9,28.18,33.14,33.14,100,,72,4.6,Y,32,47.00,6.5
