Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
LeBron James,SF/PF,LAL,@ ORL,6,113.50,11200,28.1,71.9,53.6,7.2,1.53,55.08,11.35,12.50,10.77,29.8,19.2,35.0,34.17,46.85,46.85,100,,77,4.2,Y,26,39.50,3.5
Anthony Davis,PF/C,NOP,vs DEN,5,114.00,11100,19.8,66.2,59.1,4.7,1.55,55.87,13.36,13.25,14.08,27.4,19.5,38.1,37.95,39.66,39.66,100,,78,3.6,Y,38,64.00,5.8
James Harden,PG/SG,HOU,vs SAC,27,116.00,11000,44,72.6,50.8,7.3,1.41,50.71,6.42,8.17,6.61,35.4,19.6,36.1,37.04,56.30,56.30,100,,84,5.1,Y,34,56.00,5.1
Joel Embiid,C,PHI,@ CHA,19,111.75,10700,33.2,77.4,55.2,3.8,1.59,57.22,11.87,12.62,11.41,31.7,18.8,34.7,34.61,52.12,52.12,100,,77,4.9,Y,40,57.75,5.4
Kevin Durant,SF/PF,GSW,@ DAL,22,109.00,10600,34.3,75.5,48.7,6.3,1.41,50.70,9.60,11.78,9.51,29.8,18.3,34.6,35.65,51.98,51.98,100,,76,4.9,Y,37,41.50,3.9
Russell Westbrook,PG,OKC,@ PHX,10,111.75,10500,0,15.1,51.3,8.9,1.64,59.01,7.36,7.57,0,34.4,19.6,31.3,0.00,0.00,0.00,100,,85,0,,,,
Paul George,SF/PF,OKC,@ PHX,18,111.75,9900,33,62.2,46.6,4.6,1.33,47.90,11.19,8.33,10.68,28.5,19.4,35.0,34.35,45.51,45.51,100,,82,4.6,Y,40,61.25,6.2
Victor Oladipo,PG/SG,IND,vs ATL,24,115.50,9600,33.3,70.9,43.7,4.9,1.27,45.82,8.71,10.74,7.96,30.5,19.5,34.3,32.88,49.39,49.39,100,,75,5.1,Y,5,5.50,0.6
Stephen Curry,PG/SG,GSW,@ DAL,16,109.00,9500,0,23.4,48.6,6.1,1.46,52.65,11.98,11.68,0,31.2,19.8,33.3,0.00,0.00,0.00,100,,76,0,,,,
Kemba Walker,PG,CHA,vs PHI,15,113.75,9500,28.2,63.1,44.7,6.3,1.30,46.81,10.16,9.97,9.82,30.3,20.5,34.4,34.80,43.15,43.15,100,,78,4.5,Y,45,81.25,8.6
Kawhi Leonard,SG/SF,TOR,@ CHI,27,112.50,9400,0,18.9,44.6,3.3,1.32,47.74,5.82,9.46,0,29.6,18.3,33.7,0.00,0.00,0.00,100,,79,0,,,,
Nikola Jokic,C,DEN,@ NOP,10,113.00,9200,18.1,73.6,45.3,6.9,1.55,55.74,16.23,15.87,14.89,23.8,11.5,29.3,33.02,41.87,41.87,100,,65,4.6,Y,34,53.50,5.8
Ben Simmons,PG/SF,PHI,@ CHA,7,111.75,8500,11.3,59.2,40.9,7.6,1.25,45.10,11.31,13.70,10.84,20.3,10.6,32.6,34.50,31.84,31.84,100,,67,3.7,Y,39,53.75,6.3
Nikola Vucevic,C,ORL,vs LAL,26,109.50,8400,31.4,69.4,42.5,3.5,1.41,50.68,10.01,10.85,8.73,25.9,14.7,30.2,31.39,47.71,47.71,100,,74,5.7,Y,31,57.25,6.8
Chris Paul,PG,HOU,vs SAC,24,116.00,8200,29.1,66.9,40.5,7.5,1.17,42.30,12.22,10.82,12.1,24.1,14.2,34.5,35.64,45.30,45.30,100,,73,5.5,Y,33,43.50,5.3
Jrue Holiday,PG/SG,NOP,vs DEN,9,114.00,8100,29.5,56.9,43.0,9.3,1.18,42.48,8.18,7.83,8.27,23.8,15.8,36.4,36.40,41.28,41.28,100,,82,5.1,Y,31,42.75,5.3
Devin Booker,PG/SG,PHX,vs OKC,5,106.75,8000,22.1,53.9,39.7,6.9,1.11,39.83,8.74,9.08,8.82,31.5,18.5,35.9,36.31,35.69,35.69,100,,77,4.5,Y,39,41.50,5.2
Dennis Schroder,PG/SG,OKC,@ PHX,10,111.75,7900,24.1,54.3,33.2,5.6,1.11,39.89,7.83,8.62,7.32,26.4,14.7,29.9,33.64,37.07,37.07,100,,74,4.7,Y,36,37.75,4.8
Kyle Lowry,PG,TOR,@ CHI,25,112.50,7800,24.5,60.1,40.6,10.5,1.18,42.64,11.62,10.17,10.76,19.5,11.8,34.3,33.33,39.76,39.76,100,,75,5.1,Y,29,34.75,4.5
Aaron Gordon,SF/PF,ORL,vs LAL,9,109.50,7700,13.7,54.6,34.9,2.8,1.06,38.25,12.31,11.66,11.61,21.7,13.3,32.9,33.95,31.23,31.23,100,,67,4.1,Y,29,28.00,3.6
Kyrie Irving,PG,BOS,vs UTA,4,105.75,7700,15.9,67.2,41.8,5.9,1.28,46.10,11.29,14.66,10.29,26.6,17.0,32.6,32.80,37.88,37.88,100,,65,4.9,Y,30,35.50,4.6
Zach LaVine,PG/SG,CHI,vs TOR,8,102.50,7600,0,16.3,40.7,4.0,1.13,40.70,5.77,8.14,0,32.4,19.8,36.0,0.00,0.00,0.00,100,,80,0,,,,
Jimmy Butler,SG/SF,PHI,@ CHA,22,111.75,7500,19.8,61.2,39.9,4.3,1.11,39.99,10.57,11.82,10.28,22.7,15.3,35.9,35.00,37.56,37.56,100,,70,5,Y,37,31.25,4.2
