Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
James Harden,PG/SG,HOU,@ LAC,12,109.50,11200,52.2,60,55.5,7.5,1.52,54.74,0.03,2.25,0.03,28.5,17.0,36.5,34.30,55.53,55.53,100,,0,5,Y,40,63.00,5.6
Russell Westbrook,PG,OKC,vs SAC,24,116.75,10500,48.8,48.8,,,,,,,0,,,,32.00,48.80,48.80,100,,0,4.6,Y,35,58.50,5.6
Kevin Durant,SF/PF,GSW,@ DEN,4,117.25,10200,34.8,60.6,55.9,6.5,1.43,51.58,5.49,7.38,5.08,31.2,23.0,39.0,33.31,45.83,45.83,100,,0,4.5,Y,39,47.75,4.7
Stephen Curry,PG/SG,GSW,@ DEN,12,117.25,10000,46.1,56.6,55.5,8.5,1.50,54.00,2.92,3.00,2.7,29.9,22.0,37.0,33.28,50.59,50.59,100,,0,5.1,Y,39,46.00,4.6
Nikola Jokic,C,DEN,vs GSW,10,113.25,9200,19.2,84.4,62.6,8.0,1.93,69.37,23.88,18.62,22.89,22.5,12.0,32.5,34.50,47.16,47.16,100,,0,5.1,Y,32,46.25,5
Kevin Love,PF/C,CLE,vs ATL,26,120.00,8500,19.3,70,46.3,4.5,1.27,45.62,11.23,14.50,10.09,29.8,18.5,36.5,32.34,41.01,41.01,100,,0,4.8,Y,34,44.25,5.2
Paul George,SF/PF,OKC,vs SAC,25,116.75,8400,34.4,42.3,42.3,4.5,1.13,40.56,2.70,2.25,2.73,33.8,25.0,37.5,36.38,37.80,37.80,100,,0,4.5,Y,33,45.00,5.4
Chris Paul,PG,HOU,@ LAC,3,109.50,8300,0,16,47.3,8.0,1.53,54.87,11.07,8.00,0,25.4,14.5,31.0,0.00,0.00,0.00,100,,0,0,,,,
Tobias Harris,SF/PF,LAC,vs HOU,5,111.50,7700,28.9,46.8,45.6,2.5,1.17,42.12,6.91,5.12,6.86,26.7,18.0,39.0,35.73,36.55,36.55,100,,0,4.7,Y,35,29.50,3.8
Dennis Schroder,PG/SG,OKC,vs SAC,24,116.75,7200,14.9,61.2,34.3,7.0,1.07,38.53,12.55,13.25,11.28,27.9,17.0,32.0,32.35,34.74,34.74,100,,0,4.8,,32,32.50,4.5
Steven Adams,C,OKC,vs SAC,30,116.75,7000,31.8,34.9,42.1,2.0,1.22,43.96,2.83,0.88,2.63,17.1,11.5,34.5,33.44,33.14,33.14,100,,0,4.7,Y,34,37.50,5.4
Draymond Green,PF/C,GSW,@ DEN,9,117.25,6800,29.2,45.8,33.5,5.5,1.02,36.55,5.18,4.75,4.79,18.8,9.0,33.0,33.28,36.31,36.31,100,,0,5.3,Y,33,16.75,2.5
Taurean Prince,SF,ATL,@ CLE,23,112.00,6700,33.5,46.7,39.8,4.5,1.45,52.04,13.79,3.75,12.22,32.4,15.0,27.5,31.90,39.17,39.17,100,,0,5.8,Y,26,28.50,4.3
De'Aaron Fox,PG,SAC,@ OKC,11,105.75,6600,22.5,35.2,37.4,6.5,1.17,42.05,2.55,3.62,2.41,26.9,14.0,32.0,34.06,27.93,27.93,100,,0,4.2,Y,42,46.00,7
Will Barton,SG/SF,DEN,vs GSW,17,113.25,6500,0,4,30.8,3.0,1.14,41.00,10.39,2.00,0,20.3,10.5,27.0,0.00,0.00,0.00,100,,0,0,,,,
Paul Millsap,PF/C,DEN,vs GSW,23,113.25,6400,30,30,35.5,1.0,1.15,41.23,1.33,0.00,1.14,19.5,8.5,31.0,30.73,29.96,29.96,100,,0,4.7,Y,26,21.50,3.4
Willie Cauley-Stein,C,SAC,@ OKC,19,105.75,6300,20.8,45.3,36.8,2.5,1.15,41.34,0.13,7.00,0.12,22.5,14.5,32.0,32.04,31.27,31.27,100,,0,5,Y,22,26.25,4.2
Clint Capela,C,HOU,@ LAC,20,109.50,6200,25.9,53,28.8,0.5,0.96,34.50,4.79,7.75,3.9,19.1,12.5,30.0,29.32,37.53,37.53,100,,0,6.1,Y,34,43.50,7
Trae Young,PG,ATL,@ CLE,25,112.00,6100,24.6,47.4,34.0,7.0,1.03,37.09,7.09,6.50,6.56,25.6,16.0,33.0,33.30,34.37,34.37,100,,0,5.6,Y,38,60.00,9.8
DeMarcus Cousins,PF/C,GSW,@ DEN,8,117.25,6000,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
John Collins,C,ATL,@ CLE,21,112.00,6000,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Cedi Osman,SF,CLE,vs ATL,15,120.00,6000,33.5,33.9,40.4,6.0,1.19,42.75,1.39,0.12,1.29,21.6,13.5,34.0,33.32,33.65,33.65,100,,0,5.6,Y,39,24.25,4
Danilo Gallinari,SF/PF,LAC,vs HOU,5,111.50,5900,25.9,37.7,32.4,1.0,1.06,38.21,8.48,3.38,7.85,24.1,15.0,30.5,33.31,30.98,30.98,100,,0,5.3,Y,32,38.75,6.6
Jamal Murray,PG/SG,DEN,vs GSW,8,113.25,5800,13.7,54.8,31.5,4.0,0.91,32.87,9.93,11.75,9.64,21.5,15.0,34.5,34.96,31.29,31.29,100,,0,5.4,Y,26,8.50,1.5
Buddy Hield,SG/SF,SAC,@ OKC,23,105.75,5700,30,37,28.5,2.0,0.97,34.78,0.51,2.00,0.42,24.7,14.5,29.5,29.53,32.99,32.99,100,,0,5.8,Y,23,26.25,4.6
