Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Giannis Antetokounmpo,SF/PF,MIL,@ GSW,18,118.50,11000,28.2,78.3,54.9,5.9,1.73,62.24,11.92,14.33,11.45,34.9,18.8,31.8,34.58,49.66,49.66,100,,74,4.5,Y,26,48.25,4.4
Russell Westbrook,PG,OKC,vs HOU,7,104.50,10800,0,15.1,51.3,8.9,1.64,59.01,7.36,7.57,0,34.4,19.6,31.3,0.00,0.00,0.00,100,,85,0,,,,
Stephen Curry,PG/SG,GSW,vs MIL,4,123.50,10300,29.9,57.8,51.3,6.1,1.51,54.46,9.48,7.95,8.52,31.7,20.3,33.9,32.34,41.85,41.85,100,,85,4.1,Y,26,19.25,1.9
Kevin Durant,SF/PF,GSW,vs MIL,23,123.50,10200,23.2,58.6,48.9,5.9,1.39,50.20,7.18,10.10,6.44,28.1,18.2,35.1,32.31,38.35,38.35,100,,79,3.8,Y,31,36.25,3.6
James Harden,PG/SG,HOU,@ OKC,8,109.50,10100,36.1,59.8,52.2,8.2,1.47,52.90,3.11,6.77,2.96,34.1,18.5,35.5,34.30,46.27,46.27,100,,87,4.6,Y,38,42.00,4.2
Damian Lillard,PG,POR,vs LAC,12,114.75,9100,21.4,64.4,43.8,5.5,1.30,46.77,11.56,12.27,11.37,28.8,18.3,33.7,35.41,39.84,39.84,100,,72,4.4,Y,35,40.50,4.5
Paul George,SF/PF,OKC,vs HOU,1,104.50,8900,28.9,54.6,43.3,4.1,1.23,44.31,9.16,7.33,9,27.7,18.8,35.2,35.38,39.91,39.91,100,,83,4.5,Y,35,57.25,6.4
Chris Paul,PG,HOU,@ OKC,6,109.50,8200,16.5,60.2,43.3,9.3,1.25,44.93,13.80,12.49,13.19,25.6,15.9,34.7,34.40,35.26,35.26,100,,71,4.3,Y,36,29.50,3.6
Kyrie Irving,PG,BOS,@ PHX,15,111.75,8000,21,60.1,36.6,5.3,1.16,41.83,10.37,11.19,9.22,25.5,15.2,31.5,32.00,37.76,37.76,100,,69,4.7,Y,43,66.25,8.3
Devin Booker,PG/SG,PHX,vs BOS,30,102.75,7600,24.2,45.4,39.9,6.0,1.15,41.33,8.20,6.05,8.2,33.5,18.4,34.7,36.00,33.26,33.26,100,,85,4.4,Y,43,60.25,7.9
Draymond Green,PF/C,GSW,vs MIL,16,123.50,7300,0,22.4,32.8,7.9,1.10,39.47,10.27,11.21,0,13.9,6.3,29.9,0.00,0.00,0.00,100,,66,0,,,,
Tobias Harris,SF/PF,LAC,@ POR,12,109.75,7100,21,47.6,37.3,1.9,1.12,40.35,6.76,7.60,6.52,23.5,15.1,33.3,34.73,32.44,32.44,100,,80,4.6,Y,37,35.75,5
