Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Giannis Antetokounmpo,SF/PF,MIL,@ TOR,8,115.00,10600,35,77.3,56.6,5.9,1.70,61.34,11.80,12.08,11.37,31.8,17.1,33.2,34.70,53.09,53.09,100,,79,5,Y,28,49.75,4.7
LeBron James,SF/PF,LAL,@ LAC,15,116.50,10500,26.5,71.9,52.7,7.1,1.52,54.88,11.68,12.98,10.41,31.5,19.3,34.6,32.10,45.97,45.97,100,,75,4.4,Y,40,57.00,5.4
Joel Embiid,C,PHI,@ GSW,21,115.75,10100,36.9,77.3,54.4,3.6,1.63,58.57,11.57,11.56,11.04,33.0,18.4,33.4,34.36,54.22,54.22,100,,79,5.4,Y,34,60.00,5.9
Nikola Vucevic,C,ORL,vs IND,23,105.50,9500,30.6,71.1,46.4,3.8,1.49,53.46,11.15,11.55,10.64,28.1,16.7,31.2,34.34,47.97,47.97,100,,75,5,Y,35,37.50,3.9
Kawhi Leonard,SF/PF,TOR,vs MIL,29,117.00,9400,39.1,73.7,47.7,3.2,1.36,49.04,7.21,9.88,7.18,30.2,19.2,35.0,35.84,53.90,53.90,100,,79,5.7,Y,35,34.50,3.7
Blake Griffin,PF/C,DET,vs DAL,9,106.50,9300,21.7,65.1,46.8,5.3,1.29,46.37,10.45,12.40,10.6,30.0,18.6,36.3,36.51,40.34,40.34,100,,74,4.3,Y,39,49.00,5.3
Kevin Durant,SF/PF,GSW,vs PHI,5,124.75,9100,23.6,66.9,49.3,5.9,1.39,50.01,9.76,12.37,9.96,30.3,19.1,35.5,36.72,42.19,42.19,100,,75,4.6,Y,38,40.00,4.4
Stephen Curry,PG/SG,GSW,vs PHI,16,124.75,8900,30.5,72.2,48.1,5.4,1.41,50.54,12.50,11.91,12.12,30.2,19.7,34.2,34.90,48.34,48.34,100,,75,5.4,Y,38,59.00,6.6
Ben Simmons,PG/SF,PHI,@ GSW,2,115.75,8600,22.7,62.8,44.6,8.2,1.34,48.17,10.81,11.45,10.4,22.2,11.9,33.3,34.65,39.85,39.85,100,,74,4.6,Y,38,51.00,5.9
Tobias Harris,SF/PF,LAC,vs LAL,26,115.50,8500,25.2,57.9,37.9,2.6,1.10,39.48,8.25,9.33,7.81,23.6,15.5,34.5,34.10,39.22,39.22,100,,75,4.6,Y,43,39.50,4.6
Luka Doncic,PG/SF,DAL,@ DET,23,99.50,8500,0,20.1,40.0,5.4,1.25,44.90,9.17,10.07,0,28.7,15.6,32.1,0.00,0.00,0.00,100,,75,0,,,,
D'Angelo Russell,PG/SG,BKN,@ SAS,24,109.25,8400,25.5,72,36.8,6.4,1.25,44.87,12.50,13.28,11.24,29.6,17.3,29.5,32.36,45.43,45.43,100,,64,5.4,Y,33,47.75,5.7
LaMarcus Aldridge,PF/C,SAS,vs BKN,16,117.25,8300,26,69.7,39.1,2.6,1.20,43.10,9.57,12.48,9.3,27.2,16.1,32.7,35.00,44.70,44.70,100,,68,5.4,Y,38,39.25,4.7
Andre Drummond,C,DET,vs DAL,8,106.50,8100,17.3,63,43.5,1.2,1.31,47.28,10.26,13.06,9.76,23.3,13.9,33.1,34.25,36.89,36.89,100,,70,4.6,Y,37,53.50,6.6
DeMar DeRozan,SG/SF,SAS,vs BKN,4,117.25,7800,14.9,59.2,40.8,6.3,1.16,41.58,10.91,12.66,10.61,28.6,17.9,35.3,35.00,33.88,33.88,100,,69,4.3,Y,36,35.00,4.5
Jimmy Butler,SG/SF,PHI,@ GSW,19,115.75,7400,20.4,66.1,36.8,3.7,1.12,40.13,11.01,13.06,11.01,22.7,14.5,33.0,36.00,40.00,40.00,100,,65,5.4,Y,37,30.25,4.1
Brandon Ingram,SG/SF,LAL,@ LAC,15,116.50,7300,17.9,48.8,29.2,3.0,0.89,31.93,8.12,8.84,7.47,23.4,13.6,32.9,33.10,31.15,31.15,100,,70,4.3,Y,44,29.00,4
Louis Williams,PG/SG,LAC,vs LAL,30,115.50,7200,29.7,66,31.5,5.2,1.23,44.32,12.63,10.35,10.21,31.9,14.4,25.6,29.10,45.25,45.25,100,,67,6.3,,38,43.25,6
Kyle Lowry,PG,TOR,vs MIL,3,117.00,7100,19.5,55.9,38.0,9.4,1.10,39.81,11.33,10.42,11.41,19.0,11.4,34.4,36.26,35.10,35.10,100,,73,4.9,Y,34,17.50,2.5
Rajon Rondo,PG,LAL,@ LAC,20,116.50,7000,15.5,55.5,27.7,7.6,1.03,37.16,11.68,11.42,11.06,17.0,8.2,26.8,34.10,32.63,32.63,100,,59,4.7,Y,36,44.25,6.3
Kyle Kuzma,SF/PF,LAL,@ LAC,15,116.50,6900,12.4,50,32.2,2.5,0.98,35.15,8.48,10.76,7.09,23.9,15.5,33.0,30.10,28.50,28.50,100,,67,4.1,Y,23,16.50,2.4
Aaron Gordon,SF/PF,ORL,vs IND,11,105.50,6800,16.4,53.1,33.8,3.5,1.01,36.17,10.28,10.50,9.74,21.7,13.3,33.6,34.10,32.12,32.12,100,,69,4.7,Y,33,15.25,2.2
Montrezl Harrell,PF/C,LAC,vs LAL,10,115.50,6800,14,51.6,30.8,1.7,1.19,42.75,12.04,10.74,9.73,22.3,10.0,25.9,29.10,30.12,30.12,100,,65,4.4,,23,30.50,4.5
DeMarcus Cousins,PF/C,GSW,vs PHI,15,124.75,6700,29.7,42.4,31.9,3.6,1.48,53.08,10.83,3.62,7.47,28.9,10.6,21.6,24.84,35.12,35.12,100,,89,5.2,Y,25,30.00,4.5
Eric Bledsoe,PG,MIL,@ TOR,8,115.00,6600,20,51.5,33.1,5.5,1.13,40.56,11.48,9.02,9.71,22.7,12.4,29.4,30.45,33.50,33.50,100,,73,5.1,Y,31,40.00,6.1
DeAndre Jordan,C,DAL,@ DET,30,99.50,6600,0,21.2,34.4,2.0,1.11,39.82,10.11,10.59,0,14.3,6.5,31.1,0.00,0.00,0.00,100,,69,0,,,,
Myles Turner,C,IND,@ ORL,14,102.50,6500,15.6,52.5,31.0,1.7,1.10,39.75,11.31,10.56,9.08,19.9,10.4,28.1,28.89,31.40,31.40,100,,66,4.8,Y,35,39.25,6
Danilo Gallinari,SF/PF,LAC,vs LAL,26,115.50,6400,0,17.7,32.9,2.5,1.05,37.84,8.31,8.86,0,22.7,12.8,31.3,0.00,0.00,0.00,100,,73,0,,,,
Khris Middleton,SG/SF,MIL,@ TOR,20,115.00,6200,24.8,49.6,33.2,4.2,1.06,38.34,7.78,7.08,7.28,24.1,14.1,31.2,33.70,35.45,35.45,100,,79,5.7,Y,35,34.50,5.6
