Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
James Harden,PG/SG,HOU,@ UTA,6,108.00,12500,41.7,96.3,63.1,8.1,1.68,60.62,13.57,15.60,14.41,40.1,24.1,37.5,38.24,65.12,65.12,100,,75,5.2,Y,40,86.50,6.9
Anthony Davis,PF/C,NOP,@ SAS,4,110.00,11000,0,25.2,61.7,4.4,1.66,59.93,10.78,12.60,0,29.7,20.6,37.1,0.00,0.00,0.00,100,,80,0,,,,
Giannis Antetokounmpo,SF/PF,MIL,@ WAS,19,116.25,10900,38.5,80.5,56.5,5.9,1.71,61.39,11.68,12.00,10.79,31.6,17.0,33.1,33.26,56.51,56.51,100,,79,5.2,Y,33,54.00,5
LeBron James,SF/PF,LAL,@ GSW,29,110.25,10800,0,25.6,52.9,7.2,1.52,54.76,11.53,12.81,0,31.4,19.4,34.7,0.00,0.00,0.00,100,,76,0,,,,
Joel Embiid,C,PHI,@ SAC,13,118.00,10700,34.5,74.6,54.5,3.6,1.63,58.67,11.47,11.46,10.74,33.2,18.5,33.5,33.70,51.70,51.70,100,,79,4.8,Y,39,62.75,5.9
Nikola Jokic,C,DEN,@ MIN,8,110.25,10600,31.4,81.8,49.7,7.7,1.58,56.88,13.99,14.41,13.2,27.4,15.1,31.4,33.96,53.01,53.01,100,,71,5,Y,29,50.00,4.7
Nikola Vucevic,C,ORL,vs BKN,29,112.00,9800,30.3,70.6,46.2,3.8,1.48,53.13,11.23,11.50,10.49,28.0,16.6,31.3,33.64,47.57,47.57,100,,75,4.9,Y,32,53.50,5.5
Karl-Anthony Towns,C,MIN,vs DEN,11,111.25,9700,26.7,81.1,48.5,3.1,1.47,52.84,14.20,15.56,13.41,27.5,16.4,33.1,34.00,50.01,50.01,100,,68,5.2,Y,37,63.50,6.5
Stephen Curry,PG/SG,GSW,vs LAL,7,124.25,9600,28.1,69.7,48.3,5.4,1.41,50.69,12.37,11.89,11.48,30.5,19.9,34.3,33.40,45.89,45.89,100,,75,4.8,Y,33,22.00,2.3
Kevin Durant,SF/PF,GSW,vs LAL,27,124.25,9300,24.6,67.7,49.2,5.9,1.38,49.75,9.80,12.31,9.45,30.3,19.2,35.6,34.70,43.10,43.10,100,,75,4.6,Y,35,44.25,4.8
Ben Simmons,PG/SF,PHI,@ SAC,21,118.00,9200,28.1,67.9,44.7,8.1,1.34,48.18,10.71,11.37,10.68,22.2,11.9,33.4,35.89,45.15,45.15,100,,75,4.9,Y,42,38.50,4.2
Jrue Holiday,PG/SG,NOP,@ SAS,23,110.00,9100,30,60,43.9,8.0,1.19,43.02,8.14,8.58,8.25,25.0,17.1,36.8,36.49,42.84,42.84,100,,80,4.7,Y,30,29.75,3.3
