Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Giannis Antetokounmpo,SF/PF,MIL,@ CLE,10,114.25,11000,27.3,73.1,56.1,6.0,1.66,59.87,11.46,13.07,10.47,31.0,17.0,33.7,32.90,46.95,46.95,100,,77,4.3,Y,38,77.00,7
Russell Westbrook,PG,OKC,@ DEN,7,109.75,10800,35.5,74.3,55.1,10.0,1.63,58.60,9.56,11.09,9.37,31.4,19.2,33.8,35.29,52.12,52.12,100,,80,4.8,Y,36,52.50,4.9
Joel Embiid,C,PHI,vs IND,6,110.75,10600,26,67,53.9,3.6,1.57,56.41,11.77,11.71,11.15,31.7,18.5,34.4,34.10,43.61,43.61,100,,78,4.1,Y,34,73.75,7
Kevin Durant,SF/PF,GSW,@ SAC,22,121.25,10300,26.6,73.2,51.3,6.2,1.44,51.69,10.55,13.31,10.16,31.7,19.8,35.7,34.67,46.60,46.60,100,,74,4.5,Y,37,55.00,5.3
Stephen Curry,PG/SG,GSW,@ SAC,30,121.25,10200,36.4,84.1,47.7,5.7,1.42,51.21,14.12,13.65,14.51,31.2,19.3,33.5,37.00,56.83,56.83,100,,71,5.6,Y,36,60.75,6
John Wall,PG,WAS,@ BKN,21,111.50,9500,27.1,68,42.8,8.5,1.24,44.78,8.81,11.69,8.64,28.7,17.4,34.4,35.30,44.62,44.62,100,,73,4.7,Y,35,40.75,4.3
Nikola Jokic,C,DEN,vs OKC,20,108.75,9400,25.1,72.6,45.2,7.6,1.49,53.41,13.80,13.55,13.02,24.4,13.0,30.4,33.96,45.47,45.47,100,,70,4.8,Y,36,61.75,6.6
Kawhi Leonard,SF/PF,TOR,@ POR,11,109.25,9300,32.2,65.2,46.4,3.0,1.34,48.17,7.01,9.44,7.54,29.4,18.9,34.7,38.70,46.32,46.32,100,,80,5,Y,38,44.00,4.7
Kemba Walker,PG,CHA,vs NYK,20,117.25,9200,25.3,67.9,45.1,6.3,1.30,46.61,10.32,12.17,9.81,30.5,19.9,34.8,34.23,43.51,43.51,100,,73,4.7,Y,41,43.25,4.7
Paul George,SF/PF,OKC,@ DEN,9,109.75,9100,30.3,65.7,47.5,4.3,1.36,49.16,10.26,10.11,9.79,28.4,19.1,34.8,34.36,45.46,45.46,100,,79,5,Y,40,43.25,4.8
