Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
LeBron James,SF/PF,LAL,@ CLE,17,115.00,11600,30.5,76.7,53.9,6.9,1.56,56.06,11.19,13.18,10.72,31.0,19.9,34.6,34.49,50.29,50.29,100,,76,4.3,Y,35,62.50,5.4
Anthony Davis,PF/C,NOP,@ PHI,10,116.25,11400,31.3,74.9,59.0,4.9,1.57,56.46,12.44,12.44,12.9,28.1,19.7,37.6,37.32,49.97,49.97,100,,79,4.4,Y,41,59.50,5.2
Giannis Antetokounmpo,SF/PF,MIL,vs POR,13,116.50,11200,38.2,79.8,54.7,5.5,1.66,59.76,10.30,11.88,10.21,33.3,18.3,32.9,35.70,56.01,56.01,100,,78,5,Y,30,73.00,6.5
James Harden,PG/SG,HOU,vs DET,2,111.75,10900,29.9,57.8,51.3,7.3,1.43,51.39,6.59,7.95,6.61,35.3,19.4,35.9,36.13,41.87,41.87,100,,85,3.8,Y,36,72.25,6.6
Joel Embiid,C,PHI,vs NOP,10,120.25,10800,30.6,72.8,55.7,3.6,1.59,57.18,11.35,12.05,11.22,31.9,19.2,35.1,35.60,48.70,48.70,100,,78,4.5,Y,32,60.75,5.6
Russell Westbrook,PG,OKC,@ GSW,5,112.00,10700,38.5,66.9,52.8,8.6,1.65,59.38,6.93,8.11,6.55,33.9,20.3,32.0,34.00,50.69,50.69,100,,85,4.7,Y,33,53.25,5
Kevin Durant,SF/PF,GSW,vs OKC,6,111.00,10600,25,64.6,48.6,6.1,1.40,50.20,9.36,11.31,9.07,30.7,18.9,34.8,34.90,41.98,41.98,100,,77,4,Y,35,54.00,5.1
Kemba Walker,PG,CHA,vs IND,2,110.00,9800,23.5,69.6,47.9,6.1,1.36,48.79,10.55,13.16,10.26,31.3,21.6,35.3,35.00,43.26,43.26,100,,73,4.4,Y,27,38.50,3.9
Nikola Jokic,C,DEN,@ MIN,9,109.50,9700,17.6,70.8,45.2,6.9,1.52,54.71,15.71,15.22,14.01,24.2,12.4,29.8,32.11,40.39,40.39,100,,66,4.2,Y,37,39.50,4.1
Kawhi Leonard,SG/SF,TOR,@ ATL,16,116.75,9500,0,19.8,43.5,3.2,1.30,46.93,6.36,9.89,0,29.5,18.2,33.4,0.00,0.00,0.00,100,,77,0,,,,
Stephen Curry,PG/SG,GSW,vs OKC,10,111.00,9500,0,23.4,48.6,6.1,1.46,52.65,11.98,11.68,0,31.2,19.8,33.3,0.00,0.00,0.00,100,,76,0,,,,
Blake Griffin,PF/C,DET,@ HOU,11,102.75,9500,16.6,74,47.9,4.9,1.34,48.28,12.65,16.39,12.44,27.7,18.2,35.7,35.40,41.17,41.17,100,,66,4.3,Y,38,56.75,6
Andre Drummond,C,DET,@ HOU,1,102.75,9400,11.2,57.6,47.3,1.6,1.40,50.55,8.86,13.27,8.37,24.5,15.7,33.7,34.01,31.09,31.09,100,,72,3.3,Y,28,38.25,4.1
Damian Lillard,PG,POR,@ MIL,11,109.50,9200,28.4,70.3,45.1,6.2,1.30,46.86,11.14,11.98,11.42,30.1,19.6,34.6,36.90,46.35,46.35,100,,73,5,Y,31,37.00,4
Victor Oladipo,PG/SG,IND,@ CHA,22,106.00,9100,0,27.8,41.3,4.7,1.27,45.76,8.55,13.91,0,30.1,18.3,32.5,0.00,0.00,0.00,100,,66,0,,,,
