Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Kyle O'Quinn,PF/C,IND,@ DET,19,105.25,4300,0,20.4,9.2,1.2,1.15,41.40,23.98,10.21,0,18.2,2.8,8.0,0.00,0.00,0.00,100,,0,0,,,,
Justin Holiday,SG/SF,MEM,vs LAL,30,108.50,4200,4,39.4,22.6,2.0,0.70,25.17,8.99,10.09,6.68,15.8,9.6,32.4,26.75,19.17,19.17,100,,55,4.6,Y,36,14.50,3.5
Ivica Zubac,C,LAC,vs DAL,7,116.50,4200,5.9,48.9,17.8,0.8,1.10,39.49,14.08,12.28,8.12,20.0,6.0,16.2,20.75,24.29,24.29,100,,31,5.8,Y,19,23.00,5.5
Mikal Bridges,SG/SF,PHX,@ MIA,9,104.50,4200,8.4,37.6,19.4,1.9,0.68,24.62,8.45,8.34,6.75,12.5,6.9,28.4,28.75,20.87,20.87,100,,57,5,,33,24.50,5.8
Robin Lopez,C,CHI,vs MIL,1,108.25,4100,12.5,43.1,14.7,1.0,0.81,29.13,13.67,8.74,11.49,18.2,5.8,18.2,30.25,25.64,25.64,100,,41,6.3,Y,34,34.75,8.5
P.J. Tucker,SF/PF,HOU,vs ATL,27,122.75,4100,11.2,40.4,22.2,1.2,0.63,22.58,7.85,8.35,7.41,9.7,6.8,35.3,34.00,23.73,23.73,100,,62,5.8,Y,30,23.75,5.8
Allen Crabbe,SG/SF,BKN,vs SAS,22,117.25,4100,6.3,37.9,18.5,1.1,0.71,25.62,10.37,9.02,7.99,17.3,8.9,26.0,27.75,19.87,19.87,100,,51,4.8,,25,11.25,2.7
Bryn Forbes,PG/SG,SAS,@ BKN,29,116.25,4100,10,34,20.8,2.2,0.73,26.33,7.39,6.87,5.59,18.1,10.1,28.5,27.25,20.26,20.26,100,,67,4.9,Y,33,11.75,2.9
Ante Zizic,C,CLE,vs POR,4,108.00,4100,9.2,46.4,15.7,0.7,0.93,33.45,16.12,10.62,11.98,19.7,5.2,16.9,26.75,25.15,25.15,100,,32,6.1,Y,22,10.00,2.4
Marco Belinelli,SG/SF,SAS,@ BKN,17,116.25,4000,10.3,35,18.6,1.9,0.81,29.20,10.04,7.04,7.04,20.1,8.8,22.9,25.25,20.88,20.88,100,,62,5.2,,21,12.50,3.1
DeMarre Carroll,SF/PF,BKN,vs SAS,30,117.25,4000,8.6,41.3,21.2,1.3,0.82,29.70,10.15,9.35,7.61,18.8,8.7,25.7,27.00,22.61,22.61,100,,56,5.7,,27,25.00,6.3
Dwight Powell,C,DAL,@ LAC,29,113.50,4000,15.9,43.3,18.0,1.1,1.01,36.34,13.06,7.85,9.25,18.5,5.6,17.8,25.50,27.63,27.63,100,,56,6.9,Y,37,49.00,12.3
Marquese Chriss,PF/C,CLE,vs POR,28,108.00,4000,0,31.7,9.6,0.5,0.93,33.53,16.75,9.71,6.16,20.6,4.0,10.3,13.25,12.28,12.28,100,,0,3.1,,15,12.25,3.1
Landry Shamet,SG/SF,LAC,vs DAL,23,116.50,4000,8.4,34.9,14.2,1.2,0.67,24.06,11.48,7.58,9.25,15.3,6.5,21.2,29.00,19.73,19.73,100,,47,4.9,Y,22,8.50,2.1
Shai Gilgeous-Alexander,PG/SG,LAC,vs DAL,23,116.50,4000,5.1,37.9,20.4,3.0,0.79,28.61,9.96,9.36,6.16,18.4,8.2,25.7,22.25,19.13,19.13,100,,54,4.8,Y,17,6.50,1.6
Cory Joseph,PG/SG,IND,@ DET,13,105.25,3900,5.6,33.2,20.0,3.9,0.78,28.10,9.68,7.87,5.85,14.4,6.9,25.6,21.75,17.42,17.42,100,,61,4.5,,21,10.50,2.7
Avery Bradley,PG/SG,MEM,vs LAL,30,108.50,3900,2.4,36.1,17.2,2.1,0.58,20.65,10.04,9.63,8.23,15.1,9.0,29.9,29.50,16.82,16.82,100,,44,4.3,Y,34,29.50,7.6
Kelly Olynyk,PF/C,MIA,vs PHX,25,111.50,3900,12.4,48.1,19.1,1.7,0.93,33.65,11.36,10.20,9.31,18.7,6.6,20.5,29.50,27.66,27.66,100,,47,7.1,Y,41,49.00,12.6
Davis Bertans,SF/PF,SAS,@ BKN,5,116.25,3900,11.4,38.7,17.3,1.2,0.80,28.93,9.78,7.79,7.47,14.3,5.8,21.5,27.50,23.09,23.09,100,,55,5.9,Y,31,13.50,3.5
Chandler Hutchison,SF/PF,CHI,vs MIL,28,108.25,3900,0,13.5,12.8,0.8,0.63,22.84,8.91,6.75,0,12.9,4.8,20.3,0.00,0.00,0.00,100,,47,0,,,,
Jalen Brunson,PG/SG,DAL,@ LAC,22,113.50,3900,3.4,37.9,14.4,2.5,0.78,28.00,14.39,9.85,9.09,17.1,6.4,18.5,22.75,18.17,18.17,100,,32,4.7,,21,13.75,3.5
Tyreke Evans,SG/SF,IND,@ DET,8,105.25,3800,4.6,33.1,19.6,2.4,0.97,34.96,12.54,8.15,6.01,26.9,9.5,20.2,17.25,16.79,16.79,100,,58,4.4,,16,8.75,2.3
Kyle Anderson,SF/PF,MEM,vs LAL,25,108.50,3800,0,17.7,23.6,3.0,0.79,28.53,7.68,8.84,0,12.8,6.4,29.8,0.00,0.00,0.00,100,,63,0,,,,
Andre Iguodala,SG/SF,GSW,@ CHA,19,120.75,3800,13.5,40.2,19.2,3.3,0.81,29.24,10.16,7.65,7.62,10.4,4.6,23.7,27.00,24.94,24.94,100,,60,6.6,,24,16.00,4.2
Delon Wright,PG/SG,MEM,vs LAL,19,108.50,3800,12.2,41.4,16.5,2.4,0.86,30.96,11.59,8.33,8.77,16.6,6.2,19.1,27.25,24.72,24.72,100,,50,6.5,,26,24.50,6.4
Dorian Finney-Smith,SF/PF,DAL,@ LAC,12,113.50,3800,11.1,37.6,18.3,0.9,0.72,25.94,9.78,7.55,7.88,13.4,6.4,25.4,29.00,22.47,22.47,100,,59,5.9,Y,34,29.50,7.8
Maxi Kleber,PF/C,DAL,@ LAC,29,113.50,3800,9.6,35.3,16.2,0.8,0.82,29.50,10.74,7.35,6.79,14.3,5.3,19.7,22.75,20.58,20.58,100,,55,5.4,,18,19.25,5.1
Bam Adebayo,PF/C,MIA,vs PHX,25,111.50,3800,10.2,42.9,21.3,2.0,0.98,35.11,11.30,9.35,7.38,15.4,5.1,21.8,23.50,24.21,24.21,100,,56,6.4,,21,32.75,8.6
Wayne Ellington,SG/SF,DET,vs IND,21,107.25,3700,7.2,42.7,15.4,1.2,0.69,24.95,11.62,10.14,10.57,16.2,7.6,22.3,32.75,22.43,22.43,100,,34,6.1,Y,24,16.75,4.5
