Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
James Harden,PG/SG,HOU,vs LAL,30,117.50,13400,55.3,109.5,62.2,8.5,1.66,59.85,13.64,15.47,14.78,39.5,23.4,37.4,39.00,78.51,78.51,100,,75,5.9,Y,42,78.00,5.8
Russell Westbrook,PG,OKC,@ PHI,14,116.25,11200,37.5,76,57.3,10.7,1.61,58.11,9.54,11.02,9.68,31.1,20.3,35.5,36.53,53.99,53.99,100,,81,4.8,Y,37,44.50,4
Giannis Antetokounmpo,SF/PF,MIL,@ ORL,2,115.50,10700,29,73.3,56.3,6.0,1.71,61.49,12.44,12.64,11.03,31.6,16.9,33.0,31.93,47.99,47.99,100,,78,4.5,Y,32,52.25,4.9
LeBron James,SF/PF,LAL,@ HOU,4,110.50,10500,0,26,52.7,7.1,1.52,54.88,11.68,12.98,0,31.5,19.3,34.6,0.00,0.00,0.00,100,,75,0,,,,
Nikola Jokic,C,DEN,vs CLE,13,117.50,10100,27.3,76.2,47.9,7.6,1.54,55.43,13.59,13.95,12.19,27.2,14.7,31.1,32.28,48.26,48.26,100,,71,4.8,Y,28,58.25,5.8
Joel Embiid,C,PHI,vs OKC,24,118.25,10000,38.7,80.3,54.1,3.5,1.61,58.01,11.40,11.90,10.57,32.5,18.3,33.6,33.37,56.50,56.50,100,,78,5.7,Y,34,51.00,5.1
Kyrie Irving,PG,BOS,@ ATL,27,116.50,9400,30.6,77.5,44.0,6.9,1.36,48.91,10.81,13.41,10.4,28.5,17.8,32.4,34.62,50.72,50.72,100,,70,5.4,Y,37,45.75,4.9
Paul George,SF/PF,OKC,@ PHI,6,116.25,9400,26.5,64.3,49.1,4.0,1.37,49.19,10.21,10.78,10.21,29.0,20.4,35.9,36.00,42.70,42.70,100,,78,4.5,Y,40,53.50,5.7
Kawhi Leonard,SF/PF,TOR,vs MEM,8,111.50,9200,0,20.2,47.5,3.1,1.36,48.96,7.34,10.09,0,30.1,19.1,34.9,0.00,0.00,0.00,100,,79,0,,,,
Blake Griffin,PF/C,DET,vs SAC,19,110.75,9000,20.4,65.1,46.3,5.3,1.28,46.21,10.74,12.77,10.73,29.5,18.2,36.1,35.96,39.59,39.59,100,,72,4.4,Y,38,54.00,6
Andre Drummond,C,DET,vs SAC,19,110.75,8800,0,26.6,43.2,1.2,1.31,47.25,10.48,13.30,0,23.3,13.8,32.9,0.00,0.00,0.00,100,,69,0,,,,
Nikola Vucevic,C,ORL,vs MIL,2,106.50,8600,18.9,60.8,45.7,3.8,1.47,53.03,11.72,11.96,10.83,27.6,16.2,31.0,33.28,36.84,36.84,100,,74,4.3,Y,30,45.50,5.3
Ben Simmons,PG/SF,PHI,vs OKC,11,118.25,8500,24,64.4,44.5,8.2,1.34,48.16,11.02,11.55,10.29,21.9,11.6,33.2,33.61,41.34,41.34,100,,74,4.9,Y,36,52.75,6.2
Kemba Walker,PG,CHA,vs PHX,28,115.75,8400,22.2,67.3,42.6,5.6,1.25,44.87,11.00,12.88,10.27,30.7,20.0,34.2,33.61,41.54,41.54,100,,70,4.9,Y,33,40.50,4.8
Devin Booker,PG/SG,PHX,@ CHA,16,108.75,8200,23.8,67.8,41.2,6.9,1.18,42.51,9.26,12.58,9.22,31.5,19.2,34.9,35.84,42.65,42.65,100,,69,5.2,Y,38,53.50,6.5
Kevin Love,PF/C,CLE,@ DEN,1,101.50,8000,0,22.6,42.9,3.5,1.26,45.40,8.05,11.30,0,26.3,16.3,34.0,0.00,0.00,0.00,100,,74,0,,,,
Luka Doncic,PG/SF,DAL,@ IND,3,104.00,7900,26.9,57.4,39.0,5.1,1.21,43.69,8.28,8.71,7.7,28.1,15.3,32.2,33.48,39.94,39.94,100,,78,5.1,Y,24,28.25,3.6
John Collins,PF/C,ATL,vs BOS,23,109.50,7700,28,62,37.0,2.4,1.23,44.39,8.99,9.70,8.23,23.5,13.5,30.0,32.97,42.56,42.56,100,,74,5.5,Y,29,33.75,4.4
De'Aaron Fox,PG,SAC,@ DET,23,111.75,7600,19.5,61.9,37.3,7.3,1.18,42.59,12.48,12.14,10.79,25.0,13.5,31.5,31.12,37.66,37.66,100,,67,5,Y,35,40.50,5.3
Clint Capela,C,HOU,vs LAL,27,117.50,7500,0,20.7,40.6,1.5,1.19,42.72,8.72,10.34,0,19.4,11.9,34.2,0.00,0.00,0.00,100,,75,0,,,,
Kyle Kuzma,SF/PF,LAL,@ HOU,4,110.50,7500,14.6,51.2,32.3,2.4,0.98,35.42,8.38,10.45,8.17,23.9,15.5,32.9,35.10,30.26,30.26,100,,68,4,Y,44,51.00,6.8
Kyle Lowry,PG,TOR,vs MEM,16,111.50,7400,13.7,52,38.0,9.5,1.11,39.96,11.90,10.93,10.28,18.8,11.4,34.3,31.10,30.10,30.10,100,,71,4.1,Y,29,33.50,4.5
Victor Oladipo,PG/SG,IND,vs DAL,22,111.00,7300,17.2,62.5,38.3,5.2,1.17,42.33,9.89,12.96,9.24,27.6,16.6,32.6,33.65,36.61,36.61,100,,66,5,Y,32,37.00,5.1
Jamal Murray,PG/SG,DEN,vs CLE,19,117.50,7200,17.7,60.5,33.9,4.9,1.00,35.90,10.67,12.22,9.59,25.3,16.5,34.0,32.34,36.03,36.03,100,,64,5,Y,25,37.00,5.1
Jimmy Butler,SG/SF,PHI,vs OKC,10,118.25,7100,13.6,60.2,36.5,3.6,1.11,39.88,10.82,13.29,10.06,22.8,14.5,33.0,33.47,33.57,33.57,100,,64,4.7,Y,38,35.75,5
Justise Winslow,PG/SF,MIA,@ CHI,15,106.00,7100,18,56.4,27.8,4.1,0.96,34.60,10.09,10.97,9,20.8,11.1,28.9,32.10,34.48,34.48,100,,61,4.9,Y,25,23.75,3.3
Chris Paul,PG,HOU,vs LAL,7,117.50,7000,0,22.1,37.4,8.0,1.13,40.65,11.23,11.06,0,23.1,12.7,33.1,0.00,0.00,0.00,100,,70,0,,,,
Myles Turner,C,IND,vs DAL,5,111.00,7000,15.2,53.8,31.1,1.7,1.11,39.98,11.93,11.05,9.72,20.1,10.3,28.0,29.33,31.74,31.74,100,,64,4.5,Y,25,23.75,3.4
Lonzo Ball,PG,LAL,@ HOU,24,110.50,6900,17.7,58.4,28.2,5.3,0.93,33.41,10.27,11.63,10.09,16.8,9.8,30.4,35.36,35.11,35.11,100,,59,5.1,Y,22,31.75,4.6
Mike Conley,PG,MEM,@ TOR,6,101.50,6800,16.1,54.1,37.0,6.1,1.10,39.59,9.89,10.88,9.14,27.1,16.0,33.6,33.28,32.38,32.38,100,,71,4.8,Y,22,18.00,2.6
Willie Cauley-Stein,C,SAC,@ DET,25,111.75,6800,18.4,52.7,32.4,2.7,1.13,40.72,8.54,9.80,7.05,19.8,11.0,28.6,29.74,33.10,33.10,100,,70,4.9,Y,24,22.50,3.3
Deandre Ayton,C,PHX,@ CHA,18,108.75,6800,17.4,55.3,36.5,2.1,1.18,42.44,10.61,10.83,8.82,21.0,12.2,31.0,29.94,33.62,33.62,100,,70,4.9,Y,22,16.50,2.4
Trae Young,PG,ATL,vs BOS,2,109.50,6800,15.1,53.2,32.2,7.2,1.09,39.20,9.81,10.89,8.77,27.2,14.0,29.6,32.19,31.39,31.39,100,,66,4.6,Y,34,27.75,4.1
Marc Gasol,C,MEM,@ TOR,6,101.50,6700,0,21.8,38.0,4.7,1.12,40.44,9.25,10.90,0,22.1,12.5,33.8,0.00,0.00,0.00,100,,71,0,,,,
Khris Middleton,SG/SF,MIL,@ ORL,14,115.50,6700,22.2,47.4,33.7,4.1,1.08,38.99,7.85,7.18,6.64,24.0,14.1,31.1,30.45,33.01,33.01,100,,79,4.9,Y,28,23.25,3.5
Domantas Sabonis,PF/C,IND,vs DAL,5,111.00,6700,15.3,47,33.4,2.9,1.33,47.68,11.56,9.05,8.13,23.9,9.6,25.2,25.32,28.86,28.86,100,,73,4.3,,27,33.75,5
Aaron Gordon,SF/PF,ORL,vs MIL,27,106.50,6600,0,20.9,33.4,3.3,1.00,35.91,10.63,10.46,0,21.6,13.1,33.4,0.00,0.00,0.00,100,,69,0,,,,
Brandon Ingram,SG/SF,LAL,@ HOU,4,110.50,6600,15.7,45.9,28.3,2.9,0.87,31.27,8.12,8.63,8.31,23.5,13.4,32.6,36.86,28.68,28.68,100,,70,4.3,Y,36,30.75,4.7
Buddy Hield,SG/SF,SAC,@ DET,6,111.75,6600,12.8,46.5,32.0,2.2,1.03,36.88,9.47,9.62,7.85,24.9,15.9,31.2,29.86,27.26,27.26,100,,70,4.1,Y,38,55.75,8.4
Steven Adams,C,OKC,@ PHI,15,116.25,6500,21.5,48.5,35.1,1.7,1.03,36.97,7.66,7.72,7.85,16.9,10.5,34.1,36.90,33.03,33.03,100,,78,5.1,Y,36,36.75,5.7
Zach LaVine,PG/SG,CHI,vs MIA,13,103.00,6500,16.5,50,36.5,4.3,1.08,38.81,7.57,9.56,6.85,30.7,17.9,33.9,32.56,30.87,30.87,100,,74,4.7,Y,35,36.25,5.6
Hassan Whiteside,C,MIA,@ CHI,12,106.00,6500,6,52.1,35.3,0.8,1.36,49.11,12.86,13.16,8.14,22.5,10.3,25.9,22.80,25.74,25.74,100,,63,4,Y,25,28.50,4.4
Pascal Siakam,PF/C,TOR,vs MEM,10,111.50,6500,15.8,48.8,31.2,2.9,1.00,36.13,8.65,9.42,7.82,18.4,10.2,31.1,32.54,29.97,29.97,100,,70,4.6,Y,29,32.00,4.9
Eric Bledsoe,PG/SG,MIL,@ ORL,12,115.50,6400,14.8,46.8,32.8,5.6,1.12,40.52,11.74,9.16,8.91,22.4,12.1,29.2,27.32,28.49,28.49,100,,72,4.5,Y,31,42.75,6.7
Lauri Markkanen,PF,CHI,vs MIA,2,103.00,6400,10,47.5,31.3,1.0,1.01,36.53,11.94,10.73,10.51,25.2,14.5,30.9,31.68,26.07,26.07,100,,66,4.1,Y,34,38.25,6
DeAndre Jordan,C,DAL,@ IND,10,104.00,6300,15,52.2,34.5,2.0,1.11,39.87,10.23,10.62,9.18,14.3,6.3,31.1,32.32,30.96,30.96,100,,69,4.9,Y,31,36.00,5.7
Jayson Tatum,SF/PF,BOS,@ ATL,28,116.50,6300,18.6,48.6,30.7,1.8,0.99,35.62,8.03,8.56,6.95,22.6,13.4,31.0,31.17,31.45,31.45,100,,72,5,Y,35,35.75,5.7
Thaddeus Young,SF/PF,IND,vs DAL,5,111.00,6200,12.8,47,26.6,1.7,0.88,31.66,8.63,9.79,8.07,18.1,10.4,30.3,33.65,27.46,27.46,100,,63,4.4,Y,28,22.75,3.7
Serge Ibaka,PF/C,TOR,vs MEM,10,111.50,6200,13.3,42.9,30.7,1.4,1.08,38.81,11.98,8.45,10.08,24.1,12.7,28.5,30.29,25.99,25.99,100,,72,4.2,Y,26,26.25,4.2
Josh Richardson,SG/SF,MIA,@ CHI,11,106.00,6100,15,45.1,32.1,4.0,0.93,33.35,7.52,8.59,6.96,22.5,15.1,34.6,33.30,27.91,27.91,100,,73,4.6,Y,30,34.75,5.7
Al Horford,PF/C,BOS,@ ATL,1,116.50,6000,14.2,43.3,29.3,3.7,1.05,37.73,10.57,8.32,8.87,18.1,9.7,28.0,30.20,26.70,26.70,100,,72,4.5,Y,28,27.25,4.5
Eric Gordon,SG/SF,HOU,vs LAL,30,117.50,5900,8.7,39.1,24.5,2.2,0.75,26.97,10.15,8.69,7.26,22.7,14.5,32.7,25.74,21.75,21.75,100,,65,3.7,Y,32,43.75,7.4
Kris Dunn,PG/SG,CHI,vs MIA,13,103.00,5900,17,51.8,30.2,6.5,0.99,35.74,9.17,9.95,8.38,21.9,11.5,30.4,32.88,31.93,31.93,100,,67,5.4,Y,33,21.50,3.6
Paul Millsap,PF/C,DEN,vs CLE,15,117.50,5800,11,47.8,28.3,1.9,1.09,39.21,12.84,10.52,10.33,20.9,9.6,26.0,28.97,26.77,26.77,100,,63,4.6,Y,23,25.75,4.4
Tristan Thompson,C,CLE,@ DEN,20,101.50,5800,0,25.3,31.1,2.1,1.05,37.72,11.18,12.64,0,17.7,9.4,29.7,0.00,0.00,0.00,100,,59,0,,,,
Larry Nance Jr.,PF/C,CLE,@ DEN,7,101.50,5800,0,24.1,27.0,3.2,1.05,38.02,11.82,12.03,0,16.2,6.6,25.6,0.00,0.00,0.00,100,,55,0,,,,
Bogdan Bogdanovic,SG/SF,SAC,@ DET,6,111.75,5800,15.6,45.1,28.0,3.8,1.00,35.99,7.27,8.42,6.12,23.6,12.9,28.0,30.30,28.27,28.27,100,,70,4.9,,23,24.50,4.2
