Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Russell Westbrook,PG,OKC,vs PHI,9,121.50,11100,42.4,85,58.6,10.8,1.66,59.51,9.55,12.18,9.55,30.9,19.9,35.4,36.00,60.67,60.67,100,,79,5.5,Y,38,60.25,5.4
James Harden,PG/SG,HOU,vs MIA,19,114.00,11000,38.7,95.1,61.6,7.5,1.66,59.59,13.71,16.10,14.57,39.8,24.2,37.2,38.25,62.87,62.87,100,,74,5.7,Y,44,95.25,8.7
Karl-Anthony Towns,C,MIN,@ IND,27,108.50,10500,29.9,84.6,49.1,3.2,1.49,53.84,13.87,15.62,13.58,27.6,16.3,32.9,35.25,53.37,53.37,100,,68,5.1,Y,34,70.25,6.7
Paul George,SF/PF,OKC,vs PHI,14,121.50,10400,0,23.8,51.5,4.3,1.41,50.85,10.11,11.89,0,29.2,21.0,36.5,0.00,0.00,0.00,100,,77,0,,,,
Joel Embiid,C,PHI,@ OKC,30,117.50,10300,0,23,54.2,3.4,1.61,58.11,11.16,11.52,0,32.9,18.4,33.6,0.00,0.00,0.00,100,,79,0,,,,
Nikola Jokic,C,DEN,vs UTA,22,116.00,10000,30.9,82.1,49.8,7.6,1.60,57.36,13.46,14.62,12.24,27.7,15.2,31.2,32.75,52.81,52.81,100,,71,5.3,Y,32,41.75,4.2
Nikola Vucevic,C,ORL,vs GSW,28,110.50,9300,30.4,70.8,46.1,3.9,1.50,53.95,11.18,11.56,9.78,27.6,16.4,30.8,31.50,47.71,47.71,100,,75,5.1,Y,30,44.25,4.8
Kevin Durant,SF/PF,GSW,@ ORL,4,114.50,9200,0,23.2,48.7,5.7,1.38,49.57,10.14,11.62,0,29.6,18.8,35.4,0.00,0.00,0.00,100,,76,0,,,,
Stephen Curry,PG/SG,GSW,@ ORL,12,114.50,9100,34.2,74.9,47.2,5.3,1.38,49.59,11.98,11.62,12.4,29.9,19.7,34.2,37.25,51.61,51.61,100,,75,5.7,Y,37,53.00,5.8
Ben Simmons,PG/SF,PHI,@ OKC,15,117.50,8400,29.4,69.7,43.1,7.7,1.28,46.27,11.41,11.49,11.01,22.2,12.0,33.6,34.75,46.68,46.68,100,,73,5.6,Y,41,54.25,6.5
Chris Paul,PG,HOU,vs MIA,8,114.00,8300,27.6,64.5,38.9,8.3,1.19,42.92,10.53,10.54,10.38,22.9,12.5,32.6,35.50,43.40,43.40,100,,73,5.2,Y,34,28.50,3.4
Rudy Gobert,C,UTA,@ DEN,15,109.00,8200,30.4,66.4,41.5,2.2,1.30,46.84,9.83,10.27,9.15,17.7,8.6,31.9,33.50,45.81,45.81,100,,75,5.6,Y,30,35.00,4.3
Donovan Mitchell,PG/SG,UTA,@ DEN,1,109.00,8000,23.8,64.7,37.3,4.0,1.11,40.09,10.22,11.69,10.36,31.5,19.8,33.5,36.50,41.29,41.29,100,,69,5.2,Y,36,41.50,5.2
DeMarcus Cousins,C,GSW,@ ORL,20,114.50,7900,37.6,64.2,35.1,3.5,1.44,51.74,11.32,7.60,9.98,28.0,11.2,24.4,31.75,48.98,48.98,100,,78,6.2,Y,32,41.75,5.3
Tobias Harris,SF/PF,PHI,@ OKC,29,117.50,7300,25.3,58.9,37.5,2.7,1.09,39.11,8.60,9.60,8.42,23.4,15.4,34.5,35.25,39.72,39.72,100,,74,5.4,Y,40,48.75,6.7
Jimmy Butler,SG/SF,PHI,@ OKC,15,117.50,7100,23.8,66.5,36.5,4.0,1.09,39.25,10.42,12.21,10.06,21.8,13.9,33.4,34.75,42.08,42.08,100,,67,5.9,Y,37,44.50,6.3
Kevin Love,PF/C,CLE,@ NYK,30,109.00,6900,15.9,67.9,36.4,2.0,1.40,50.35,11.37,14.86,9.16,31.1,13.6,26.0,29.00,38.16,38.16,100,,59,5.5,Y,28,43.50,6.3
Hassan Whiteside,C,MIA,@ HOU,14,105.00,6800,0,26,35.4,0.9,1.39,50.07,13.07,13.02,0,22.3,10.2,25.4,0.00,0.00,0.00,100,,63,0,,,,
Clint Capela,C,HOU,vs MIA,3,114.00,6700,27.5,64.5,40.0,1.4,1.17,42.12,8.88,10.59,8.7,18.9,11.7,34.2,35.25,43.36,43.36,100,,74,6.5,Y,36,27.25,4.1
Paul Millsap,PF/C,DEN,vs UTA,12,116.00,6600,17.1,59.5,28.5,1.9,1.10,39.54,14.48,12.12,11.97,20.1,9.3,25.9,29.75,35.27,35.27,100,,57,5.3,Y,30,25.75,3.9
Klay Thompson,SG,GSW,@ ORL,6,114.50,6500,25,61.9,34.9,2.3,1.02,36.77,13.89,10.54,14.76,25.9,18.2,34.1,38.25,40.82,40.82,100,,70,6.3,Y,36,26.25,4
