Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Giannis Antetokounmpo,SF/PF,MIL,@ CHA,23,119.25,11600,39.4,82.9,56.7,5.7,1.70,61.36,11.56,12.41,11.5,32.9,18.1,33.3,35.80,58.03,58.03,100,,78,5,Y,40,59.25,5.1
James Harden,PG/SG,HOU,@ WAS,19,112.00,11400,35.5,68.8,53.4,7.9,1.45,52.24,8.35,9.53,8.62,37.0,20.7,36.8,37.16,49.76,49.76,100,,82,4.4,Y,47,89.00,7.8
Anthony Davis,PF/C,NOP,vs BOS,16,115.25,11200,35.4,76.2,58.8,4.9,1.57,56.49,11.78,11.67,12.29,27.7,19.3,37.5,37.57,52.86,52.86,100,,80,4.7,Y,37,65.50,5.8
Kevin Durant,SF/PF,GSW,vs ORL,3,110.75,10900,25.1,67.1,50.6,6.0,1.44,51.71,9.49,12.01,9.21,31.7,19.5,35.2,34.95,43.09,43.09,100,,76,4,Y,40,78.00,7.2
Karl-Anthony Towns,C,MIN,@ CLE,18,110.50,10000,25.8,76.6,44.3,2.3,1.32,47.65,12.21,14.51,11.92,25.9,15.1,33.5,35.14,47.54,47.54,100,,67,4.8,Y,38,38.50,3.9
Stephen Curry,PG/SG,GSW,vs ORL,18,110.75,9500,0,23.4,48.6,6.1,1.46,52.65,11.98,11.68,0,31.2,19.8,33.3,0.00,0.00,0.00,100,,76,0,,,,
Kemba Walker,PG,CHA,vs MIL,6,115.25,9400,26.4,69.4,47.1,6.6,1.35,48.52,9.85,12.29,9.65,31.1,21.2,34.9,35.27,44.79,44.79,100,,74,4.8,Y,38,40.00,4.3
John Wall,PG,WAS,vs HOU,15,111.00,9000,26.9,58.7,42.9,8.1,1.23,44.27,7.57,9.06,7.12,28.1,17.2,34.9,33.86,40.53,40.53,100,,79,4.5,Y,40,59.75,6.6
Kyrie Irving,PG,BOS,@ NOP,30,113.25,8700,30.7,80.2,41.9,6.2,1.30,46.79,10.56,14.13,9.53,28.0,17.8,32.3,32.50,51.94,51.94,100,,66,6,Y,32,58.25,6.7
DeMar DeRozan,SG/SF,SAS,@ CHI,3,110.50,8600,21,61.3,43.5,6.3,1.19,42.69,9.32,11.52,9.35,28.9,19.6,36.7,36.13,38.26,38.26,100,,74,4.4,Y,34,37.00,4.3
Victor Oladipo,PG/SG,IND,@ UTA,15,101.00,8500,0,27.8,41.3,4.7,1.27,45.76,8.55,13.91,0,30.1,18.3,32.5,0.00,0.00,0.00,100,,66,0,,,,
