Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Kevin Durant,SF/PF,GSW,vs ATL,16,121.00,11200,31.1,71.2,50.3,6.8,1.45,52.11,9.25,11.45,9.25,29.1,18.1,34.7,36.00,48.31,48.31,100,,77,4.3,Y,37,45.00,4
James Harden,PG/SG,HOU,@ DEN,20,105.75,10500,35,64.1,51.7,7.3,1.42,51.06,6.89,8.30,7.08,35.4,19.7,36.4,37.00,47.47,47.47,100,,84,4.5,Y,37,53.25,5.1
Stephen Curry,PG/SG,GSW,vs ATL,23,121.00,9900,0,23.4,48.6,6.1,1.46,52.65,11.98,11.68,0,31.2,19.8,33.3,0.00,0.00,0.00,100,,76,0,,,,
Kemba Walker,PG,CHA,@ CLE,20,111.25,9700,35.6,67.1,46.0,6.3,1.35,48.42,8.82,9.01,8.51,30.9,20.8,34.2,34.75,49.07,49.07,100,,80,5.1,Y,36,27.00,2.8
Nikola Jokic,C,DEN,vs HOU,1,109.75,9400,6.2,65.8,45.6,6.9,1.56,56.03,17.19,17.03,15.92,23.7,11.4,29.3,33.33,31.76,31.76,100,,63,3.4,Y,33,43.50,4.6
Chris Paul,PG,HOU,@ DEN,8,105.75,8300,25.1,66.2,41.3,7.9,1.17,41.95,13.31,11.72,13.64,24.2,14.8,35.4,36.89,42.72,42.72,100,,72,5.1,Y,32,37.25,4.5
Draymond Green,PF/C,GSW,vs ATL,29,121.00,8200,0,21.5,32.6,7.4,1.05,37.86,10.50,10.75,0,13.8,6.5,31.0,0.00,0.00,0.00,100,,67,0,,,,
Kevin Love,PF/C,CLE,vs CHA,4,103.25,8100,0,22.6,42.9,3.5,1.26,45.40,8.05,11.30,0,26.3,16.3,34.0,0.00,0.00,0.00,100,,74,0,,,,
Trae Young,PG,ATL,@ GSW,3,110.00,7200,15.9,55,35.8,8.2,1.17,42.14,9.78,11.18,8.38,29.0,15.5,30.5,30.86,32.68,32.68,100,,69,4.5,Y,27,28.25,3.9
Klay Thompson,SG,GSW,vs ATL,27,121.00,6800,18.5,60.2,32.1,1.6,0.96,34.39,16.83,11.92,15.19,27.6,18.6,33.6,32.50,36.40,36.40,100,,63,5.4,Y,38,43.25,6.4
Jamal Murray,PG/SG,DEN,vs HOU,23,109.75,6600,15.1,60.5,31.5,3.7,0.94,33.69,13.33,12.96,12.99,23.9,15.6,33.6,35.07,34.54,34.54,100,,59,5.2,Y,35,24.25,3.7
