Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
James Harden,PG/SG,HOU,vs SAS,16,111.25,11600,37.3,88.5,56.9,8.4,1.56,56.13,11.98,14.61,12.84,37.0,20.8,36.5,38.57,59.24,59.24,100,,74,5.1,Y,41,66.50,5.7
Russell Westbrook,PG,OKC,@ UTA,6,108.00,11100,33.5,71.3,56.1,10.4,1.65,59.38,9.69,10.79,9.38,30.3,18.6,34.0,34.84,49.72,49.72,100,,81,4.5,Y,35,39.50,3.6
Giannis Antetokounmpo,SF/PF,MIL,@ MIA,13,108.50,10900,35.9,80.7,56.5,6.1,1.67,60.23,11.05,12.81,10.89,31.6,17.0,33.8,35.49,55.08,55.08,100,,77,5.1,Y,34,31.75,2.9
Joel Embiid,C,PHI,vs TOR,14,113.50,9600,28.4,72.1,53.1,3.6,1.57,56.54,12.03,12.47,11.48,32.3,18.4,33.8,34.36,47.11,47.11,100,,77,4.9,Y,31,46.25,4.8
Stephen Curry,PG/SG,GSW,vs DAL,7,118.75,9500,24.2,70.7,47.7,5.3,1.41,50.71,13.70,13.29,13.09,30.8,19.4,33.9,34.40,44.14,44.14,100,,72,4.6,Y,39,41.25,4.3
Paul George,SF/PF,OKC,@ UTA,10,108.00,9400,28.7,65.1,48.4,4.4,1.38,49.75,10.28,10.38,10.01,28.7,19.5,35.0,35.04,44.29,44.29,100,,79,4.7,Y,40,84.00,8.9
Kawhi Leonard,SF/PF,TOR,@ PHI,4,106.50,9300,0,18.1,47.1,3.1,1.35,48.42,6.78,9.06,0,29.7,19.0,35.0,0.00,0.00,0.00,100,,81,0,,,,
Kevin Durant,SF/PF,GSW,vs DAL,18,118.75,9200,29.1,74.6,50.7,6.1,1.42,51.15,10.32,13.00,10.03,31.6,19.7,35.7,35.00,48.62,48.62,100,,74,5.3,Y,37,58.50,6.4
John Wall,PG,WAS,vs PHX,10,116.25,8900,0,26.5,43.4,8.9,1.25,45.15,9.54,13.23,0,28.7,17.5,34.6,0.00,0.00,0.00,100,,70,0,,,,
Devin Booker,PG/SG,PHX,@ WAS,27,111.25,8800,30.1,66.8,41.3,6.6,1.17,42.03,8.55,10.48,8.77,31.6,19.5,35.4,36.92,45.82,45.82,100,,75,5.2,Y,55,63.50,7.2
Ben Simmons,PG/SF,PHI,vs TOR,24,113.50,8500,28.9,68.7,43.2,7.9,1.31,47.00,10.27,11.38,9.97,21.0,11.1,33.1,34.96,45.97,45.97,100,,74,5.4,Y,33,56.00,6.6
Bradley Beal,SG,WAS,vs PHX,20,116.25,8300,28.6,59.7,40.2,4.5,1.11,40.00,8.06,8.87,8.49,27.2,18.2,36.2,37.90,41.92,41.92,100,,78,5.1,Y,54,80.75,9.7
Luka Doncic,SG/SF,DAL,@ GSW,9,107.75,8100,25.5,54,37.0,4.9,1.14,41.01,7.93,8.15,7.15,26.6,14.4,32.4,32.46,37.72,37.72,100,,78,4.7,Y,30,34.75,4.3
Clint Capela,C,HOU,vs SAS,3,111.25,7800,16.4,50.2,39.4,1.5,1.17,42.04,8.00,9.66,7.51,19.5,11.7,33.7,33.79,30.92,30.92,100,,75,4,Y,35,54.75,7
DeMar DeRozan,SG/SF,SAS,@ HOU,14,106.25,7700,19.4,62.5,40.9,6.2,1.18,42.36,9.55,12.32,8.84,29.1,18.3,34.8,33.32,37.85,37.85,100,,70,4.9,Y,38,54.25,7
LaMarcus Aldridge,PF/C,SAS,@ HOU,17,106.25,7600,18.6,57.3,36.7,2.2,1.14,41.05,8.84,11.03,7.61,26.4,15.2,32.2,31.00,35.19,35.19,100,,70,4.6,Y,31,27.50,3.6
Chris Paul,PG,HOU,vs SAS,19,111.25,7600,0,22.1,37.4,8.0,1.13,40.65,11.23,11.06,0,23.1,12.7,33.1,0.00,0.00,0.00,100,,70,0,,,,
Kyle Lowry,PG,TOR,@ PHI,18,106.50,7500,16.6,57.3,38.8,10.0,1.13,40.81,12.86,11.64,12.15,18.8,11.3,34.2,34.00,34.03,34.03,100,,70,4.5,Y,31,39.00,5.2
Rudy Gobert,C,UTA,vs OKC,19,110.00,7500,23.1,60.9,39.1,2.0,1.27,45.64,9.63,10.80,8.63,17.6,8.4,30.9,32.28,39.32,39.32,100,,72,5.2,Y,34,36.00,4.8
Jimmy Butler,SG/SF,PHI,vs TOR,17,113.50,7400,15,66.6,36.8,3.4,1.11,39.97,11.90,14.76,11.47,22.7,14.6,33.2,34.70,37.09,37.09,100,,60,5,Y,29,38.25,5.2
Steven Adams,C,OKC,@ UTA,22,108.00,7300,20.2,47.4,36.0,1.6,1.08,38.75,7.64,7.75,6.82,18.5,11.4,33.4,32.14,31.85,31.85,100,,78,4.4,Y,39,32.00,4.4
Deandre Ayton,C,PHX,@ WAS,23,111.25,7200,20.3,52.2,35.4,2.3,1.16,41.61,9.98,9.11,8.28,21.2,11.9,30.6,29.87,33.96,33.96,100,,74,4.7,Y,39,52.75,7.3
DeAndre Jordan,C,DAL,@ GSW,16,107.75,7100,16.5,54,35.0,2.2,1.12,40.41,10.34,10.70,8.78,14.4,6.5,31.2,30.57,32.56,32.56,100,,69,4.6,Y,36,55.25,7.8
Josh Richardson,SG/SF,MIA,vs MIL,29,106.50,7000,23.3,55.5,32.7,3.6,0.94,33.78,8.24,9.21,8.22,23.4,16.1,34.9,35.90,37.08,37.08,100,,72,5.3,Y,39,30.25,4.3
Donovan Mitchell,PG/SG,UTA,vs OKC,7,110.00,6900,15.4,55.9,33.2,3.3,1.03,37.01,10.52,11.58,10.14,30.9,18.4,32.3,34.70,32.72,32.72,100,,65,4.7,Y,37,41.25,6
